scr_h1_adx_min,scr_m15_compression_atr_max,stop_atr_multiple,scr_take_profit_rr_cap,validation_score,full_sample_goal_score,avg_validation_goal_score,avg_validation_robustness,avg_validation_return_pct,avg_validation_sharpe,worst_validation_drawdown_pct,profitable_window_ratio,full_sample_robustness,initial_capital,final_equity,total_return_pct,max_drawdown_pct,sharpe_ratio,profit_factor,total_trades,wins,losses,break_even_trades,win_rate_pct,trades_per_month,profit_month_ratio,avg_monthly_net_pnl_usd,expectancy_usd,avg_trade_minutes,median_trade_minutes,max_consecutive_wins,max_consecutive_losses
22.0,0.85,0.8,0.6,-40.13458521850748,-46.60078003533789,-44.65483191560272,0.1378604391926405,-4.508588344495101,-1.8121290183310295,6.2463437368189485,0.0,0.11834526838349822,100000.0,91155.79631821149,-8.84420368178851,9.102260488116256,-1.8073869687637665,0.25181281708349035,30,13,17,0,43.333333333333336,1.875,0.125,-552.7627301117808,-294.8067893929498,9.666666666666666,10.0,4,5
22.0,0.85,0.6,0.6,-41.857313620357516,-47.60692271263094,-46.10485047606824,0.10626453146525822,-4.099762097044346,-1.9899165776404988,5.631865657636008,0.0,0.0921624677468869,100000.0,91945.21171032579,-8.054788289674208,8.219643284810067,-1.9649012303831717,0.19284507367981368,30,13,17,0,43.333333333333336,1.875,0.125,-503.42426810463405,-268.4929429891382,7.333333333333333,5.0,3,5
22.0,0.7,0.8,0.6,-43.33528622129342,-44.31777812306572,-46.94326377825184,0.15489013468746998,-3.3183936922320854,-1.571076445311741,4.731052755353999,0.0,0.1357341831775897,100000.0,93455.71937870915,-6.544280621290843,6.624275906658977,-1.583943183126905,0.2581001122475517,23,10,13,0,43.47826086956522,1.5333333333333334,0.2,-436.2853747527211,-284.5339400561224,10.869565217391305,10.0,5,4
22.0,0.85,0.6,0.8,-43.397603554070265,-51.097534552008675,-47.36247640476978,0.15343494292876136,-3.8048515465727903,-1.7854854177493706,4.983687479477449,0.0,0.1420118202970632,100000.0,92521.2731965994,-7.478726803400592,7.7406424030936325,-1.7405527651531532,0.27852156818603596,30,12,18,0,40.0,1.875,0.1875,-467.42042521253666,-249.29089344668617,8.5,5.0,2,5
22.0,0.7,0.6,0.6,-44.827534518548276,-44.55915466161605,-47.92455106515823,0.12655412675707203,-2.8378035314845897,-1.7012655770092135,3.8748772661499613,0.0,0.118295592934532,100000.0,94396.04677474618,-5.603953225253822,5.684753402595234,-1.6994241262569891,0.22073736127483115,23,10,13,0,43.47826086956522,1.5333333333333334,0.2,-373.5968816835884,-243.6501402284272,8.478260869565217,5.0,4,4
22.0,0.7,0.6,0.8,-46.56250322618828,-52.351180309960554,-49.53767792326546,0.15115177886197312,-2.7255869650139486,-1.575926606710098,3.4898944262861824,0.0,0.14666118664952427,100000.0,94618.70324531524,-5.381296754684762,5.462287519269215,-1.5500129758826353,0.28847469531748915,23,9,14,0,39.130434782608695,1.5333333333333334,0.13333333333333333,-358.75311697898354,-233.96942411672845,9.565217391304348,5.0,2,4
18.0,0.7,0.8,0.8,-46.57461875373426,-54.54597270887959,-52.860045133145455,0.1838375899450379,-5.803955280766882,-2.049551714193007,6.908168192428336,0.0,0.17855348318065054,100000.0,89207.0185734702,-10.792981426529803,10.908903241637564,-1.8523233370998928,0.36676803044943246,45,17,28,0,37.77777777777778,2.3684210526315788,0.21052631578947367,-568.051654027885,-239.84403170066253,14.0,10.0,4,6
18.0,0.85,0.8,0.8,-47.487107952948186,-64.04595765008501,-56.192155136712316,0.16524076604251864,-7.645752022416985,-2.30465609369441,9.284065793873102,0.0,0.14350613255069736,100000.0,85368.68901388526,-14.631310986114743,14.954171279247646,-2.2371195583798227,0.30918368280289926,51,18,33,0,35.294117647058826,2.55,0.25,-731.565549305737,-286.88845070813215,12.450980392156863,10.0,4,6
18.0,0.85,0.6,0.8,-48.78886213422168,-65.09647529527166,-57.189833088270575,0.13099812512449152,-7.056756004657538,-2.6160118200052187,8.947173150973875,0.0,0.1134052275833375,100000.0,86483.93094694166,-13.516069053058333,13.732921117252669,-2.5418561595158895,0.23861834515237734,51,18,33,0,35.294117647058826,2.55,0.25,-675.8034526529167,-265.02096182467324,9.705882352941176,10.0,3,6
22.0,0.85,0.8,0.8,-48.81910865590596,-57.36704807185426,-53.84028265483176,0.18121340298916955,-4.440580442909192,-1.7043981558000811,5.387957726733512,0.0,0.16955393135127506,100000.0,91307.20696302141,-8.692793036978586,9.07715417174877,-1.6508031098041713,0.3240832512670195,30,11,19,0,36.666666666666664,1.875,0.25,-543.299564811163,-289.75976789928694,10.833333333333334,10.0,3,7
18.0,0.7,0.6,0.6,-51.40361359044215,-59.7167632167463,-57.904923114865305,0.09868318691235158,-5.745839410019837,-2.5477489947602887,6.175024302839555,0.0,0.09992950793508985,100000.0,89228.61952038363,-10.771380479616377,10.847757494624014,-2.3758912176331317,0.22463674025755126,45,17,28,0,37.77777777777778,2.3684210526315788,0.10526315789473684,-566.9147620850727,-239.36401065814175,8.777777777777779,5.0,3,9
18.0,0.85,0.6,0.6,-51.665193273009685,-68.09889062546061,-61.070016368622255,0.08428365517595209,-7.404525951585805,-2.8746585553139865,9.451000907241541,0.0,0.0767636984849975,100000.0,85920.8138526641,-14.079186147335898,14.212445557397338,-2.7742687804995527,0.17006685848042236,51,18,33,0,35.294117647058826,2.55,0.2,-703.9593073667943,-276.06247347717425,8.333333333333334,5.0,3,9
18.0,0.7,0.6,0.8,-53.02150090315805,-62.07782561990717,-59.73454687697877,0.13088314244288737,-5.718344197688335,-2.4035380933495114,6.2186451200011215,0.0,0.1338224441115647,100000.0,89280.60034862484,-10.719399651375161,10.886757263919186,-2.214166345893302,0.28708629112307027,45,16,29,0,35.55555555555556,2.3684210526315788,0.15789473684210525,-564.1789290197463,-238.20888114167073,10.333333333333334,10.0,3,5
22.0,0.7,0.8,0.8,-55.21715309050486,-62.59575249711737,-59.63429624527666,0.15360381277062862,-3.495859903354875,-1.5778255087354507,4.224070914815768,0.0,0.14903972347843905,100000.0,93127.26261137614,-6.872737388623862,6.952451524876578,-1.5378254355716041,0.3020565625555868,23,8,15,0,34.78260869565217,1.5333333333333334,0.13333333333333333,-458.18249257492624,-298.81466907060405,12.391304347826088,10.0,4,6
