timestamp,currency,importance,event,country,source,hard_event,event_tier
2022-02-23 15:30:00-05:00,USD,1,Prelim GDP Price Index q/q,,csv,True,hard
2022-02-24 08:30:00-05:00,USD,3,Prelim GDP q/q,,csv,True,hard
2022-02-24 12:00:00-05:00,USD,2,FOMC Member Mester Speaks,,csv,True,hard
2022-02-24 15:30:00-05:00,EUR,1,French Prelim CPI m/m,,csv,True,hard
2022-02-24 15:30:00-05:00,EUR,1,French Prelim GDP q/q,,csv,True,hard
2022-02-24 20:25:00-05:00,USD,2,FOMC Member Waller Speaks,,csv,True,hard
2022-02-25 02:00:00-05:00,EUR,1,German Final GDP q/q,,csv,True,hard
2022-02-25 08:30:00-05:00,USD,3,Core PCE Price Index m/m,,csv,False,standard
2022-02-25 11:00:00-05:00,USD,1,Fed Monetary Policy Report,,csv,True,hard
2022-02-27 15:30:00-05:00,EUR,1,Spanish Flash CPI y/y,,csv,True,hard
2022-02-28 09:45:00-05:00,USD,2,Chicago PMI,,csv,True,hard
2022-03-01 03:15:00-05:00,EUR,1,Spanish Manufacturing PMI,,csv,True,hard
2022-03-01 03:45:00-05:00,EUR,1,Italian Manufacturing PMI,,csv,True,hard
2022-03-01 03:50:00-05:00,EUR,1,French Final Manufacturing PMI,,csv,True,hard
2022-03-01 03:55:00-05:00,EUR,1,German Final Manufacturing PMI,,csv,True,hard
2022-03-01 04:00:00-05:00,EUR,1,Final Manufacturing PMI,,csv,True,hard
2022-03-01 05:00:00-05:00,EUR,1,Italian Prelim CPI m/m,,csv,True,hard
2022-03-01 09:45:00-05:00,USD,1,Final Manufacturing PMI,,csv,True,hard
2022-03-01 10:00:00-05:00,USD,3,ISM Manufacturing PMI,,csv,True,hard
2022-03-01 15:29:59-05:00,EUR,1,German Prelim CPI m/m,,csv,True,hard
2022-03-01 15:30:00-05:00,EUR,2,CPI Flash Estimate y/y,,csv,True,hard
2022-03-01 15:30:00-05:00,USD,3,Fed Chair Powell Testifies,,csv,True,hard
2022-03-02 03:00:00-05:00,EUR,2,Spanish Unemployment Change,,csv,True,hard
2022-03-02 03:55:00-05:00,EUR,1,German Unemployment Change,,csv,True,hard
2022-03-02 05:00:00-05:00,EUR,2,Core CPI Flash Estimate y/y,,csv,True,hard
2022-03-02 08:17:00-05:00,USD,3,ADP Non-Farm Employment Change,,csv,True,hard
2022-03-02 09:30:00-05:00,USD,2,FOMC Member Bullard Speaks,,csv,True,hard
2022-03-02 15:30:00-05:00,USD,3,ISM Services PMI,,csv,True,hard
2022-03-02 15:30:00-05:00,EUR,1,Italian Monthly Unemployment Rate,,csv,True,hard
2022-03-02 15:30:00-05:00,EUR,1,Unemployment Rate,,csv,True,hard
2022-03-03 03:15:00-05:00,EUR,1,Spanish Services PMI,,csv,True,hard
2022-03-03 03:45:00-05:00,EUR,1,Italian Services PMI,,csv,True,hard
2022-03-03 03:50:00-05:00,EUR,1,French Final Services PMI,,csv,True,hard
2022-03-03 03:55:00-05:00,EUR,1,German Final Services PMI,,csv,True,hard
2022-03-03 04:00:00-05:00,EUR,1,Final Services PMI,,csv,True,hard
2022-03-03 07:30:00-05:00,EUR,1,ECB Monetary Policy Meeting Accounts,,csv,True,hard
2022-03-03 09:45:00-05:00,USD,1,Final Services PMI,,csv,True,hard
2022-03-03 10:00:00-05:00,USD,3,Fed Chair Powell Testifies,,csv,True,hard
2022-03-03 15:30:00-05:00,USD,3,Average Hourly Earnings m/m,,csv,False,standard
2022-03-03 15:30:00-05:00,USD,3,Unemployment Rate,,csv,True,hard
2022-03-03 15:30:00-05:00,USD,3,Non-Farm Employment Change,,csv,True,hard
2022-03-03 18:00:00-05:00,USD,1,FOMC Member Williams Speaks,,csv,True,hard
2022-03-04 05:00:00-05:00,EUR,1,Retail Sales m/m,,csv,True,hard
2022-03-06 15:30:00-05:00,EUR,1,German Retail Sales m/m,,csv,True,hard
2022-03-07 15:30:00-05:00,EUR,1,Revised GDP q/q,,csv,True,hard
2022-03-08 04:00:00-05:00,EUR,1,Italian Retail Sales m/m,,csv,True,hard
2022-03-08 05:00:00-05:00,EUR,1,Final Employment Change q/q,,csv,True,hard
2022-03-09 10:00:00-05:00,USD,3,JOLTS Job Openings,,csv,False,standard
2022-03-09 15:30:00-05:00,USD,3,CPI m/m,,csv,True,hard
2022-03-09 15:30:00-05:00,EUR,3,Monetary Policy Statement,,csv,True,hard
2022-03-09 15:30:00-05:00,USD,3,Core CPI m/m,,csv,True,hard
2022-03-10 07:30:00-05:00,USD,3,CPI y/y,,csv,True,hard
2022-03-10 07:45:00-05:00,EUR,3,Main Refinancing Rate,,csv,False,standard
2022-03-10 08:30:00-05:00,EUR,3,ECB Press Conference,,csv,False,standard
2022-03-11 02:00:00-05:00,EUR,1,German Final CPI m/m,,csv,True,hard
2022-03-11 04:00:00-05:00,EUR,1,Italian Quarterly Unemployment Rate,,csv,True,hard
2022-03-11 10:00:00-05:00,USD,3,Prelim UoM Consumer Sentiment,,csv,False,standard
2022-03-14 16:30:00-04:00,USD,3,PPI m/m,,csv,False,standard
