outcome,R,entry_p,exit_p,entry_ts,exit_ts,be_activated,sl_price,tp_price,be_trigger_price,log_events,trade_id,month
TP,1.2,1.07064,1.069464,2024-06-28 11:24:06.878000+00:00,2024-06-28 11:56:14.009000+00:00,True,1.07148,1.069464,1.070304,"[{'ts': Timestamp('2024-06-28 11:29:16.608000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.0703}]",2188,2024_06
TP,1.2,1.07562,1.07268,2024-07-01 14:09:06.936000+00:00,2024-07-01 15:01:38.926000+00:00,True,1.07772,1.07268,1.07478,"[{'ts': Timestamp('2024-07-01 14:14:01.827000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.07478}]",2189,2024_07
BE,-0.2,1.07312,1.07312,2024-07-02 13:00:08.030000+00:00,2024-07-02 13:16:31.900000+00:00,True,1.07255,1.073918,1.073348,"[{'ts': Timestamp('2024-07-02 13:01:15.588000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.07335}]",2190,2024_07
TP,1.2,1.07605,1.077324,2024-07-03 12:15:06.174000+00:00,2024-07-03 12:35:52.810000+00:00,True,1.07514,1.077324,1.076414,"[{'ts': Timestamp('2024-07-03 12:18:30.281000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.07642}]",2191,2024_07
TP,1.2,1.08016,1.080734,2024-07-04 14:00:13.079000+00:00,2024-07-04 14:46:12.203000+00:00,True,1.07975,1.080734,1.080324,"[{'ts': Timestamp('2024-07-04 14:24:32.466000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.08033}]",2192,2024_07
BE,-0.2,1.08223,1.08223,2024-07-05 11:03:06.285000+00:00,2024-07-05 11:29:33.692000+00:00,True,1.08269,1.081586,1.082046,"[{'ts': Timestamp('2024-07-05 11:24:42.634000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.08204}]",2193,2024_07
BE,-0.2,1.08429,1.08429,2024-07-08 13:06:07.320000+00:00,2024-07-08 13:13:57.237000+00:00,True,1.085,1.083296,1.084006,"[{'ts': Timestamp('2024-07-08 13:08:37.587000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.084}]",2194,2024_07
TP,1.2,1.08205,1.081308,2024-07-09 11:09:07.249000+00:00,2024-07-09 11:38:34.223000+00:00,True,1.08258,1.081308,1.081838,"[{'ts': Timestamp('2024-07-09 11:19:01.489000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.08183}]",2195,2024_07
TIME_EXIT,0.14545454545478997,1.08228,1.08247,2024-07-10 11:30:08.459000+00:00,2024-07-10 12:30:02.214000+00:00,True,1.08173,1.08305,1.0825,"[{'ts': Timestamp('2024-07-10 11:36:47.984000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.08254}]",2196,2024_07
BE,-0.2,1.08896,1.08896,2024-07-12 11:54:06.608000+00:00,2024-07-12 12:03:02.147000+00:00,True,1.08927,1.088526,1.088836,"[{'ts': Timestamp('2024-07-12 11:55:15.853000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.08883}]",2197,2024_07
