trade_id,P_outcome,P_R,P_entry_ts,Q_outcome,Q_R,Q_entry_ts,match,delta_R
2252,TP,1.4,2024-10-03 12:03:02.939000+00:00,TP,1.4,2024-10-03 12:03:02.939000+00:00,True,0.0
2253,BE,0.0,2024-10-04 12:09:01.400000+00:00,BE,0.0,2024-10-04 12:09:01.400000+00:00,True,0.0
2254,TIME_EXIT,0.728260869565003,2024-10-07 13:54:01.060000+00:00,BE,0.0,2024-10-07 13:54:01.060000+00:00,False,0.728260869565003
2255,TIME_EXIT,0.5810810810812087,2024-10-08 11:45:05.534000+00:00,BE,0.0,2024-10-08 11:45:05.534000+00:00,False,0.5810810810812087
2257,BE,0.0,2024-10-10 14:06:01.266000+00:00,BE,0.0,2024-10-10 14:06:01.266000+00:00,True,0.0
2258,TIME_EXIT,0.5942028985507558,2024-10-11 11:15:04.511000+00:00,BE,0.0,2024-10-11 11:15:04.511000+00:00,False,0.5942028985507558
2259,TP,1.4,2024-10-14 12:36:01.861000+00:00,TP,1.4,2024-10-14 12:36:01.861000+00:00,True,0.0
2260,BE,0.0,2024-10-15 13:24:02.467000+00:00,BE,0.0,2024-10-15 13:24:02.467000+00:00,True,0.0
2261,TIME_EXIT,0.7319587628863596,2024-10-16 12:36:01.168000+00:00,BE,0.0,2024-10-16 12:36:01.168000+00:00,False,0.7319587628863596
2262,BE,0.0,2024-10-17 11:54:02.035000+00:00,BE,0.0,2024-10-17 11:54:02.035000+00:00,True,0.0
2263,TP,1.4,2024-10-18 11:54:03.297000+00:00,TP,1.4,2024-10-18 11:54:03.297000+00:00,True,0.0
2264,TP,1.4,2024-10-21 14:21:06.269000+00:00,TP,1.4,2024-10-21 14:21:06.269000+00:00,True,0.0
2265,SL,-1.0,2024-10-22 12:00:01.598000+00:00,SL,-1.0,2024-10-22 12:00:01.598000+00:00,True,0.0
2266,TIME_EXIT,0.48648648648641,2024-10-23 20:12:01.548000+00:00,BE,0.0,2024-10-23 20:12:01.548000+00:00,False,0.48648648648641
2267,TIME_EXIT,-0.9189189189188136,2024-10-24 18:27:03.273000+00:00,TIME_EXIT,-0.4729729729730709,2024-10-24 18:27:03.273000+00:00,True,-0.4459459459457427
2268,TIME_EXIT,1.0545454545450104,2024-10-25 13:30:01.214000+00:00,TIME_EXIT,-0.58181818181836,2024-10-25 13:30:01.214000+00:00,True,1.6363636363633702
2269,TIME_EXIT,-0.7747747747744306,2024-10-28 12:45:06.144000+00:00,TIME_EXIT,-0.2972972972972445,2024-10-28 12:45:06.144000+00:00,True,-0.47747747747718605
2270,TP,1.4,2024-10-29 11:00:01.096000+00:00,TP,1.4,2024-10-29 11:00:01.096000+00:00,True,0.0
2271,BE,0.0,2024-10-30 11:12:01.298000+00:00,BE,0.0,2024-10-30 11:12:01.298000+00:00,True,0.0
2272,TP,1.4,2024-10-31 18:48:01.218000+00:00,TP,1.4,2024-10-31 18:48:01.218000+00:00,True,0.0
2273,BE,0.0,2024-11-01 12:24:02.765000+00:00,TIME_EXIT,-0.0754716981131782,2024-11-01 12:24:02.765000+00:00,False,0.0754716981131782
2274,TP,1.4,2024-11-04 15:45:04.130000+00:00,TP,1.4,2024-11-04 15:45:04.130000+00:00,True,0.0
2275,TP,1.4,2024-11-05 14:09:01.264000+00:00,TP,1.4,2024-11-05 14:09:01.264000+00:00,True,0.0
2276,TIME_EXIT,0.7918552036198009,2024-11-06 12:27:01.035000+00:00,BE,0.0,2024-11-06 12:27:01.035000+00:00,False,0.7918552036198009
2277,TP,1.4,2024-11-07 12:03:01.230000+00:00,TP,1.4,2024-11-07 12:03:01.230000+00:00,True,0.0
2278,TP,1.4,2024-11-08 13:18:01.396000+00:00,TP,1.4,2024-11-08 13:18:01.396000+00:00,True,0.0
2279,TIME_EXIT,0.1673003802281162,2024-11-11 14:12:01.015000+00:00,TIME_EXIT,-0.4258555133079885,2024-11-11 14:12:01.015000+00:00,True,0.5931558935361047
2280,BE,0.0,2024-11-12 15:54:01.054000+00:00,BE,0.0,2024-11-12 15:54:01.054000+00:00,True,0.0
2281,BE,0.0,2024-11-13 15:06:01.053000+00:00,BE,0.0,2024-11-13 15:06:01.053000+00:00,True,0.0
2282,TIME_EXIT,0.4322033898304807,2024-11-14 12:33:02.041000+00:00,BE,0.0,2024-11-14 12:33:02.041000+00:00,False,0.4322033898304807
2283,BE,0.0,2024-11-15 13:30:01.091000+00:00,BE,0.0,2024-11-15 13:30:01.091000+00:00,True,0.0
2284,BE,0.0,2024-11-18 15:18:01.094000+00:00,BE,0.0,2024-11-18 15:18:01.094000+00:00,True,0.0
2285,BE,0.0,2024-11-20 16:09:01.601000+00:00,BE,0.0,2024-11-20 16:09:01.601000+00:00,True,0.0
2286,TIME_EXIT,0.9538461538460336,2024-11-21 15:27:01.518000+00:00,TP,1.4,2024-11-21 15:27:01.518000+00:00,False,-0.44615384615396636
2287,TP,1.4,2024-11-25 13:00:01.137000+00:00,TP,1.4,2024-11-25 13:00:01.137000+00:00,True,0.0
2288,TP,1.4,2024-11-26 12:12:01.143000+00:00,TP,1.4,2024-11-26 12:12:01.143000+00:00,True,0.0
2289,TIME_EXIT,0.3248175182481487,2024-11-27 14:36:01.036000+00:00,TIME_EXIT,0.3430656934306353,2024-11-27 14:36:01.036000+00:00,True,-0.018248175182486615
2290,BE,0.0,2024-11-28 15:36:01.141000+00:00,BE,0.0,2024-11-28 15:36:01.141000+00:00,True,0.0
2291,TP,1.4,2024-11-29 12:57:02.057000+00:00,TP,1.4,2024-11-29 12:57:02.057000+00:00,True,0.0
2310,BE,0.0,2025-01-02 13:00:01.053000+00:00,BE,0.0,2025-01-02 13:00:01.053000+00:00,True,0.0
2311,TIME_EXIT,0.5706214689264639,2025-01-03 15:12:01.070000+00:00,TIME_EXIT,0.5706214689265284,2025-01-03 15:12:01.070000+00:00,True,-6.45039577307216e-14
2312,BE,0.0,2025-01-07 15:00:01.061000+00:00,BE,0.0,2025-01-07 15:00:01.061000+00:00,True,0.0
2313,BE,0.0,2025-01-09 16:42:04.195000+00:00,BE,0.0,2025-01-09 16:42:04.195000+00:00,True,0.0
2314,TIME_EXIT,0.8962406015037272,2025-01-10 13:30:01.153000+00:00,TIME_EXIT,0.5909774436090209,2025-01-10 13:30:01.153000+00:00,True,0.30526315789470626
2315,TP,1.4,2025-01-13 16:24:03.690000+00:00,TP,1.4,2025-01-13 16:24:03.690000+00:00,True,0.0
2316,TIME_EXIT,0.313253012048067,2025-01-14 12:45:01.531000+00:00,BE,0.0,2025-01-14 12:45:01.531000+00:00,False,0.313253012048067
2317,TIME_EXIT,0.9848484848483956,2025-01-15 15:00:01.108000+00:00,BE,0.0,2025-01-15 15:00:01.108000+00:00,False,0.9848484848483956
2318,BE,0.0,2025-01-16 13:06:01.396000+00:00,BE,0.0,2025-01-16 13:06:01.396000+00:00,True,0.0
2319,TIME_EXIT,0.3323699421965914,2025-01-17 14:48:01.001000+00:00,TIME_EXIT,0.4277456647399271,2025-01-17 14:48:01.001000+00:00,True,-0.0953757225433357
2320,TIME_EXIT,0.4516129032255155,2025-01-20 12:27:01.242000+00:00,TIME_EXIT,0.4731182795698881,2025-01-20 12:27:01.242000+00:00,True,-0.021505376344372606
2321,TP,1.4,2025-01-21 17:57:01.717000+00:00,TP,1.4,2025-01-21 17:57:01.717000+00:00,True,0.0
2322,TIME_EXIT,0.4426229508196114,2025-01-22 13:36:02.096000+00:00,TIME_EXIT,0.8360655737705089,2025-01-22 13:36:02.096000+00:00,True,-0.39344262295089755
2323,BE,0.0,2025-01-23 16:09:01.634000+00:00,BE,0.0,2025-01-23 16:09:01.634000+00:00,True,0.0
2324,TP,1.4,2025-01-24 17:48:01.012000+00:00,TIME_EXIT,1.3306451612904446,2025-01-24 17:48:01.012000+00:00,False,0.06935483870955528
2325,BE,0.0,2025-01-27 12:00:01.031000+00:00,BE,0.0,2025-01-27 12:00:01.031000+00:00,True,0.0
2326,TP,1.4,2025-01-28 12:00:01.618000+00:00,TP,1.4,2025-01-28 12:00:01.618000+00:00,True,0.0
