month,trade_id,direction,entry_time_utc,original_exit_time_utc,close_model,close_time_ny,close_time_utc,executable_exit_price,tick_R,auditable_yes_no,non_auditable_reason,delta_vs_original_R
2017-05,544,SHORT,2017-05-09 18:09:00+00:00,2017-05-09 18:15:00+00:00,20:00,2017-05-09 20:00:00-04:00,2017-05-10 00:00:00+00:00,1.08864,-0.8648648648646623,YES,,-1.5135135135130091
2017-05,545,LONG,2017-05-10 18:33:00+00:00,2017-05-11 00:00:00+00:00,19:00,2017-05-10 19:00:00-04:00,2017-05-10 23:00:00+00:00,1.08664,1.1733333333330096,YES,,-0.0933333333333275
2017-05,545,LONG,2017-05-10 18:33:00+00:00,2017-05-11 00:00:00+00:00,19:45,2017-05-10 19:45:00-04:00,2017-05-10 23:45:00+00:00,1.0868,1.3866666666662033,YES,,0.11999999999986621
2017-05,545,LONG,2017-05-10 18:33:00+00:00,2017-05-11 00:00:00+00:00,20:00,2017-05-10 20:00:00-04:00,2017-05-11 00:00:00+00:00,1.08671,1.2666666666663373,YES,,2.220446049250313e-16
2017-05,546,SHORT,2017-05-12 11:45:00+00:00,2017-05-12 12:30:00+00:00,19:00,2017-05-12 19:00:00-04:00,2017-05-12 23:00:00+00:00,,0.0,NO,NO_TICKS_AT_CLOSE_TIME,0.0
2017-05,546,SHORT,2017-05-12 11:45:00+00:00,2017-05-12 12:30:00+00:00,19:45,2017-05-12 19:45:00-04:00,2017-05-12 23:45:00+00:00,,0.0,NO,NO_TICKS_AT_CLOSE_TIME,0.0
2017-05,546,SHORT,2017-05-12 11:45:00+00:00,2017-05-12 12:30:00+00:00,20:00,2017-05-12 20:00:00-04:00,2017-05-13 00:00:00+00:00,,0.0,NO,NO_TICKS_AT_CLOSE_TIME,0.0
2017-05,547,LONG,2017-05-15 12:30:00+00:00,2017-05-15 14:42:00+00:00,19:00,2017-05-15 19:00:00-04:00,2017-05-15 23:00:00+00:00,1.09807,1.054545454545404,YES,,-0.009090909090766042
2017-05,547,LONG,2017-05-15 12:30:00+00:00,2017-05-15 14:42:00+00:00,19:45,2017-05-15 19:45:00-04:00,2017-05-15 23:45:00+00:00,1.0983,1.2636363636362509,YES,,0.20000000000008078
2017-05,547,LONG,2017-05-15 12:30:00+00:00,2017-05-15 14:42:00+00:00,20:00,2017-05-15 20:00:00-04:00,2017-05-16 00:00:00+00:00,1.09798,0.9727272727270974,YES,,-0.09090909090907273
2017-05,548,SHORT,2017-05-16 11:36:00+00:00,2017-05-16 12:03:00+00:00,19:00,2017-05-16 19:00:00-04:00,2017-05-16 23:00:00+00:00,1.10951,-3.656249999999898,YES,,-4.000000000000068
2017-05,548,SHORT,2017-05-16 11:36:00+00:00,2017-05-16 12:03:00+00:00,19:45,2017-05-16 19:45:00-04:00,2017-05-16 23:45:00+00:00,1.10951,-3.656249999999898,YES,,-4.000000000000068
2017-05,548,SHORT,2017-05-16 11:36:00+00:00,2017-05-16 12:03:00+00:00,20:00,2017-05-16 20:00:00-04:00,2017-05-17 00:00:00+00:00,1.10936,-3.4999999999997993,YES,,-3.84374999999997
2017-05,549,LONG,2017-05-17 13:48:00+00:00,2017-05-17 14:12:00+00:00,19:00,2017-05-17 19:00:00-04:00,2017-05-17 23:00:00+00:00,1.11614,3.7971014492750235,YES,,2.3188405797098826
2017-05,549,LONG,2017-05-17 13:48:00+00:00,2017-05-17 14:12:00+00:00,19:45,2017-05-17 19:45:00-04:00,2017-05-17 23:45:00+00:00,1.11555,3.3695652173910915,YES,,1.8913043478259508
2017-05,549,LONG,2017-05-17 13:48:00+00:00,2017-05-17 14:12:00+00:00,20:00,2017-05-17 20:00:00-04:00,2017-05-18 00:00:00+00:00,1.11543,3.2826086956518803,YES,,1.8043478260867396
2017-05,550,SHORT,2017-05-18 17:15:00+00:00,2017-05-18 17:33:00+00:00,19:00,2017-05-18 19:00:00-04:00,2017-05-18 23:00:00+00:00,1.1108,1.4672897196260979,YES,,0.747663551401717
2017-05,550,SHORT,2017-05-18 17:15:00+00:00,2017-05-18 17:33:00+00:00,19:45,2017-05-18 19:45:00-04:00,2017-05-18 23:45:00+00:00,1.11117,1.121495327102783,YES,,0.40186915887840213
2017-05,550,SHORT,2017-05-18 17:15:00+00:00,2017-05-18 17:33:00+00:00,20:00,2017-05-18 20:00:00-04:00,2017-05-19 00:00:00+00:00,1.11105,1.2336448598129575,YES,,0.5140186915885766
2017-05,551,LONG,2017-05-19 11:09:00+00:00,2017-05-19 13:09:00+00:00,19:00,2017-05-19 19:00:00-04:00,2017-05-19 23:00:00+00:00,,0.0,NO,NO_TICKS_AT_CLOSE_TIME,0.0
