trade_id,month,date,direction,entry_time_ny,exit_time_ny,entry_price_bar,nearest_bid,nearest_ask,spread_entry,sl,tp,risk,be_trigger_price,be_trigger_touched,be_trigger_time,be_stop_price,bar_outcome,tick_outcome,bar_R,tick_R,first_touch,first_touch_time,auditable_yes_no,match_status,notes,non_auditable_reason
2164,2024-05,2024-05-20,SHORT,2024-05-20T11:09:00+00:00,2024-05-20T11:36:00+00:00,1.0865,1.08677,1.08679,0.1999999999990898,1.08753,1.085706,0.00076,1.086466,True,2024-05-20T11:15:37.487000+00:00,1.08677,SL,FORCED_CLOSE,0.0,0.6052631578946117,TIME,2024-05-20T11:36:01.469000+00:00,YES,MISMATCH,Corrected BE model: Trigger 0.4R -> Stop 0.0R. Initial Risk: 0.000760,
2165,2024-05,2024-05-21,SHORT,2024-05-21T13:00:00+00:00,2024-05-21T14:39:00+00:00,1.0845,1.08572,1.08573,0.10000000000065512,1.08614,1.085132,0.00042000000000008697,1.085552,True,2024-05-21T13:00:02.495000+00:00,1.08572,SL,TP,-1.0,1.4,TP,2024-05-21T13:00:04.427000+00:00,YES,MISMATCH,Corrected BE model: Trigger 0.4R -> Stop 0.0R. Initial Risk: 0.000420,
2166,2024-05,2024-05-22,SHORT,2024-05-22T17:27:00+00:00,2024-05-22T18:00:00+00:00,1.08416,1.08429,1.0843,0.10000000000065512,1.08492,1.083408,0.0006300000000001,1.0840379999999998,True,2024-05-22T17:31:10.510000+00:00,1.08429,TP,FORCED_CLOSE,1.4,0.7301587301584633,TIME,2024-05-22T18:00:00.094000+00:00,YES,MISMATCH,Corrected BE model: Trigger 0.4R -> Stop 0.0R. Initial Risk: 0.000630,
2167,2024-05,2024-05-23,LONG,2024-05-23T11:33:00+00:00,2024-05-23T12:45:00+00:00,1.08477,1.08444,1.08445,0.09999999999843467,1.0838799999999997,1.085248,0.0005700000000001,1.084678,True,2024-05-23T11:34:13.578000+00:00,1.08445,SL,TP,0.0,1.4,TP,2024-05-23T11:59:04.544000+00:00,YES,MISMATCH,Corrected BE model: Trigger 0.4R -> Stop 0.0R. Initial Risk: 0.000570,
2168,2024-05,2024-05-24,SHORT,2024-05-24T16:48:00+00:00,2024-05-26T21:00:00+00:00,1.08485,1.08495,1.08497,0.1999999999990898,1.0859800000000002,1.0835080000000001,0.00103,1.084538,False,,1.08495,SL,FORCED_CLOSE,0.0,-0.4368932038833392,TIME,2024-05-26T21:00:08.855000+00:00,YES,MISMATCH,Corrected BE model: Trigger 0.4R -> Stop 0.0R. Initial Risk: 0.001030,
2169,2024-05,2024-05-27,LONG,2024-05-27T14:54:00+00:00,2024-05-28T00:00:00+00:00,1.08596,1.08584,1.08586,0.20000000000131024,1.08478,1.087372,0.0010799999999999699,1.086292,False,,1.08586,FORCED_CLOSE,FORCED_CLOSE,0.237288,0.2685185185184348,TIME,2024-05-28T00:00:00.195000+00:00,YES,MATCH,Corrected BE model: Trigger 0.4R -> Stop 0.0R. Initial Risk: 0.001080,
2170,2024-05,2024-05-28,LONG,2024-05-28T11:03:00+00:00,2024-05-28T11:27:00+00:00,1.08839,1.08792,1.08794,0.1999999999990898,1.0872699999999997,1.088878,0.0006700000000001,1.0882079999999998,True,2024-05-28T11:04:18.772000+00:00,1.08794,SL,TP,0.0,1.4,TP,2024-05-28T11:17:51.086000+00:00,YES,MISMATCH,Corrected BE model: Trigger 0.4R -> Stop 0.0R. Initial Risk: 0.000670,
2171,2024-05,2024-05-29,SHORT,2024-05-29T14:21:00+00:00,2024-05-30T00:00:00+00:00,1.08231,1.08326,1.08329,0.30000000000196536,1.08522,1.0805159999999998,0.0019600000000001,1.0824759999999998,True,2024-05-29T14:23:00.197000+00:00,1.08326,FORCED_CLOSE,TP,1.188776,1.4,TP,2024-05-29T18:53:29.615000+00:00,YES,MISMATCH,Corrected BE model: Trigger 0.4R -> Stop 0.0R. Initial Risk: 0.001960,
2172,2024-05,2024-05-30,LONG,2024-05-30T12:30:00+00:00,2024-05-30T14:06:00+00:00,1.08227,1.08155,1.08166,1.100000000000545,1.0805799999999999,1.0831720000000002,0.0010800000000001,1.082092,True,2024-05-30T12:30:06.445000+00:00,1.08166,TP,TP,1.4,1.4,TP,2024-05-30T12:55:54.013000+00:00,YES,MATCH,Corrected BE model: Trigger 0.4R -> Stop 0.0R. Initial Risk: 0.001080,
2173,2024-05,2024-05-31,LONG,2024-05-31T11:03:00+00:00,2024-05-31T11:24:00+00:00,1.08523,1.085,1.08502,0.20000000000131024,1.0845,1.0857480000000002,0.00052,1.085228,True,2024-05-31T11:06:00.108000+00:00,1.08502,SL,FORCED_CLOSE,0.0,0.8269230769229432,TIME,2024-05-31T11:24:00.191000+00:00,YES,MISMATCH,Corrected BE model: Trigger 0.4R -> Stop 0.0R. Initial Risk: 0.000520,
2174,2024-06,2024-06-03,LONG,2024-06-03T11:00:00+00:00,2024-06-03T11:15:00+00:00,1.08388,1.0837,1.08371,0.09999999999843467,1.08343,1.084102,0.00028,1.0838219999999998,True,2024-06-03T11:00:51.115000+00:00,1.08371,TP,TP,1.4,1.4,TP,2024-06-03T11:09:06.213000+00:00,YES,MATCH,Corrected BE model: Trigger 0.4R -> Stop 0.0R. Initial Risk: 0.000280,
2175,2024-06,2024-06-06,SHORT,2024-06-06T11:03:00+00:00,2024-06-06T11:21:00+00:00,1.08743,1.08751,1.08754,0.2999999999997449,1.0878600000000003,1.0870199999999997,0.0003500000000002,1.08737,True,2024-06-06T11:06:12.970000+00:00,1.08751,TP,FORCED_CLOSE,1.4,1.3428571428562912,TIME,2024-06-06T11:21:21.192000+00:00,YES,MISMATCH,Corrected BE model: Trigger 0.4R -> Stop 0.0R. Initial Risk: 0.000350,
2176,2024-06,2024-06-07,SHORT,2024-06-07T12:30:00+00:00,2024-06-10T00:00:00+00:00,1.08393,1.08966,1.08982,1.5999999999993797,1.0959500000000002,1.080854,0.0062900000000001,1.087144,True,2024-06-07T12:30:02.228000+00:00,1.08966,FORCED_CLOSE,TP,0.950715,1.4,TP,2024-06-07T15:08:02.419000+00:00,YES,MISMATCH,Corrected BE model: Trigger 0.4R -> Stop 0.0R. Initial Risk: 0.006290,
2177,2024-06,2024-06-10,LONG,2024-06-10T11:06:00+00:00,2024-06-10T11:18:00+00:00,1.07396,1.07381,1.07382,0.10000000000065512,1.0734399999999997,1.0743520000000002,0.0003800000000002,1.0739720000000001,True,2024-06-10T11:09:03.499000+00:00,1.07382,TP,TP,1.4,1.4,TP,2024-06-10T11:13:44.045000+00:00,YES,MATCH,Corrected BE model: Trigger 0.4R -> Stop 0.0R. Initial Risk: 0.000380,
2178,2024-06,2024-06-11,SHORT,2024-06-11T11:09:00+00:00,2024-06-11T11:18:00+00:00,1.07357,1.07393,1.07395,0.1999999999990898,1.0746100000000003,1.0729779999999998,0.0006800000000002,1.073658,True,2024-06-11T11:10:49.083000+00:00,1.07393,TP,TP,1.4,1.4,TP,2024-06-11T11:14:46.024000+00:00,YES,MATCH,Corrected BE model: Trigger 0.4R -> Stop 0.0R. Initial Risk: 0.000680,
2179,2024-06,2024-06-12,LONG,2024-06-12T13:24:00+00:00,2024-06-12T13:36:00+00:00,1.08308,1.08272,1.08274,0.20000000000131024,1.0814499999999998,1.0845460000000002,0.0012900000000002,1.0832560000000002,True,2024-06-12T13:29:00.292000+00:00,1.08274,SL,FORCED_CLOSE,0.0,0.5581395348836762,TIME,2024-06-12T13:36:01.848000+00:00,YES,MISMATCH,Corrected BE model: Trigger 0.4R -> Stop 0.0R. Initial Risk: 0.001290,
2180,2024-06,2024-06-13,LONG,2024-06-13T12:18:00+00:00,2024-06-13T12:30:00+00:00,1.07896,1.07863,1.07864,0.10000000000065512,1.07764,1.0800400000000001,0.0010000000000001,1.07904,True,2024-06-13T12:21:18.677000+00:00,1.07864,SL,FORCED_CLOSE,0.0,0.4999999999998949,TIME,2024-06-13T12:30:00.079000+00:00,YES,MISMATCH,Corrected BE model: Trigger 0.4R -> Stop 0.0R. Initial Risk: 0.001000,
