year_month,trades_count,total_R,PF,Winrate,Expectancy,TP,BE,SL,forced_close,classification
2018-01,19.0,6.3999999999999995,4.2,31.57894736842105,0.3368421052631579,6.0,11.0,2.0,0.0,GOOD
2018-02,19.0,4.799999999999999,1.9600000000000002,36.84210526315789,0.2526315789473684,7.0,7.0,5.0,0.0,NORMAL
2018-03,21.0,3.3872549999999997,1.84681375,28.57142857142857,0.16129785714285713,5.0,11.0,4.0,1.0,NORMAL
2018-04,18.0,9.2,5.6,44.44444444444444,0.5111111111111111,8.0,8.0,2.0,0.0,GOOD
2018-05,20.0,2.626384,1.5252767999999999,35.0,0.1313192,5.0,8.0,5.0,2.0,NORMAL
2018-06,21.0,6.800000000000001,3.266666666666667,33.33333333333333,0.3238095238095238,7.0,11.0,3.0,0.0,GOOD
2018-07,20.0,8.799999999999999,9.8,35.0,0.43999999999999995,7.0,11.0,1.0,1.0,GOOD
2018-08,21.0,7.799999999999999,4.9,33.33333333333333,0.3714285714285714,7.0,12.0,2.0,0.0,GOOD
2018-09,16.0,9.2,5.6,50.0,0.575,8.0,6.0,2.0,0.0,GOOD
2018-10,20.0,2.1792209999999996,1.54480525,25.0,0.10896104999999998,4.0,11.0,4.0,1.0,NORMAL
2018-11,19.0,1.5791229999999996,1.3642322287430881,26.31578947368421,0.08311173684210524,4.0,9.0,4.0,2.0,NORMAL
2018-12,18.0,4.799999999999999,1.9600000000000002,38.88888888888889,0.2666666666666666,7.0,6.0,5.0,0.0,NORMAL
2019-01,19.0,7.857470999999999,2.9643677499999996,47.368421052631575,0.41355110526315786,8.0,6.0,4.0,1.0,GOOD
2019-02,16.0,6.3999999999999995,4.2,37.5,0.39999999999999997,6.0,8.0,2.0,0.0,GOOD
2019-03,19.0,3.5999999999999996,2.8,21.052631578947366,0.1894736842105263,4.0,13.0,2.0,0.0,NORMAL
2019-04,18.0,2.9442619999999997,1.9814206666666667,27.77777777777778,0.16357011111111108,4.0,10.0,3.0,1.0,NORMAL
2019-05,21.0,9.286035,5.851726651218804,38.095238095238095,0.44219214285714287,8.0,10.0,1.0,2.0,GOOD
2019-06,16.0,5.799999999999999,2.45,43.75,0.36249999999999993,7.0,5.0,4.0,0.0,GOOD
