direction,entry_time,exit_time,entry_price,exit_price,sl,tp,risk,status,be_triggered,outcome,r_result,entry_date,year,month,month_name,hour_ny,weekday
SHORT,2024-06-28 11:24:00+00:00,2024-06-28 11:54:00+00:00,1.07042,1.0692439999999996,1.07042,1.0692439999999996,0.0008400000000001,TP,True,TP,1.4,2024-06-28,2024,2024-06,Junio,7,Viernes
SHORT,2024-07-01 14:09:00+00:00,2024-07-01 15:09:00+00:00,1.07497,1.0720299999999996,1.07497,1.0720299999999996,0.0021000000000002,TP,True,TP,1.4,2024-07-01,2024,2024-07,Julio,10,Lunes
LONG,2024-07-02 13:00:00+00:00,2024-07-02 13:39:00+00:00,1.07347,1.0742680000000002,1.07347,1.0742680000000002,0.0005700000000001,TP,True,TP,1.4,2024-07-02,2024,2024-07,Julio,9,Martes
LONG,2024-07-03 12:15:00+00:00,2024-07-03 12:42:00+00:00,1.0763,1.0775740000000005,1.0763,1.0775740000000005,0.0009100000000001,TP,True,TP,1.4,2024-07-03,2024,2024-07,Julio,8,Miercoles
LONG,2024-07-04 14:00:00+00:00,2024-07-04 14:48:00+00:00,1.08024,1.0808140000000004,1.08024,1.0808140000000004,0.0004100000000002,TP,True,TP,1.4,2024-07-04,2024,2024-07,Julio,10,Jueves
SHORT,2024-07-05 11:03:00+00:00,2024-07-05 12:03:00+00:00,1.08216,1.08216,1.08216,1.081516,0.0004600000000001,SL,True,BE,0.0,2024-07-05,2024,2024-07,Julio,7,Viernes
SHORT,2024-07-08 13:06:00+00:00,2024-07-08 14:39:00+00:00,1.08389,1.08389,1.08389,1.0828959999999996,0.0007100000000002,SL,True,BE,0.0,2024-07-08,2024,2024-07,Julio,9,Lunes
SHORT,2024-07-09 11:09:00+00:00,2024-07-09 13:06:00+00:00,1.08196,1.08196,1.08196,1.0812179999999998,0.0005300000000001,SL,True,BE,0.0,2024-07-09,2024,2024-07,Julio,7,Martes
LONG,2024-07-10 11:30:00+00:00,2024-07-10 11:51:00+00:00,1.08243,1.08243,1.08243,1.0832000000000004,0.0005500000000002,SL,True,BE,0.0,2024-07-10,2024,2024-07,Julio,7,Miercoles
SHORT,2024-07-12 11:54:00+00:00,2024-07-12 12:30:00+00:00,1.08869,1.0878079999999994,1.0893200000000005,1.0878079999999994,0.0006300000000003,TP,False,TP,1.4,2024-07-12,2024,2024-07,Julio,7,Viernes
SHORT,2024-07-15 15:21:00+00:00,2024-07-15 16:42:00+00:00,1.09144,1.09144,1.09144,1.0902079999999996,0.0008800000000002,SL,True,BE,0.0,2024-07-15,2024,2024-07,Julio,11,Lunes
LONG,2024-07-16 13:39:00+00:00,2024-07-16 18:36:00+00:00,1.08808,1.089522,1.08808,1.089522,0.00103,TP,True,TP,1.4,2024-07-16,2024,2024-07,Julio,9,Martes
LONG,2024-07-18 12:15:00+00:00,2024-07-18 13:06:00+00:00,1.09338,1.09227,1.09227,1.0949340000000003,0.0011100000000001,SL,False,SL,-1.0,2024-07-18,2024,2024-07,Julio,8,Jueves
LONG,2024-07-19 11:12:00+00:00,2024-07-19 12:03:00+00:00,1.08893,1.08893,1.08893,1.089952,0.0007300000000001,SL,True,BE,0.0,2024-07-19,2024,2024-07,Julio,7,Viernes
SHORT,2024-07-22 12:33:00+00:00,2024-07-22 13:21:00+00:00,1.08824,1.08824,1.08824,1.08726,0.0007000000000001,SL,True,BE,0.0,2024-07-22,2024,2024-07,Julio,8,Lunes
SHORT,2024-07-23 13:03:00+00:00,2024-07-23 13:12:00+00:00,1.08535,1.08535,1.08535,1.0848459999999998,0.0003600000000001,SL,True,BE,0.0,2024-07-23,2024,2024-07,Julio,9,Martes
LONG,2024-07-24 11:48:00+00:00,2024-07-24 13:42:00+00:00,1.08477,1.0861980000000004,1.08477,1.0861980000000004,0.0010200000000002,TP,True,TP,1.4,2024-07-24,2024,2024-07,Julio,7,Miercoles
SHORT,2024-07-25 17:27:00+00:00,2024-07-26 00:00:00+00:00,1.08586,1.0853,1.08586,1.084138,0.00123,FORCED_CLOSE,True,FORCED_CLOSE,0.455285,2024-07-25,2024,2024-07,Julio,13,Jueves
SHORT,2024-07-26 14:24:00+00:00,2024-07-26 14:42:00+00:00,1.08566,1.08566,1.08566,1.0839099999999997,0.0012500000000001,SL,True,BE,0.0,2024-07-26,2024,2024-07,Julio,10,Viernes
SHORT,2024-07-29 11:00:00+00:00,2024-07-29 11:09:00+00:00,1.08341,1.08341,1.08341,1.0830319999999998,0.0002700000000002,SL,True,BE,0.0,2024-07-29,2024,2024-07,Julio,7,Lunes
SHORT,2024-07-30 11:06:00+00:00,2024-07-30 11:12:00+00:00,1.08309,1.08309,1.08309,1.0826,0.00035,SL,True,BE,0.0,2024-07-30,2024,2024-07,Julio,7,Martes
SHORT,2024-07-31 11:42:00+00:00,2024-07-31 12:15:00+00:00,1.08343,1.08343,1.08343,1.0824779999999996,0.0006800000000002,SL,True,BE,0.0,2024-07-31,2024,2024-07,Julio,7,Miercoles
SHORT,2024-08-01 13:00:00+00:00,2024-08-01 14:00:00+00:00,1.0793,1.0809400000000002,1.0809400000000002,1.0770039999999994,0.0016400000000003,SL,False,SL,-1.0,2024-08-01,2024,2024-08,Agosto,9,Jueves
LONG,2024-08-02 11:00:00+00:00,2024-08-02 11:24:00+00:00,1.08268,1.0833660000000005,1.08268,1.0833660000000005,0.0004900000000003,TP,True,TP,1.4,2024-08-02,2024,2024-08,Agosto,7,Viernes
LONG,2024-08-06 11:00:00+00:00,2024-08-06 12:18:00+00:00,1.09117,1.09117,1.09117,1.0924300000000002,0.0009000000000001,SL,True,BE,0.0,2024-08-06,2024,2024-08,Agosto,7,Martes
LONG,2024-08-07 14:18:00+00:00,2024-08-07 14:39:00+00:00,1.09238,1.09322,1.09238,1.09322,0.0006000000000001,TP,True,TP,1.4,2024-08-07,2024,2024-08,Agosto,10,Miercoles
SHORT,2024-08-08 12:30:00+00:00,2024-08-08 13:48:00+00:00,1.09119,1.088166,1.09119,1.088166,0.0021600000000001,TP,True,TP,1.4,2024-08-08,2024,2024-08,Agosto,8,Jueves
SHORT,2024-08-09 12:15:00+00:00,2024-08-09 12:36:00+00:00,1.09138,1.09138,1.09138,1.0904419999999997,0.0006700000000001,SL,True,BE,0.0,2024-08-09,2024,2024-08,Agosto,8,Viernes
LONG,2024-08-12 11:03:00+00:00,2024-08-12 12:42:00+00:00,1.09287,1.09187,1.09187,1.09427,0.0010000000000001,SL,False,SL,-1.0,2024-08-12,2024,2024-08,Agosto,7,Lunes
LONG,2024-08-13 11:09:00+00:00,2024-08-13 11:51:00+00:00,1.09256,1.0931340000000005,1.09256,1.0931340000000005,0.0004100000000002,TP,True,TP,1.4,2024-08-13,2024,2024-08,Agosto,7,Martes
SHORT,2024-08-14 12:03:00+00:00,2024-08-14 12:36:00+00:00,1.1019,1.1019,1.1019,1.099464,0.00174,SL,True,BE,0.0,2024-08-14,2024,2024-08,Agosto,8,Miercoles
SHORT,2024-08-15 12:30:00+00:00,2024-08-15 14:15:00+00:00,1.09728,1.09728,1.09728,1.0913439999999996,0.0042400000000002,SL,True,BE,0.0,2024-08-15,2024,2024-08,Agosto,8,Jueves
SHORT,2024-08-16 14:00:00+00:00,2024-08-16 14:18:00+00:00,1.09977,1.0989999999999995,1.09977,1.0989999999999995,0.0005500000000002,TP,True,TP,1.4,2024-08-16,2024,2024-08,Agosto,10,Viernes
LONG,2024-08-19 11:45:00+00:00,2024-08-19 12:27:00+00:00,1.10387,1.10387,1.10387,1.104878,0.00072,SL,True,BE,0.0,2024-08-19,2024,2024-08,Agosto,7,Lunes
LONG,2024-08-20 12:21:00+00:00,2024-08-20 12:57:00+00:00,1.10869,1.1097400000000004,1.10869,1.1097400000000004,0.0007500000000002,TP,True,TP,1.4,2024-08-20,2024,2024-08,Agosto,8,Martes
LONG,2024-08-21 15:24:00+00:00,2024-08-21 18:03:00+00:00,1.11406,1.1164680000000002,1.11406,1.1164680000000002,0.0017200000000001,TP,True,TP,1.4,2024-08-21,2024,2024-08,Agosto,11,Miercoles
LONG,2024-08-22 12:42:00+00:00,2024-08-22 13:03:00+00:00,1.1137,1.1137,1.1137,1.115478,0.0012700000000001,SL,True,BE,0.0,2024-08-22,2024,2024-08,Agosto,8,Jueves
LONG,2024-08-23 13:57:00+00:00,2024-08-23 14:00:00+00:00,1.11153,1.113042,1.1104499999999995,1.113042,0.0010800000000001,TP,False,TP,1.4,2024-08-23,2024,2024-08,Agosto,9,Viernes
SHORT,2024-08-26 12:30:00+00:00,2024-08-26 13:24:00+00:00,1.11588,1.11588,1.11588,1.1143819999999998,0.0010700000000001,SL,True,BE,0.0,2024-08-26,2024,2024-08,Agosto,8,Lunes
SHORT,2024-08-27 11:57:00+00:00,2024-08-27 12:54:00+00:00,1.11605,1.11605,1.11605,1.1146219999999996,0.0010200000000002,SL,True,BE,0.0,2024-08-27,2024,2024-08,Agosto,7,Martes
LONG,2024-08-29 15:09:00+00:00,2024-08-29 15:36:00+00:00,1.1075,1.1075,1.1075,1.108788,0.00092,SL,True,BE,0.0,2024-08-29,2024,2024-08,Agosto,11,Jueves
LONG,2024-08-30 13:51:00+00:00,2024-08-30 14:57:00+00:00,1.10722,1.10722,1.10722,1.1099360000000005,0.0019400000000002,SL,True,BE,0.0,2024-08-30,2024,2024-08,Agosto,9,Viernes
SHORT,2024-10-01 12:15:00+00:00,2024-10-01 13:03:00+00:00,1.10772,1.10772,1.10772,1.105984,0.0012400000000001,SL,True,BE,0.0,2024-10-01,2024,2024-10,Octubre,8,Martes
SHORT,2024-10-02 12:15:00+00:00,2024-10-02 13:06:00+00:00,1.10635,1.10635,1.10635,1.1042779999999994,0.0014800000000003,SL,True,BE,0.0,2024-10-02,2024,2024-10,Octubre,8,Miercoles
SHORT,2024-10-03 12:03:00+00:00,2024-10-03 12:30:00+00:00,1.1041,1.1041,1.1041,1.1031479999999998,0.0006800000000002,SL,True,BE,0.0,2024-10-03,2024,2024-10,Octubre,8,Jueves
SHORT,2024-10-04 12:09:00+00:00,2024-10-04 12:30:00+00:00,1.10277,1.1034000000000002,1.1034000000000002,1.1018879999999998,0.0006300000000001,SL,False,SL,-1.0,2024-10-04,2024,2024-10,Octubre,8,Viernes
LONG,2024-10-07 13:54:00+00:00,2024-10-07 14:03:00+00:00,1.09803,1.09803,1.09803,1.0993180000000005,0.0009200000000002,SL,True,BE,0.0,2024-10-07,2024,2024-10,Octubre,9,Lunes
LONG,2024-10-08 11:45:00+00:00,2024-10-08 12:06:00+00:00,1.09849,1.09849,1.09849,1.0995260000000002,0.0007400000000001,SL,True,BE,0.0,2024-10-08,2024,2024-10,Octubre,7,Martes
SHORT,2024-10-09 11:27:00+00:00,2024-10-09 11:36:00+00:00,1.09625,1.09625,1.09625,1.0954939999999995,0.0005400000000002,SL,True,BE,0.0,2024-10-09,2024,2024-10,Octubre,7,Miercoles
SHORT,2024-10-10 14:06:00+00:00,2024-10-10 14:30:00+00:00,1.09329,1.091848,1.09329,1.091848,0.00103,TP,True,TP,1.4,2024-10-10,2024,2024-10,Octubre,10,Jueves
SHORT,2024-10-11 11:15:00+00:00,2024-10-11 11:33:00+00:00,1.09301,1.09301,1.09301,1.092044,0.00069,SL,True,BE,0.0,2024-10-11,2024,2024-10,Octubre,7,Viernes
SHORT,2024-10-14 12:36:00+00:00,2024-10-14 13:42:00+00:00,1.09084,1.09177,1.09177,1.089538,0.00093,SL,False,SL,-1.0,2024-10-14,2024,2024-10,Octubre,8,Lunes
SHORT,2024-10-15 13:24:00+00:00,2024-10-15 14:39:00+00:00,1.091,1.0899219999999998,1.091,1.0899219999999998,0.0007700000000001,TP,True,TP,1.4,2024-10-15,2024,2024-10,Octubre,9,Martes
SHORT,2024-10-16 12:36:00+00:00,2024-10-16 13:15:00+00:00,1.08927,1.08927,1.08927,1.0879119999999995,0.0009700000000003,SL,True,BE,0.0,2024-10-16,2024,2024-10,Octubre,8,Miercoles
SHORT,2024-10-17 11:54:00+00:00,2024-10-17 12:15:00+00:00,1.08633,1.08633,1.08633,1.08563,0.0005000000000001,SL,True,BE,0.0,2024-10-17,2024,2024-10,Octubre,7,Jueves
SHORT,2024-10-18 11:54:00+00:00,2024-10-18 12:30:00+00:00,1.08462,1.0852800000000002,1.0852800000000002,1.0836959999999995,0.0006600000000003,SL,False,SL,-1.0,2024-10-18,2024,2024-10,Octubre,7,Viernes
SHORT,2024-10-21 14:21:00+00:00,2024-10-21 15:06:00+00:00,1.0841,1.082882,1.0841,1.082882,0.0008700000000001,TP,True,TP,1.4,2024-10-21,2024,2024-10,Octubre,10,Lunes
SHORT,2024-10-22 12:00:00+00:00,2024-10-22 12:21:00+00:00,1.08187,1.08187,1.08187,1.081324,0.0003900000000001,SL,True,BE,0.0,2024-10-22,2024,2024-10,Octubre,8,Martes
SHORT,2024-10-23 20:12:00+00:00,2024-10-23 20:51:00+00:00,1.07837,1.07837,1.07837,1.0778519999999998,0.0003700000000002,SL,True,BE,0.0,2024-10-23,2024,2024-10,Octubre,16,Miercoles
SHORT,2024-10-24 18:27:00+00:00,2024-10-24 19:33:00+00:00,1.08183,1.0826900000000002,1.0826900000000002,1.080626,0.00086,SL,False,SL,-1.0,2024-10-24,2024,2024-10,Octubre,14,Jueves
SHORT,2024-10-25 13:30:00+00:00,2024-10-25 15:36:00+00:00,1.08286,1.0813199999999994,1.08286,1.0813199999999994,0.0011000000000003,TP,True,TP,1.4,2024-10-25,2024,2024-10,Octubre,9,Viernes
SHORT,2024-10-28 12:45:00+00:00,2024-10-28 14:51:00+00:00,1.08134,1.0827100000000005,1.0827100000000005,1.0794219999999994,0.0013700000000003,SL,False,SL,-1.0,2024-10-28,2024,2024-10,Octubre,8,Lunes
SHORT,2024-10-29 11:00:00+00:00,2024-10-29 11:33:00+00:00,1.08022,1.08022,1.08022,1.0795479999999995,0.0004800000000002,SL,True,BE,0.0,2024-10-29,2024,2024-10,Octubre,7,Martes
SHORT,2024-10-30 11:12:00+00:00,2024-10-30 11:51:00+00:00,1.08307,1.0822859999999994,1.08307,1.0822859999999994,0.0005600000000003,TP,True,TP,1.4,2024-10-30,2024,2024-10,Octubre,7,Miercoles
SHORT,2024-10-31 18:48:00+00:00,2024-10-31 19:03:00+00:00,1.08644,1.0874100000000002,1.0874100000000002,1.085082,0.0009700000000001,SL,False,SL,-1.0,2024-10-31,2024,2024-10,Octubre,14,Jueves
SHORT,2024-11-01 12:24:00+00:00,2024-11-03 22:00:00+00:00,1.08643,1.08643,1.08643,1.0804939999999996,0.0042400000000002,SL,True,BE,0.0,2024-11-01,2024,2024-11,Noviembre,8,Viernes
SHORT,2024-11-04 15:45:00+00:00,2024-11-04 16:54:00+00:00,1.08975,1.0881259999999997,1.08975,1.0881259999999997,0.0011600000000002,TP,True,TP,1.4,2024-11-04,2024,2024-11,Noviembre,10,Lunes
LONG,2024-11-05 14:09:00+00:00,2024-11-05 14:21:00+00:00,1.08981,1.0907480000000005,1.08981,1.0907480000000005,0.0006700000000001,TP,True,TP,1.4,2024-11-05,2024,2024-11,Noviembre,9,Martes
SHORT,2024-11-06 12:27:00+00:00,2024-11-06 12:33:00+00:00,1.06976,1.06976,1.06976,1.0666659999999997,0.0022100000000002,SL,True,BE,0.0,2024-11-06,2024,2024-11,Noviembre,7,Miercoles
LONG,2024-11-07 12:03:00+00:00,2024-11-07 12:54:00+00:00,1.07642,1.077624,1.07642,1.077624,0.00086,TP,True,TP,1.4,2024-11-07,2024,2024-11,Noviembre,7,Jueves
SHORT,2024-11-08 13:18:00+00:00,2024-11-08 13:33:00+00:00,1.07654,1.0753919999999997,1.07654,1.0753919999999997,0.0008200000000002,TP,True,TP,1.4,2024-11-08,2024,2024-11,Noviembre,8,Viernes
LONG,2024-11-11 14:12:00+00:00,2024-11-12 01:00:00+00:00,1.06563,1.06571,1.0627599999999997,1.0696480000000006,0.0028700000000003,FORCED_CLOSE,False,FORCED_CLOSE,0.027875,2024-11-11,2024,2024-11,Noviembre,9,Lunes
LONG,2024-11-12 15:54:00+00:00,2024-11-12 16:39:00+00:00,1.06135,1.0600899999999998,1.0600899999999998,1.0631140000000003,0.0012600000000002,SL,False,SL,-1.0,2024-11-12,2024,2024-11,Noviembre,10,Martes
SHORT,2024-11-13 15:06:00+00:00,2024-11-14 01:00:00+00:00,1.056,1.05608,1.0594600000000003,1.0511559999999998,0.0034600000000002,FORCED_CLOSE,False,FORCED_CLOSE,-0.023121,2024-11-13,2024,2024-11,Noviembre,10,Miercoles
LONG,2024-11-14 12:33:00+00:00,2024-11-14 13:00:00+00:00,1.0534,1.0534,1.0534,1.055052,0.0011800000000001,SL,True,BE,0.0,2024-11-14,2024,2024-11,Noviembre,7,Jueves
SHORT,2024-11-15 13:30:00+00:00,2024-11-15 17:00:00+00:00,1.0556,1.0556,1.0556,1.05028,0.0038,SL,True,BE,0.0,2024-11-15,2024,2024-11,Noviembre,8,Viernes
SHORT,2024-11-18 15:18:00+00:00,2024-11-18 16:48:00+00:00,1.05647,1.05764,1.05764,1.0548319999999998,0.0011700000000001,SL,False,SL,-1.0,2024-11-18,2024,2024-11,Noviembre,10,Lunes
SHORT,2024-11-20 16:09:00+00:00,2024-11-20 17:15:00+00:00,1.05076,1.0525800000000003,1.0525800000000003,1.0482119999999997,0.0018200000000003,SL,False,SL,-1.0,2024-11-20,2024,2024-11,Noviembre,11,Miercoles
SHORT,2024-11-21 15:27:00+00:00,2024-11-21 15:51:00+00:00,1.05327,1.0514499999999996,1.05327,1.0514499999999996,0.0013000000000003,TP,True,TP,1.4,2024-11-21,2024,2024-11,Noviembre,10,Jueves
LONG,2024-11-25 13:00:00+00:00,2024-11-25 13:18:00+00:00,1.04967,1.0509300000000006,1.04967,1.0509300000000006,0.0009000000000003,TP,True,TP,1.4,2024-11-25,2024,2024-11,Noviembre,8,Lunes
LONG,2024-11-26 12:12:00+00:00,2024-11-26 12:18:00+00:00,1.05235,1.05438,1.05235,1.05438,0.0014500000000001,TP,True,TP,1.4,2024-11-26,2024,2024-11,Noviembre,7,Martes
SHORT,2024-11-27 14:36:00+00:00,2024-11-27 15:39:00+00:00,1.05523,1.05523,1.05523,1.0513939999999993,0.0027400000000004,SL,True,BE,0.0,2024-11-27,2024,2024-11,Noviembre,9,Miercoles
SHORT,2024-11-28 15:36:00+00:00,2024-11-28 23:15:00+00:00,1.05453,1.0558000000000003,1.0558000000000003,1.0527519999999997,0.0012700000000003,SL,False,SL,-1.0,2024-11-28,2024,2024-11,Noviembre,10,Jueves
LONG,2024-11-29 12:57:00+00:00,2024-11-29 14:12:00+00:00,1.05646,1.0546999999999995,1.0546999999999995,1.0589240000000002,0.0017600000000002,SL,False,SL,-1.0,2024-11-29,2024,2024-11,Noviembre,7,Viernes
SHORT,2025-01-02 13:00:00+00:00,2025-01-02 14:21:00+00:00,1.0315,1.0315,1.0315,1.0293159999999997,0.0015600000000002,SL,True,BE,0.0,2025-01-02,2025,2025-01,Enero,8,Jueves
SHORT,2025-01-03 15:12:00+00:00,2025-01-03 15:57:00+00:00,1.0289,1.0289,1.0289,1.0264219999999995,0.0017700000000002,SL,True,BE,0.0,2025-01-03,2025,2025-01,Enero,10,Viernes
SHORT,2025-01-07 15:00:00+00:00,2025-01-07 15:48:00+00:00,1.03673,1.03673,1.03673,1.0330059999999994,0.0026600000000003,SL,True,BE,0.0,2025-01-07,2025,2025-01,Enero,10,Martes
