config_id,phase,slippage,net_r
V49_7_0008,TRAIN,0.2,-1.2059
V49_7_0008,TRAIN,0.2,1.3906
V49_7_0008,TRAIN,0.3,-1.1798
V49_7_0008,TRAIN,0.3,1.3655
V49_7_0008,TRAIN,0.3,1.3316
V49_7_0008,TRAIN,0.3,1.2838
V49_7_0008,TRAIN,0.3,-1.2078
V49_7_0008,TRAIN,0.3,-1.2353
V49_7_0008,TRAIN,0.3,1.375
V49_7_0008,TRAIN,0.5,-1.2247
V49_7_0008,TRAIN,0.5,1.3319
V49_7_0008,TRAIN,0.5,1.2895
V49_7_0008,TRAIN,0.5,1.2297
V49_7_0008,TRAIN,0.5,-1.2597
V49_7_0008,TRAIN,0.5,-1.2941
V49_7_0008,TRAIN,0.5,1.3437
V49_7_0009,TRAIN,0.2,-0.0556
V49_7_0009,TRAIN,0.2,-1.875
V49_7_0009,TRAIN,0.2,-1.5833
V49_7_0009,TRAIN,0.2,-0.1
V49_7_0009,TRAIN,0.2,2.3939
V49_7_0009,TRAIN,0.2,-1.2187
V49_7_0009,TRAIN,0.3,-0.0833
V49_7_0009,TRAIN,0.3,-2.0
V49_7_0009,TRAIN,0.3,-1.6667
V49_7_0009,TRAIN,0.3,-0.15
V49_7_0009,TRAIN,0.3,2.3788
V49_7_0009,TRAIN,0.3,-1.25
V49_7_0009,TRAIN,0.5,-0.1389
V49_7_0009,TRAIN,0.5,-2.25
V49_7_0009,TRAIN,0.5,-1.8333
V49_7_0009,TRAIN,0.5,-0.25
V49_7_0009,TRAIN,0.5,2.3485
V49_7_0009,TRAIN,0.5,-1.3125
V49_7_0010,TRAIN,0.2,-1.9333
V49_7_0010,TRAIN,0.2,-0.2667
V49_7_0010,TRAIN,0.2,-1.5833
V49_7_0010,TRAIN,0.2,-1.1795
V49_7_0010,TRAIN,0.2,-0.1333
V49_7_0010,TRAIN,0.2,-1.2333
V49_7_0010,TRAIN,0.2,-1.3889
V49_7_0010,TRAIN,0.2,-0.0272
V49_7_0010,TRAIN,0.2,-0.0404
V49_7_0010,TRAIN,0.2,2.3056
V49_7_0010,TRAIN,0.2,-1.1609
V49_7_0010,TRAIN,0.3,-2.0667
V49_7_0010,TRAIN,0.3,-0.4
V49_7_0010,TRAIN,0.3,-1.6667
V49_7_0010,TRAIN,0.3,-1.2051
V49_7_0010,TRAIN,0.3,-0.2
V49_7_0010,TRAIN,0.3,-1.2667
V49_7_0010,TRAIN,0.3,-1.4444
V49_7_0010,TRAIN,0.3,-0.0408
V49_7_0010,TRAIN,0.3,-0.0606
V49_7_0010,TRAIN,0.3,2.2778
V49_7_0010,TRAIN,0.3,-1.1839
V49_7_0010,TRAIN,0.5,-2.3333
V49_7_0010,TRAIN,0.5,-0.6667
V49_7_0010,TRAIN,0.5,-1.8333
V49_7_0010,TRAIN,0.5,-1.2564
V49_7_0010,TRAIN,0.5,-0.3333
V49_7_0010,TRAIN,0.5,-1.3333
V49_7_0010,TRAIN,0.5,-1.5556
V49_7_0010,TRAIN,0.5,-0.068
V49_7_0010,TRAIN,0.5,-0.101
V49_7_0010,TRAIN,0.5,2.2222
V49_7_0010,TRAIN,0.5,-1.2299
V49_7_0011,TRAIN,0.2,-1.2029
V49_7_0011,TRAIN,0.2,-1.1458
V49_7_0011,TRAIN,0.2,-0.1026
V49_7_0011,TRAIN,0.2,-1.1138
V49_7_0011,TRAIN,0.2,-0.0333
V49_7_0011,TRAIN,0.2,-1.1373
V49_7_0011,TRAIN,0.2,2.3133
V49_7_0011,TRAIN,0.2,-0.0087
V49_7_0011,TRAIN,0.2,-0.0741
V49_7_0011,TRAIN,0.2,-0.0667
V49_7_0011,TRAIN,0.2,2.3939
V49_7_0011,TRAIN,0.2,-1.2121
V49_7_0011,TRAIN,0.2,-1.2917
V49_7_0011,TRAIN,0.3,-1.2319
V49_7_0011,TRAIN,0.3,-1.1667
V49_7_0011,TRAIN,0.3,-0.1538
V49_7_0011,TRAIN,0.3,-1.1301
V49_7_0011,TRAIN,0.3,-0.05
V49_7_0011,TRAIN,0.3,-1.1569
V49_7_0011,TRAIN,0.3,2.2867
V49_7_0011,TRAIN,0.3,-0.013
V49_7_0011,TRAIN,0.3,-0.1111
V49_7_0011,TRAIN,0.3,-0.1
V49_7_0011,TRAIN,0.3,2.3788
V49_7_0011,TRAIN,0.3,-1.2424
V49_7_0011,TRAIN,0.3,-1.3333
V49_7_0011,TRAIN,0.5,-1.2899
V49_7_0011,TRAIN,0.5,-1.2083
V49_7_0011,TRAIN,0.5,-0.2564
V49_7_0011,TRAIN,0.5,-1.1626
V49_7_0011,TRAIN,0.5,-0.0833
V49_7_0011,TRAIN,0.5,-1.1961
V49_7_0011,TRAIN,0.5,2.2333
V49_7_0011,TRAIN,0.5,-0.0216
V49_7_0011,TRAIN,0.5,-0.1852
V49_7_0011,TRAIN,0.5,-0.1667
V49_7_0011,TRAIN,0.5,2.3485
V49_7_0011,TRAIN,0.5,-1.303
V49_7_0011,TRAIN,0.5,-1.4167
V49_7_0012,TRAIN,0.2,-1.1458
V49_7_0012,TRAIN,0.2,-1.125
V49_7_0012,TRAIN,0.2,-0.0435
V49_7_0012,TRAIN,0.2,-1.1842
V49_7_0012,TRAIN,0.2,-0.0487
V49_7_0012,TRAIN,0.2,-1.14
V49_7_0012,TRAIN,0.2,-0.0323
V49_7_0012,TRAIN,0.2,1.8409
V49_7_0012,TRAIN,0.2,1.8409
V49_7_0012,TRAIN,0.2,1.8971
V49_7_0012,TRAIN,0.2,-1.1667
V49_7_0012,TRAIN,0.2,1.8542
V49_7_0012,TRAIN,0.3,-1.1667
V49_7_0012,TRAIN,0.3,-1.1429
V49_7_0012,TRAIN,0.3,-0.0652
V49_7_0012,TRAIN,0.3,-1.2105
V49_7_0012,TRAIN,0.3,-0.0519
V49_7_0012,TRAIN,0.3,-1.16
V49_7_0012,TRAIN,0.3,-0.0484
V49_7_0012,TRAIN,0.3,1.8182
V49_7_0012,TRAIN,0.3,1.8182
V49_7_0012,TRAIN,0.3,1.8824
V49_7_0012,TRAIN,0.3,-1.1905
V49_7_0012,TRAIN,0.3,1.8333
V49_7_0012,TRAIN,0.5,-1.2083
V49_7_0012,TRAIN,0.5,-1.1786
V49_7_0012,TRAIN,0.5,-0.1087
V49_7_0012,TRAIN,0.5,-1.2632
V49_7_0012,TRAIN,0.5,-0.0584
V49_7_0012,TRAIN,0.5,-1.2
V49_7_0012,TRAIN,0.5,-0.0806
V49_7_0012,TRAIN,0.5,1.7727
V49_7_0012,TRAIN,0.5,1.7727
V49_7_0012,TRAIN,0.5,1.8529
V49_7_0012,TRAIN,0.5,-1.2381
V49_7_0012,TRAIN,0.5,1.7917
V49_7_0013,TRAIN,0.2,-1.1892
V49_7_0013,TRAIN,0.2,1.2627
V49_7_0013,TRAIN,0.2,1.2941
V49_7_0013,TRAIN,0.2,-1.4375
V49_7_0013,TRAIN,0.2,-1.3684
V49_7_0013,TRAIN,0.2,-0.0622
V49_7_0013,TRAIN,0.2,-1.28
V49_7_0013,TRAIN,0.2,1.3761
V49_7_0013,TRAIN,0.2,1.3372
V49_7_0013,TRAIN,0.2,1.3824
V49_7_0013,TRAIN,0.2,-1.2059
V49_7_0013,TRAIN,0.2,1.3313
V49_7_0013,TRAIN,0.3,-1.2162
V49_7_0013,TRAIN,0.3,1.2288
V49_7_0013,TRAIN,0.3,1.2647
V49_7_0013,TRAIN,0.3,-1.5
V49_7_0013,TRAIN,0.3,-1.4211
V49_7_0013,TRAIN,0.3,-0.0664
V49_7_0013,TRAIN,0.3,-1.32
V49_7_0013,TRAIN,0.3,1.3584
V49_7_0013,TRAIN,0.3,1.314
V49_7_0013,TRAIN,0.3,1.3655
V49_7_0013,TRAIN,0.3,-1.2353
V49_7_0013,TRAIN,0.3,1.3072
V49_7_0013,TRAIN,0.5,-1.2703
V49_7_0013,TRAIN,0.5,1.161
V49_7_0013,TRAIN,0.5,1.2059
V49_7_0013,TRAIN,0.5,-1.625
V49_7_0013,TRAIN,0.5,-1.5263
V49_7_0013,TRAIN,0.5,-0.0747
V49_7_0013,TRAIN,0.5,-1.4
V49_7_0013,TRAIN,0.5,1.323
V49_7_0013,TRAIN,0.5,1.2674
V49_7_0013,TRAIN,0.5,1.3319
V49_7_0013,TRAIN,0.5,-1.2941
V49_7_0013,TRAIN,0.5,1.259
V49_7_0014,TRAIN,0.2,-1.2029
V49_7_0014,TRAIN,0.2,-1.359
V49_7_0014,TRAIN,0.2,-1.1167
V49_7_0014,TRAIN,0.2,1.3133
V49_7_0014,TRAIN,0.2,-0.0649
V49_7_0014,TRAIN,0.2,1.2407
V49_7_0014,TRAIN,0.2,1.2667
V49_7_0014,TRAIN,0.2,-1.2121
V49_7_0014,TRAIN,0.2,-1.2917
V49_7_0014,TRAIN,0.3,-1.2319
V49_7_0014,TRAIN,0.3,-1.4103
V49_7_0014,TRAIN,0.3,-1.1333
V49_7_0014,TRAIN,0.3,1.2867
V49_7_0014,TRAIN,0.3,-0.0693
V49_7_0014,TRAIN,0.3,1.2037
V49_7_0014,TRAIN,0.3,1.2333
V49_7_0014,TRAIN,0.3,-1.2424
V49_7_0014,TRAIN,0.3,-1.3333
V49_7_0014,TRAIN,0.5,-1.2899
V49_7_0014,TRAIN,0.5,-1.5128
V49_7_0014,TRAIN,0.5,-1.1667
V49_7_0014,TRAIN,0.5,1.2333
V49_7_0014,TRAIN,0.5,-0.0779
V49_7_0014,TRAIN,0.5,1.1296
V49_7_0014,TRAIN,0.5,1.1667
V49_7_0014,TRAIN,0.5,-1.303
V49_7_0014,TRAIN,0.5,-1.4167
V49_7_0015,TRAIN,0.2,-1.1944
V49_7_0015,TRAIN,0.2,-1.1458
V49_7_0015,TRAIN,0.2,-1.125
V49_7_0015,TRAIN,0.2,-1.1842
V49_7_0015,TRAIN,0.2,-0.0294
V49_7_0015,TRAIN,0.2,-1.1591
V49_7_0015,TRAIN,0.2,-1.14
V49_7_0015,TRAIN,0.2,-1.14
V49_7_0015,TRAIN,0.2,-0.0204
V49_7_0015,TRAIN,0.2,1.8971
V49_7_0015,TRAIN,0.2,-1.1667
V49_7_0015,TRAIN,0.2,-1.1346
V49_7_0015,TRAIN,0.3,-1.2222
V49_7_0015,TRAIN,0.3,-1.1667
V49_7_0015,TRAIN,0.3,-1.1429
V49_7_0015,TRAIN,0.3,-1.2105
V49_7_0015,TRAIN,0.3,-0.0441
V49_7_0015,TRAIN,0.3,-1.1818
V49_7_0015,TRAIN,0.3,-1.16
V49_7_0015,TRAIN,0.3,-1.16
V49_7_0015,TRAIN,0.3,-0.0306
V49_7_0015,TRAIN,0.3,1.8824
V49_7_0015,TRAIN,0.3,-1.1905
V49_7_0015,TRAIN,0.3,-1.1538
V49_7_0015,TRAIN,0.5,-1.2778
V49_7_0015,TRAIN,0.5,-1.2083
V49_7_0015,TRAIN,0.5,-1.1786
V49_7_0015,TRAIN,0.5,-1.2632
