path,size_mb,tracked_status,should_be_in_git,action
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2023_04.parquet,32.5,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2023_05.parquet,38.59,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2023_06.parquet,35.26,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2023_07.parquet,34.03,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2023_08.parquet,34.94,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2023_09.parquet,30.21,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2023_10.parquet,36.73,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2023_11.parquet,33.1,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2023_12.parquet,36.74,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2024_01.parquet,36.58,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2024_02.parquet,27.95,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2024_03.parquet,24.53,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2024_04.parquet,26.91,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2024_05.parquet,21.49,Unknown,NO,Exclude
