pair,direction,entry_time,exit_time,entry_price,exit_price,units,gross_pnl_usd,net_pnl_usd,r_multiple,commission_usd,exit_reason,strategy_family,context_key,setup_tag,context_trades_before,context_win_rate_before,context_expectancy_before
USDJPY,short,2020-10-20 13:30:00-04:00,2020-10-20 13:40:00-04:00,105.5275,105.5236825201223,1923000,69.5672435162639,-7.352756483736101,-0.03308603927076084,76.92,take_profit,usdjp_session_playbook,compression_breakout|mon_tue|core|active|deep|short,compression_breakout,0,0.0,0.0
USDJPY,long,2020-10-27 14:50:00-04:00,2020-10-27 14:55:00-04:00,104.4525,104.45531928094381,1922000,51.869566217128465,-25.010433782871544,-0.12904931805805314,76.88000000000001,take_profit,usdjp_session_playbook,compression_breakout|mon_tue|late|active|deep|long,compression_breakout,0,0.0,0.0
USDJPY,long,2020-10-30 15:00:00-04:00,2020-10-30 15:05:00-04:00,104.6855,104.6615062612475,1922000,-440.4917843036914,-517.3717843036915,-1.3751758929466125,76.88000000000001,stop_loss,usdjp_session_playbook,compression_breakout|fri|late|balanced|deep|long,compression_breakout,0,0.0,0.0
USDJPY,long,2020-11-02 13:00:00-05:00,2020-11-02 13:10:00-05:00,104.8525,104.85816769948606,1912000,103.33503149009651,26.855031490096515,0.09639604611084977,76.48,take_profit,usdjp_session_playbook,compression_breakout|mon_tue|core|balanced|deep|long,compression_breakout,0,0.0,0.0
USDJPY,short,2020-11-27 13:45:00-05:00,2020-11-27 14:05:00-05:00,104.0325,104.04860359266138,1912000,-295.93315490138536,-372.4131549013854,-1.607779225477418,76.48,stop_loss,usdjp_session_playbook,compression_breakout|fri|core|active|mild|short,compression_breakout,0,0.0,0.0
USDJPY,long,2020-12-02 14:15:00-05:00,2020-12-02 14:20:00-05:00,104.53150000000001,104.51279763479515,1905000,-340.8758763024644,-417.07587630246445,-1.50537855597803,76.2,stop_loss,usdjp_session_playbook,compression_breakout|wed_thu|core|balanced|mild|long,compression_breakout,0,0.0,0.0
USDJPY,long,2020-12-31 14:50:00-05:00,2020-12-31 14:55:00-05:00,103.26350000000001,103.26846682851118,1896000,91.18476743822197,15.344767438221965,0.059223353683574384,75.84,take_profit,usdjp_session_playbook,compression_breakout|wed_thu|late|active|deep|long,compression_breakout,0,0.0,0.0
USDJPY,short,2021-01-18 14:05:00-05:00,2021-01-18 14:15:00-05:00,103.6775,103.68912225882895,1897000,-212.62621634007493,-288.50621634007496,-1.9414345888813307,75.88000000000001,stop_loss,usdjp_session_playbook,compression_breakout|mon_tue|core|balanced|mild|short,compression_breakout,0,0.0,0.0
USDJPY,long,2021-01-22 13:05:00-05:00,2021-01-22 13:10:00-05:00,103.8355,103.81608673147042,1891000,-353.580455472453,-429.220455472453,-1.481161909461874,75.64,stop_loss,usdjp_session_playbook,compression_breakout|fri|core|active|deep|long,compression_breakout,1,0.0,-1.3432345855718815
USDJPY,long,2021-02-12 14:45:00-05:00,2021-02-12 14:50:00-05:00,104.9755,104.96245427244703,1882000,-233.9137902734089,-309.19379027340887,-1.8066908925846403,75.28,stop_loss,usdjp_session_playbook,compression_breakout|fri|late|active|mild|long,compression_breakout,2,0.0,-0.7132123404312822
USDJPY,short,2021-02-19 15:05:00-05:00,2021-02-19 15:10:00-05:00,105.45049999999999,105.43934589504693,1876000,198.4494076605248,123.40940766052478,0.28410679762737256,75.04,take_profit,usdjp_session_playbook,compression_breakout|fri|late|balanced|deep|short,compression_breakout,0,0.0,0.0
