pb_breakout_compression_atr_max,pb_breakout_trigger_range_atr_min,stop_atr_multiple,pb_take_profit_rr_cap,pb_max_hold_bars,validation_score,full_sample_goal_score,avg_validation_goal_score,avg_validation_robustness,avg_validation_return_pct,avg_validation_sharpe,worst_validation_drawdown_pct,profitable_window_ratio,full_sample_robustness,initial_capital,final_equity,total_return_pct,max_drawdown_pct,sharpe_ratio,profit_factor,total_trades,wins,losses,break_even_trades,win_rate_pct,trades_per_month,profit_month_ratio,avg_monthly_net_pnl_usd,expectancy_usd,avg_trade_minutes,median_trade_minutes,max_consecutive_wins,max_consecutive_losses
0.35,0.6,0.8,0.4,5,-91.5177821361421,-129.76456198365574,-113.31564439322239,0.04355327390915338,-9.242214600908083,-3.944044935350286,12.374630330321729,0.0,0.03726251965522314,100000.0,83393.0271660552,-16.6069728339448,16.76452875575489,-3.8701337403493468,0.04281014509639243,74,13,61,0,17.56756756756757,3.217391304347826,0.043478260869565216,-722.042297128035,-224.41855181006494,8.986486486486486,5.0,2,20
0.35,1.0,0.8,0.4,5,-92.53522850532568,-94.24652739672362,-104.24602117639397,0.04877376906708011,-5.095038112436067,-2.9479179974706975,6.915656085578855,0.0,0.04496942380281626,100000.0,90042.88075384991,-9.957119246150093,10.127238080190814,-2.9751595291008472,0.03088511305674755,51,12,39,0,23.52941176470588,2.55,0.1,-497.8559623075063,-195.23763227745346,9.117647058823529,5.0,2,14
0.35,1.0,0.8,0.4,3,-93.42949527393031,-98.8725592468923,-105.98720671875621,0.048537693411129665,-5.3265716415408,-3.0487757740380212,7.398334891799546,0.0,0.0445642611958732,100000.0,89594.35310554372,-10.405646894456277,10.574915606616763,-3.0903074141163787,0.027829538582263842,51,11,40,0,21.568627450980394,2.55,0.1,-520.2823447228171,-204.03229204816353,8.823529411764707,5.0,3,14
0.35,0.8,0.8,0.4,3,-103.25003021227234,-134.08178158973982,-121.76536535779114,0.044919058768837075,-7.304387795581346,-3.5723529539500953,9.318273940742817,0.0,0.03936067466627949,100000.0,85877.29028485689,-14.122709715143111,14.28498853628803,-3.600327917423503,0.018637885901883783,62,9,53,0,14.516129032258066,2.9523809523809526,0.047619047619047616,-672.5099864353922,-227.7856405668264,8.225806451612904,5.0,2,21
0.35,0.8,0.8,0.4,5,-104.22213865781244,-130.7160107181734,-122.07977969658555,0.043378009653312455,-7.077154894884652,-3.4821266004655,8.844441356722077,0.0,0.037901647822203066,100000.0,86306.82823527782,-13.693171764722178,13.856300707747387,-3.5016460440667907,0.02052352231852659,62,10,52,0,16.129032258064516,2.9523809523809526,0.0,-652.0557983201079,-220.8576091084236,8.46774193548387,5.0,2,21
0.35,1.0,0.6,0.4,3,-130.33079961970657,-204.66619014877577,-148.5937009188542,0.0479640072123953,-5.293284640985634,-3.4140055914127947,7.977710396373309,0.0,0.04258716455346036,100000.0,89627.9157826631,-10.372084217336896,10.490229343232436,-3.4857304898443435,0.006567340706074765,51,2,49,0,3.9215686274509802,2.55,0.05,-518.6042108668443,-203.3742003399389,6.96078431372549,5.0,1,41
0.35,1.0,0.6,0.4,5,-130.61967149206387,-204.49205304543176,-148.50328628376425,0.04804744382639167,-5.196177358899673,-3.3786294668460894,7.783759166182848,0.0,0.04275020922052532,100000.0,89817.16576318826,-10.182834236811743,10.301242696688744,-3.4444674551666514,0.0067014061189819415,51,2,49,0,3.9215686274509802,2.55,0.05,-509.1417118405849,-199.66341640807244,7.0588235294117645,5.0,1,41
0.35,0.8,0.6,0.4,3,-138.51523447206714,-233.4424118360459,-163.825701938701,0.043394962525063044,-7.111289103216712,-3.975229490685107,9.861982494895521,0.0,0.03786241165828954,100000.0,86234.65304420404,-13.765346955795966,13.878975568799987,-4.021325447888039,0.004790425085878698,62,2,60,0,3.225806451612903,2.9523809523809526,0.0,-655.4927121807632,-222.02172509348438,6.532258064516129,5.0,1,51
0.35,0.8,0.6,0.4,5,-138.82297391491173,-233.27643389001267,-163.73823014855685,0.043473871929889385,-7.016233827641883,-3.9427697625569507,9.672029609025442,0.0,0.03800302996557027,100000.0,86416.74893491772,-13.58325106508228,13.697182847274291,-3.9846683169523214,0.0048639844451932035,62,2,60,0,3.225806451612903,2.9523809523809526,0.0,-646.821479289635,-219.08469459810223,6.612903225806452,5.0,1,51
0.35,0.6,0.6,0.4,3,-139.32954179642172,-253.7872847276194,-173.42876398595772,0.04137224775567805,-9.485656988044239,-4.505155612089199,12.6666350091137,0.0,0.03528880865656301,100000.0,82796.4578368343,-17.203542163165697,17.31262826498938,-4.430186939795177,0.013128880110503609,74,3,71,0,4.054054054054054,3.217391304347826,0.0,-747.9800940506829,-232.4802995022393,7.22972972972973,5.0,1,57
0.35,0.6,0.6,0.4,5,-139.34874877600402,-253.7521344017644,-173.4233931026597,0.041376876024295114,-9.479762873023635,-4.487160442382944,12.654952447774384,0.0,0.03529698305179659,100000.0,82807.70043598633,-17.19229956401367,17.301385665837355,-4.410560900671389,0.01313936967491606,74,3,71,0,4.054054054054054,3.217391304347826,0.0,-747.4912853918996,-232.3283724866715,7.364864864864865,5.0,1,57
