file,line,match,keyword,severity
BOT_V2_DAYTIME_LAB\src\phase30_tp14_be05_bf70_forensic_audit.py,1006,"secrets = [n for n in names if any(tok in n.lower() for tok in ["".env"", ""secret"", ""password"", ""token",password,WARNING
BOT_V2_DAYTIME_LAB\src\phase30_tp14_be05_bf70_forensic_audit.py,1006,"secrets = [n for n in names if any(tok in n.lower() for tok in ["".env"", ""secret"", ""password"", ""token",token,WARNING
BOT_V2_DAYTIME_LAB\src\phase31_final_closeout_phase32_handoff.py,736,"if any(tok in name for tok in [""secret"", ""password"", ""token"", ""credential"", ""apikey"", ""api_key""]):",password,WARNING
BOT_V2_DAYTIME_LAB\src\phase31_final_closeout_phase32_handoff.py,736,"if any(tok in name for tok in [""secret"", ""password"", ""token"", ""credential"", ""apikey"", ""api_key""]):",token,WARNING
BOT_V2_DAYTIME_LAB\src\phase31_final_closeout_phase32_handoff.py,800,"secrets = [n for n in names if any(tok in n.lower() for tok in ["".env"", ""secret"", ""password"", ""token",password,WARNING
BOT_V2_DAYTIME_LAB\src\phase31_final_closeout_phase32_handoff.py,800,"secrets = [n for n in names if any(tok in n.lower() for tok in ["".env"", ""secret"", ""password"", ""token",token,WARNING
BOT_V2_DAYTIME_LAB\src\phase31_prop_firm_survival_simulator.py,1116,"if any(tok in name for tok in [""secret"", ""password"", ""token"", ""credential"", ""apikey"", ""api_key""]):",password,WARNING
BOT_V2_DAYTIME_LAB\src\phase31_prop_firm_survival_simulator.py,1116,"if any(tok in name for tok in [""secret"", ""password"", ""token"", ""credential"", ""apikey"", ""api_key""]):",token,WARNING
BOT_V2_DAYTIME_LAB\src\phase31_prop_firm_survival_simulator.py,1177,"secrets = [n for n in names if any(tok in n.lower() for tok in ["".env"", ""secret"", ""password"", ""token",password,WARNING
BOT_V2_DAYTIME_LAB\src\phase31_prop_firm_survival_simulator.py,1177,"secrets = [n for n in names if any(tok in n.lower() for tok in ["".env"", ""secret"", ""password"", ""token",token,WARNING
BOT_V2_DAYTIME_LAB\src\phase32a_ftmo_1step_standard_simulation.py,29,"ROOT = Path(r""C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo"")",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\phase32a_ftmo_1step_standard_simulation.py,1089,"if any(tok in name for tok in [""secret"", ""password"", ""token"", ""credential"", ""apikey"", ""api_key""]):",password,WARNING
BOT_V2_DAYTIME_LAB\src\phase32a_ftmo_1step_standard_simulation.py,1089,"if any(tok in name for tok in [""secret"", ""password"", ""token"", ""credential"", ""apikey"", ""api_key""]):",token,WARNING
BOT_V2_DAYTIME_LAB\src\phase32a_ftmo_1step_standard_simulation.py,1156,"secrets = [n for n in names if any(tok in n.lower() for tok in ["".env"", ""secret"", ""password"", ""token",password,WARNING
BOT_V2_DAYTIME_LAB\src\phase32a_ftmo_1step_standard_simulation.py,1156,"secrets = [n for n in names if any(tok in n.lower() for tok in ["".env"", ""secret"", ""password"", ""token",token,WARNING
BOT_V2_DAYTIME_LAB\src\phase32b_fundednext_stellar_lite_10k_simulation.py,28,"ROOT = Path(r""C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo"")",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\phase32b_fundednext_stellar_lite_10k_simulation.py,1199,"if any(tok in name for tok in [""secret"", ""password"", ""token"", ""credential"", ""apikey"", ""api_key""]):",password,WARNING
BOT_V2_DAYTIME_LAB\src\phase32b_fundednext_stellar_lite_10k_simulation.py,1199,"if any(tok in name for tok in [""secret"", ""password"", ""token"", ""credential"", ""apikey"", ""api_key""]):",token,WARNING
BOT_V2_DAYTIME_LAB\src\phase32b_fundednext_stellar_lite_10k_simulation.py,1265,"secrets = [n for n in names if any(tok in n.lower() for tok in ["".env"", ""secret"", ""password"", ""token",password,WARNING
BOT_V2_DAYTIME_LAB\src\phase32b_fundednext_stellar_lite_10k_simulation.py,1265,"secrets = [n for n in names if any(tok in n.lower() for tok in ["".env"", ""secret"", ""password"", ""token",token,WARNING
BOT_V2_DAYTIME_LAB\src\phase32c_fundednext_weekend_compliance.py,25,"ROOT = Path(r""C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo"")",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\phase32c_fundednext_weekend_compliance.py,805,"if name in {"".env"", ""mt5_local_config.json""} or any(tok in name for tok in [""secret"", ""password"", ""t",password,WARNING
BOT_V2_DAYTIME_LAB\src\phase32c_fundednext_weekend_compliance.py,805,"if name in {"".env"", ""mt5_local_config.json""} or any(tok in name for tok in [""secret"", ""password"", ""t",token,WARNING
BOT_V2_DAYTIME_LAB\src\phase32c_fundednext_weekend_compliance.py,836,"secrets = [n for n in names if any(tok in n.lower() for tok in ["".env"", ""secret"", ""password"", ""token",password,WARNING
BOT_V2_DAYTIME_LAB\src\phase32c_fundednext_weekend_compliance.py,836,"secrets = [n for n in names if any(tok in n.lower() for tok in ["".env"", ""secret"", ""password"", ""token",token,WARNING
BOT_V2_DAYTIME_LAB\src\phase32e_global_weekend_policy_validator.py,28,"ROOT = Path(r""C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo"")",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\precompute_debug.py,12,"manifest_path = r""C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\BOT_V2_DAYTIME_LAB\data\certified",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\precompute_phase23_signals.py,13,"manifest_path = r""C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\BOT_V2_DAYTIME_LAB\data\certified",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\precompute_phase23_signals.py,29,"out_dir = Path(r""C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\BOT_V2_DAYTIME_LAB\outputs\phase23",C:\\Users\\,WARNING
