config_id,N_train,PF_train,N_val,PF_val,Total_R
V49_7B_0171,59,0.67,0,0.0,-16.45
V49_7B_0172,59,0.79,0,0.0,-9.94
V49_7B_0173,59,0.74,0,0.0,-12.78
V49_7B_0174,56,0.64,0,0.0,-14.97
V49_7B_0175,59,0.74,0,0.0,-12.97
V49_7B_0176,44,0.87,0,0.0,-4.48
V49_7B_0177,63,0.58,0,0.0,-21.76
V49_7B_0178,57,0.79,0,0.0,-9.95
V49_7B_0179,34,0.54,0,0.0,-12.66
V49_7B_0180,32,0.52,0,0.0,-13.53
V49_7B_0181,51,0.54,0,0.0,-18.35
V49_7B_0182,59,0.79,0,0.0,-9.76
V49_7B_0183,49,0.8,0,0.0,-8.07
V49_7B_0184,29,0.62,0,0.0,-9.26
V49_7B_0185,47,0.76,0,0.0,-9.25
V49_7B_0186,55,0.75,0,0.0,-11.47
V49_7B_0187,58,0.59,0,0.0,-17.47
V49_7B_0188,70,0.56,0,0.0,-25.91
V49_7B_0189,49,0.72,0,0.0,-11.73
V49_7B_0190,103,0.65,0,0.0,-26.3
V49_7B_0191,38,0.47,0,0.0,-16.44
V49_7B_0192,58,0.39,0,0.0,-33.39
V49_7B_0193,34,0.54,0,0.0,-13.66
V49_7B_0194,59,0.77,0,0.0,-11.07
V49_7B_0195,69,0.57,0,0.0,-22.99
V49_7B_0196,25,0.37,0,0.0,-14.51
V49_7B_0197,32,0.8,0,0.0,-5.59
V49_7B_0198,35,0.41,0,0.0,-17.51
V49_7B_0199,50,0.49,0,0.0,-20.3
V49_7B_0200,57,0.65,0,0.0,-14.63
V49_7B_0201,66,0.82,0,0.0,-8.15
V49_7B_0202,42,0.62,0,0.0,-12.09
V49_7B_0203,56,0.64,0,0.0,-16.17
V49_7B_0204,32,0.64,0,0.0,-8.45
V49_7B_0205,71,0.51,0,0.0,-30.33
V49_7B_0206,56,0.58,0,0.0,-19.54
V49_7B_0207,42,0.43,0,0.0,-19.43
V49_7B_0208,39,0.36,0,0.0,-23.44
V49_7B_0209,31,0.51,0,0.0,-12.41
V49_7B_0210,47,0.61,0,0.0,-15.25
V49_7B_0211,71,0.72,0,0.0,-16.49
V49_7B_0212,48,0.7,0,0.0,-10.1
V49_7B_0213,53,0.63,0,0.0,-16.24
V49_7B_0214,25,0.38,0,0.0,-13.9
V49_7B_0215,77,0.63,0,0.0,-23.99
V49_7B_0216,47,0.71,0,0.0,-10.8
V49_7B_0217,92,0.69,0,0.0,-22.53
V49_7B_0218,62,0.69,0,0.0,-15.98
V49_7B_0219,32,0.54,0,0.0,-11.67
V49_7B_0220,48,0.6,0,0.0,-14.42
V49_7B_0221,96,0.57,0,0.0,-33.11
V49_7B_0222,41,0.65,0,0.0,-11.54
V49_7B_0223,62,0.66,0,0.0,-17.24
V49_7B_0224,92,0.59,0,0.0,-31.55
V49_7B_0225,42,0.68,0,0.0,-11.09
V49_7B_0226,55,0.62,0,0.0,-17.34
V49_7B_0227,48,0.64,0,0.0,-13.6
V49_7B_0228,33,0.69,0,0.0,-7.74
V49_7B_0229,78,0.65,0,0.0,-21.76
V49_7B_0230,61,0.86,0,0.0,-6.32
V49_7B_0231,37,0.82,0,0.0,-5.07
V49_7B_0232,71,0.66,0,0.0,-17.43
V49_7B_0233,53,0.76,0,0.0,-10.54
V49_7B_0234,33,0.54,0,0.0,-12.33
V49_7B_0235,41,0.96,0,0.0,-1.4
V49_7B_0236,59,0.63,0,0.0,-15.9
V49_7B_0237,63,0.6,0,0.0,-18.89
V49_7B_0238,31,0.92,0,0.0,-1.84
V49_7B_0239,90,0.88,0,0.0,-7.77
V49_7B_0240,44,0.81,0,0.0,-6.56
V49_7B_0241,48,0.75,0,0.0,-9.38
V49_7B_0242,31,0.87,0,0.0,-3.0
V49_7B_0243,30,0.47,0,0.0,-12.56
V49_7B_0244,48,0.67,0,0.0,-11.51
V49_7B_0245,71,0.57,0,0.0,-23.5
V49_7B_0246,59,0.69,0,0.0,-13.14
V49_7B_0247,30,0.53,0,0.0,-12.24
