Year-Month,trades,TP,BE,SL,FORCED_CLOSE,pf,expectancy_r,winrate_r_positive_pct,max_drawdown_r,total_r,veredicto
2018-12,18,7,6,5,0,1.96,0.2667,38.89,-4.0,4.8,MUESTRA_BAJA
2019-01,19,8,6,4,1,2.964,0.4136,47.37,-1.0,7.857,MUESTRA_BAJA
2019-02,16,6,8,2,0,4.2,0.4,37.5,-1.0,6.4,MUESTRA_BAJA
2019-03,19,4,13,2,0,2.8,0.1895,21.05,-1.0,3.6,MUESTRA_BAJA
2019-04,18,4,10,3,1,1.981,0.1636,27.78,-2.0,2.944,MUESTRA_BAJA
2019-05,21,8,10,1,2,5.852,0.4422,38.1,-1.0,9.286,MUESTRA_BAJA
2019-06,16,7,5,4,0,2.45,0.3625,43.75,-2.0,5.8,MUESTRA_BAJA
2019-07,19,4,11,4,0,1.4,0.0842,21.05,-2.0,1.6,MUESTRA_BAJA
2019-08,20,7,9,4,0,2.45,0.29,35.0,-4.0,5.8,MUESTRA_BAJA
2019-09,16,6,3,5,2,1.56,0.1885,37.5,-2.984,3.016,MUESTRA_BAJA
2019-10,18,4,10,2,2,3.45,0.2723,33.33,-2.0,4.901,MUESTRA_BAJA
2019-11,20,7,10,3,0,3.267,0.34,35.0,-3.0,6.8,MUESTRA_BAJA
2019-12,19,4,11,4,0,1.4,0.0842,21.05,-2.0,1.6,MUESTRA_BAJA
2020-01,20,3,11,4,2,0.901,-0.0231,15.0,-3.261,-0.461,MUESTRA_BAJA
2020-02,17,9,7,1,0,12.6,0.6824,52.94,-1.0,11.6,MUESTRA_BAJA
2020-03,19,5,13,0,1,inf,0.4204,31.58,0.0,7.987,MUESTRA_BAJA
2020-04,19,6,7,6,0,1.4,0.1263,31.58,-3.0,2.4,MUESTRA_BAJA
2020-05,16,7,7,2,0,4.9,0.4875,43.75,-1.0,7.8,MUESTRA_BAJA
2020-06,21,4,14,3,0,1.867,0.1238,19.05,-1.0,2.6,MUESTRA_BAJA
2020-07,23,9,10,4,0,3.15,0.3739,39.13,-3.0,8.6,MUESTRA_BAJA
2020-08,18,3,11,3,1,1.209,0.0404,16.67,-2.473,0.727,MUESTRA_BAJA
2020-09,21,6,9,5,1,1.539,0.1401,28.57,-4.458,2.942,MUESTRA_BAJA
2020-10,18,5,10,2,1,3.386,0.274,27.78,-1.0,4.933,MUESTRA_BAJA
2020-11,17,8,7,1,1,8.946,0.5852,47.06,-1.252,9.948,MUESTRA_BAJA
2020-12,20,7,10,3,0,3.267,0.34,35.0,-1.0,6.8,MUESTRA_BAJA
2021-01,20,7,8,5,0,1.96,0.24,35.0,-2.6,4.8,MUESTRA_BAJA
2021-02,19,8,7,3,1,3.922,0.4613,47.37,-2.0,8.765,MUESTRA_BAJA
2021-03,21,5,12,3,1,2.567,0.2238,28.57,-1.0,4.7,MUESTRA_BAJA
2021-04,18,4,10,3,1,2.078,0.1797,27.78,-2.366,3.234,MUESTRA_BAJA
2021-05,15,3,8,2,2,2.491,0.1988,33.33,-1.0,2.982,MUESTRA_BAJA
2021-06,19,6,11,1,1,8.581,0.399,36.84,-1.0,7.581,MUESTRA_BAJA
2021-07,21,3,15,2,1,2.523,0.145,19.05,-2.0,3.045,MUESTRA_BAJA
2021-08,20,4,9,5,2,0.979,-0.006,20.0,-2.23,-0.121,MUESTRA_BAJA
2021-09,21,8,10,1,2,5.468,0.4358,38.1,-1.503,9.152,MUESTRA_BAJA
2021-10,18,6,10,2,0,4.2,0.3556,33.33,-1.0,6.4,MUESTRA_BAJA
2021-11,18,7,7,4,0,2.45,0.3222,38.89,-1.0,5.8,MUESTRA_BAJA
2021-12,22,12,6,2,2,7.581,0.6773,59.09,-1.0,14.901,MUESTRA_BAJA
2022-01,20,6,10,4,0,2.1,0.22,30.0,-2.0,4.4,MUESTRA_BAJA
2022-02,18,6,9,3,0,2.8,0.3,33.33,-3.0,5.4,MUESTRA_BAJA
2022-03,21,8,9,4,0,2.8,0.3429,38.1,-1.0,7.2,MUESTRA_BAJA
2022-04,19,7,9,2,1,3.788,0.3796,36.84,-1.0,7.213,MUESTRA_BAJA
2022-05,19,8,6,5,0,2.24,0.3263,42.11,-2.0,6.2,MUESTRA_BAJA
2022-06,22,6,15,1,0,8.4,0.3364,27.27,-1.0,7.4,MUESTRA_BAJA
2022-07,18,4,12,0,2,inf,0.3403,33.33,0.0,6.125,MUESTRA_BAJA
2022-08,22,9,11,2,0,6.3,0.4818,40.91,-1.0,10.6,MUESTRA_BAJA
2022-09,22,8,9,4,1,2.616,0.3145,36.36,-2.0,6.919,MUESTRA_BAJA
2022-10,20,7,12,1,0,9.8,0.44,35.0,-1.0,8.8,MUESTRA_BAJA
2022-11,19,5,12,2,0,3.5,0.2632,26.32,-1.0,5.0,MUESTRA_BAJA
2022-12,18,4,11,2,1,2.837,0.2041,27.78,-1.0,3.673,MUESTRA_BAJA
2023-01,18,2,13,2,1,1.824,0.0916,16.67,-1.0,1.648,MUESTRA_BAJA
2023-02,18,3,12,3,0,1.4,0.0667,16.67,-1.0,1.2,MUESTRA_BAJA
2023-03,20,7,9,3,1,3.194,0.3366,35.0,-2.0,6.732,MUESTRA_BAJA
2023-04,16,6,4,4,2,1.875,0.2498,43.75,-3.0,3.997,MUESTRA_BAJA
2023-05,22,7,12,3,0,3.267,0.3091,31.82,-2.0,6.8,MUESTRA_BAJA
2023-06,20,8,10,1,1,8.606,0.4949,40.0,-1.0,9.899,MUESTRA_BAJA
2023-07,21,6,7,4,4,1.895,0.2167,33.33,-2.0,4.551,MUESTRA_BAJA
2023-08,22,8,13,1,0,11.2,0.4636,36.36,-1.0,10.2,MUESTRA_BAJA
2023-09,18,4,8,3,3,1.252,0.0627,22.22,-3.472,1.128,MUESTRA_BAJA
2023-10,21,5,13,2,1,3.81,0.2676,28.57,-2.0,5.62,MUESTRA_BAJA
2023-11,19,6,9,3,1,2.606,0.2725,31.58,-1.0,5.177,MUESTRA_BAJA
2023-12,17,6,7,4,0,2.1,0.2588,35.29,-2.0,4.4,MUESTRA_BAJA
2024-01,20,6,8,4,2,2.3,0.2671,35.0,-1.109,5.343,MUESTRA_BAJA
2024-02,19,3,10,4,2,1.48,0.1011,26.32,-2.0,1.921,MUESTRA_BAJA
2024-03,19,6,10,2,1,3.696,0.3225,31.58,-1.272,6.128,MUESTRA_BAJA
2024-04,21,5,10,5,1,1.273,0.0715,23.81,-4.0,1.501,MUESTRA_BAJA
2024-05,23,4,15,2,2,3.513,0.2185,26.09,-1.0,5.026,MUESTRA_BAJA
2024-06,15,10,4,0,1,inf,0.9967,73.33,0.0,14.951,MUESTRA_BAJA
2024-07,21,7,12,1,1,10.255,0.4407,38.1,-1.0,9.255,MUESTRA_BAJA
2024-08,20,8,10,2,0,5.6,0.46,40.0,-1.0,9.2,MUESTRA_BAJA
2024-09,20,6,12,2,0,4.2,0.32,30.0,-1.0,6.4,MUESTRA_BAJA
2024-10,23,5,12,6,0,1.167,0.0435,21.74,-1.0,1.0,MUESTRA_BAJA
2024-11,19,7,5,5,2,1.957,0.2529,42.11,-3.023,4.805,MUESTRA_BAJA
2024-12,18,4,8,4,2,1.206,0.0531,22.22,-1.585,0.955,MUESTRA_BAJA
2025-01,20,4,12,3,1,1.617,0.1069,20.0,-3.0,2.137,MUESTRA_BAJA
2025-02,19,3,10,6,0,0.7,-0.0947,15.79,-5.0,-1.8,MUESTRA_BAJA
2025-03,18,5,9,3,1,2.554,0.2591,33.33,-2.0,4.663,MUESTRA_BAJA
2025-04,20,5,11,3,1,2.309,0.1984,25.0,-2.0,3.969,MUESTRA_BAJA
2025-05,20,5,10,4,1,1.727,0.1474,25.0,-2.0,2.947,MUESTRA_BAJA
2025-06,19,5,10,4,0,1.75,0.1579,26.32,-1.0,3.0,MUESTRA_BAJA
2025-07,22,8,11,3,0,3.733,0.3727,36.36,-2.0,8.2,MUESTRA_BAJA
2025-08,19,8,9,1,1,11.999,0.5789,47.37,-1.0,10.999,MUESTRA_BAJA
2025-09,22,5,12,5,0,1.4,0.0909,22.73,-2.6,2.0,MUESTRA_BAJA
2025-10,20,6,9,5,0,1.68,0.17,30.0,-3.0,3.4,MUESTRA_BAJA
2025-11,17,3,8,6,0,0.7,-0.1059,17.65,-3.0,-1.8,MUESTRA_BAJA
2025-12,21,5,10,5,1,1.459,0.1092,28.57,-3.0,2.293,MUESTRA_BAJA
2026-01,20,7,11,1,1,9.412,0.4379,35.0,-1.041,8.759,MUESTRA_BAJA
2026-02,19,7,11,1,0,9.8,0.4632,36.84,-1.0,8.8,MUESTRA_BAJA
2026-03,22,7,10,5,0,1.96,0.2182,31.82,-2.0,4.8,MUESTRA_BAJA
2026-04,17,3,10,2,2,2.164,0.1545,23.53,-2.257,2.626,MUESTRA_BAJA
