scr_h1_adx_min,scr_m15_compression_atr_max,stop_atr_multiple,scr_take_profit_rr_cap,validation_score,full_sample_goal_score,avg_validation_goal_score,avg_validation_robustness,avg_validation_return_pct,avg_validation_sharpe,worst_validation_drawdown_pct,profitable_window_ratio,full_sample_robustness,initial_capital,final_equity,total_return_pct,max_drawdown_pct,sharpe_ratio,profit_factor,total_trades,wins,losses,break_even_trades,win_rate_pct,trades_per_month,profit_month_ratio,avg_monthly_net_pnl_usd,expectancy_usd,avg_trade_minutes,median_trade_minutes,max_consecutive_wins,max_consecutive_losses
22.0,0.85,0.6,0.6,-36.54571210222546,-37.325810212527756,-38.9601051216128,0.11951145907162464,-3.0733461881940816,-1.8620649352429322,3.330114652880831,0.0,0.12073537491701335,100000.0,93947.92614015208,-6.052073859847917,6.113189192321341,-1.7877352295058828,0.21213006786484645,28,13,15,0,46.42857142857143,2.0,0.2857142857142857,-432.2909899891359,-216.14549499456785,8.75,5.0,3,4
18.0,0.85,0.8,0.6,-38.28396006452707,-43.581382038272494,-43.40017785812287,0.17071433947578976,-5.139327239846475,-2.088899211044282,7.537727617330077,0.0,0.1254942138700607,100000.0,89906.57431846228,-10.093425681537715,10.325051508592122,-2.1032380369932966,0.26399128932351146,43,19,24,0,44.18604651162791,2.388888888888889,0.16666666666666666,-560.7458711965409,-234.7308298032032,12.209302325581396,10.0,3,7
18.0,0.7,0.8,0.8,-38.42708732407612,-44.98546060919306,-41.81011133180451,0.19020368481688135,-3.6193379614839873,-1.6088423480106688,4.865772835679335,0.0,0.17282085947847559,100000.0,92887.98607522153,-7.112013924778471,7.517907650739463,-1.580359448734447,0.32387471231688825,31,13,18,0,41.935483870967744,1.8235294117647058,0.23529411764705882,-418.3537602810885,-229.4198040251131,13.709677419354838,10.0,3,5
18.0,0.85,0.6,0.8,-39.27004954001553,-52.02877142645904,-43.497478744985315,0.18051375755375548,-4.300880805315732,-2.044060270389483,6.001149778100038,0.0,0.13622456434582536,100000.0,91053.62152634807,-8.946378473651928,9.180973924917359,-2.100371535367016,0.2800195632003055,43,17,26,0,39.53488372093023,2.388888888888889,0.16666666666666666,-497.0210263139937,-208.05531334074155,10.116279069767442,5.0,3,7
22.0,0.7,0.6,0.8,-39.847091046996916,-43.79731372795329,-41.41520068500169,0.19717372190252205,-1.6314476867595795,-1.2583443317958531,2.239667391052208,0.0,0.18837628698335998,100000.0,96762.4600035815,-3.2375399964185037,3.4883238606156954,-1.2262523422924057,0.3165959315464747,17,7,10,0,41.17647058823529,1.5454545454545454,0.2727272727272727,-294.32181785622674,-190.4435292010879,12.058823529411764,10.0,2,4
22.0,0.85,0.8,0.6,-40.51568142553146,-34.87303904970833,-43.41324593861249,0.1861318807981981,-3.0257061452312772,-1.5709613398913018,3.9096152579427725,0.0,0.17125746103900946,100000.0,94034.83463476498,-5.965165365235025,6.090968345979345,-1.4980383029631705,0.3182352323212655,28,13,15,0,46.42857142857143,2.0,0.21428571428571427,-426.0832403739322,-213.04162018696613,11.607142857142858,10.0,3,4
22.0,0.85,0.6,0.8,-40.77478925316842,-39.246156129288366,-43.2309689546785,0.22043912655956607,-2.696635825611665,-1.5865944954992903,3.1646954614704734,0.0,0.2058358563231241,100000.0,94678.35372582017,-5.3216462741798365,5.448320095578936,-1.474653247544595,0.3378426138247963,28,12,16,0,42.857142857142854,2.0,0.35714285714285715,-380.1175910128409,-190.05879550642044,10.0,5.0,3,4
22.0,0.7,0.8,0.6,-41.08244839792042,-45.803660831815094,-43.071381622278636,0.16981181821669125,-2.009522912528011,-1.3224929680865085,2.7345106869847804,0.0,0.15866864856853558,100000.0,96019.10132626082,-3.980898673739186,4.229734481806489,-1.3012175195875537,0.27065731075083055,17,7,10,0,41.17647058823529,1.5454545454545454,0.2727272727272727,-361.8998794308359,-234.17051021995258,14.117647058823529,10.0,2,4
18.0,0.85,0.6,0.6,-42.45076193818604,-55.774524205947,-47.37893919871668,0.11300723801879609,-4.921554108906773,-2.4412393752131605,6.116255664434137,0.0,0.08308076118567635,100000.0,89945.93168034486,-10.05406831965514,10.164518545980638,-2.4983389563890865,0.1665100698309707,43,17,26,0,39.53488372093023,2.388888888888889,0.2222222222222222,-558.5593510919545,-233.8155423175624,8.837209302325581,5.0,3,4
18.0,0.85,0.8,0.8,-43.94028356211494,-50.53982905546474,-49.981734497121494,0.2010555004979014,-5.19321043295301,-1.963856160234765,7.84199373602157,0.0,0.16711162439454277,100000.0,90517.08899650151,-9.482911003498495,9.87849807610012,-1.8210974931232962,0.3477538946152132,43,17,26,0,39.53488372093023,2.388888888888889,0.16666666666666666,-526.8283890832498,-220.5328140348488,12.906976744186046,10.0,3,7
18.0,0.55,0.8,0.8,-46.910963014921926,-59.40276343823242,-50.446992459252705,0.22922690353570857,-2.726599202352109,-1.4150425482525695,4.605623102725309,0.0,0.16962556821896488,100000.0,94599.89931350232,-5.4001006864976775,5.81345028935693,-1.428462710087666,0.3083151619218134,23,8,15,0,34.78260869565217,1.7692307692307692,0.23076923076923078,-415.3923604998236,-234.78698636946544,14.565217391304348,15.0,2,5
22.0,0.85,0.8,0.8,-52.05315993325759,-56.013498775000635,-56.223736801538394,0.21888381319656824,-3.33709292979415,-1.5787106698449014,4.407683463506139,0.0,0.19669676088486235,100000.0,93430.26273610258,-6.569737263897424,6.780166551370698,-1.4771694136074596,0.3496920493454102,28,10,18,0,35.714285714285715,2.0,0.2857142857142857,-469.26694742124073,-234.63347371062036,12.678571428571429,10.0,2,5
22.0,0.55,0.8,0.8,-58.159240008664064,-70.86480495647824,-60.73214273846326,0.255192593301016,-1.5674176061603096,-1.122699115063364,2.787134824452034,0.0,0.18587365250746482,100000.0,96880.01007339606,-3.119989926603939,3.650939764815471,-1.1175125963460866,0.32541436605754903,14,4,10,0,28.57142857142857,1.5555555555555556,0.2222222222222222,-346.66554740043847,-222.85642332885328,16.428571428571427,15.0,2,5
22.0,0.7,0.8,0.8,-68.17850613290084,-74.12167561636446,-72.13997878632858,0.13018768731873728,-2.545498124241885,-1.462192114477785,3.1170393238753022,0.0,0.12646433883499833,100000.0,94973.00606125321,-5.026993938746793,5.240922854928052,-1.4323842690978361,0.2569176707346836,17,5,12,0,29.411764705882355,1.5454545454545454,0.09090909090909091,-456.9994489769811,-295.70552580863483,15.294117647058824,15.0,2,6
