config_id,level_type,session_window,wick_to_body_min,max_trades_per_day,entry_type,sl_model,target_model
V49_7B_0059,ASIA_HL,07:00-10:00,2.2,3,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_1.5R
V49_7B_0060,ASIA_HL,09:00-12:00,2.2,3,NEXT_OPEN,WICK_EXTREME_2.0P,FIXED_2.5R
V49_7B_0061,ASIA_HL,09:00-12:00,1.5,2,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_2.5R
V49_7B_0062,ASIA_HL,09:00-12:00,2.0,3,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_2.5R
V49_7B_0063,ASIA_HL,08:00-11:00,2.2,2,NEXT_OPEN,MICROSTRUCTURE_SAFE,FIXED_2.5R
V49_7B_0064,ASIA_HL,07:00-10:00,3.0,3,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_2.0R
V49_7B_0065,ASIA_HL,08:00-11:00,1.8,3,NEXT_OPEN,WICK_EXTREME_2.0P,FIXED_1.5R
V49_7B_0066,LONDON_HL,09:00-12:00,1.8,2,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_1.5R
V49_7B_0067,LONDON_HL,09:00-12:00,2.5,1,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_2.0R
V49_7B_0068,LONDON_HL,07:00-10:00,1.8,1,NEXT_OPEN,MICROSTRUCTURE_SAFE,FIXED_1.5R
V49_7B_0069,LONDON_HL,08:00-11:00,3.0,1,NEXT_OPEN,WICK_EXTREME_2.0P,FIXED_2.0R
V49_7B_0070,LONDON_HL,08:00-11:00,1.8,2,NEXT_OPEN,WICK_EXTREME_2.0P,FIXED_2.0R
V49_7B_0071,LONDON_HL,07:00-10:00,2.0,2,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_2.5R
V49_7B_0072,ASIA_HL,09:00-12:00,2.5,2,MIDPOINT_STOP,WICK_EXTREME_2.0P,FIXED_2.0R
V49_7B_0073,ASIA_HL,07:00-10:00,2.2,1,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_2.0R
V49_7B_0074,LONDON_HL,08:00-11:00,1.5,1,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_2.5R
V49_7B_0075,ASIA_HL,09:00-12:00,2.2,1,NEXT_OPEN,WICK_EXTREME_2.0P,FIXED_2.5R
V49_7B_0076,LONDON_HL,08:00-11:00,1.5,2,MIDPOINT_STOP,WICK_EXTREME_2.0P,FIXED_1.5R
V49_7B_0077,ASIA_HL,09:00-12:00,2.5,2,MIDPOINT_STOP,MICROSTRUCTURE_SAFE,FIXED_1.5R
V49_7B_0078,LONDON_HL,07:00-10:00,3.0,1,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_2.0R
V49_7B_0079,LONDON_HL,07:00-10:00,2.0,1,NEXT_OPEN,WICK_EXTREME_2.0P,FIXED_2.0R
V49_7B_0080,ASIA_HL,09:00-12:00,1.8,2,NEXT_OPEN,MICROSTRUCTURE_SAFE,FIXED_2.5R
V49_7B_0081,LONDON_HL,09:00-12:00,1.5,3,NEXT_OPEN,MICROSTRUCTURE_SAFE,FIXED_2.5R
V49_7B_0082,ASIA_HL,07:00-10:00,1.8,3,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_1.5R
V49_7B_0083,LONDON_HL,09:00-12:00,3.0,1,NEXT_OPEN,MICROSTRUCTURE_SAFE,FIXED_2.0R
V49_7B_0084,LONDON_HL,08:00-11:00,3.0,1,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_2.5R
V49_7B_0085,ASIA_HL,08:00-11:00,1.8,3,MIDPOINT_STOP,WICK_EXTREME_2.0P,FIXED_2.5R
V49_7B_0086,LONDON_HL,07:00-10:00,2.2,1,MIDPOINT_STOP,WICK_EXTREME_2.0P,FIXED_1.5R
V49_7B_0087,ASIA_HL,07:00-10:00,1.5,1,NEXT_OPEN,MICROSTRUCTURE_SAFE,FIXED_2.0R
V49_7B_0088,LONDON_HL,07:00-10:00,1.8,1,NEXT_OPEN,WICK_EXTREME_2.0P,FIXED_2.5R
V49_7B_0089,LONDON_HL,08:00-11:00,2.5,2,NEXT_OPEN,WICK_EXTREME_2.0P,FIXED_1.5R
V49_7B_0090,LONDON_HL,08:00-11:00,2.0,3,NEXT_OPEN,MICROSTRUCTURE_SAFE,FIXED_2.0R
V49_7B_0091,LONDON_HL,09:00-12:00,3.0,3,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_1.5R
V49_7B_0092,ASIA_HL,07:00-10:00,2.2,3,MIDPOINT_STOP,MICROSTRUCTURE_SAFE,FIXED_2.0R
V49_7B_0093,LONDON_HL,08:00-11:00,2.2,2,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_2.0R
V49_7B_0094,ASIA_HL,09:00-12:00,2.2,2,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_2.5R
V49_7B_0095,LONDON_HL,08:00-11:00,2.5,1,MIDPOINT_STOP,MICROSTRUCTURE_SAFE,FIXED_1.5R
V49_7B_0096,LONDON_HL,08:00-11:00,2.0,3,NEXT_OPEN,WICK_EXTREME_2.0P,FIXED_2.5R
V49_7B_0097,LONDON_HL,07:00-10:00,1.8,1,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_2.5R
V49_7B_0098,ASIA_HL,07:00-10:00,2.2,1,NEXT_OPEN,WICK_EXTREME_2.0P,FIXED_2.5R
V49_7B_0099,ASIA_HL,08:00-11:00,2.5,2,MIDPOINT_STOP,WICK_EXTREME_2.0P,FIXED_1.5R
V49_7B_0100,LONDON_HL,09:00-12:00,1.8,3,NEXT_OPEN,MICROSTRUCTURE_SAFE,FIXED_2.5R
V49_7B_0101,ASIA_HL,07:00-10:00,1.8,3,NEXT_OPEN,MICROSTRUCTURE_SAFE,FIXED_1.5R
V49_7B_0102,ASIA_HL,07:00-10:00,3.0,2,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_2.5R
V49_7B_0103,ASIA_HL,07:00-10:00,3.0,1,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_1.5R
V49_7B_0104,ASIA_HL,09:00-12:00,2.5,1,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_2.0R
V49_7B_0105,ASIA_HL,07:00-10:00,1.8,3,NEXT_OPEN,WICK_EXTREME_2.0P,FIXED_1.5R
V49_7B_0106,ASIA_HL,08:00-11:00,2.5,1,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_2.5R
V49_7B_0107,ASIA_HL,07:00-10:00,3.0,2,NEXT_OPEN,WICK_EXTREME_2.0P,FIXED_2.5R
V49_7B_0108,ASIA_HL,08:00-11:00,1.5,2,NEXT_OPEN,WICK_EXTREME_2.0P,FIXED_1.5R
V49_7B_0109,ASIA_HL,09:00-12:00,2.2,1,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_2.5R
V49_7B_0110,ASIA_HL,07:00-10:00,2.0,1,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_1.5R
V49_7B_0111,ASIA_HL,07:00-10:00,2.0,2,NEXT_OPEN,WICK_EXTREME_2.0P,FIXED_2.0R
V49_7B_0112,ASIA_HL,07:00-10:00,3.0,3,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_1.5R
V49_7B_0113,ASIA_HL,07:00-10:00,1.5,3,MIDPOINT_STOP,WICK_EXTREME_2.0P,FIXED_2.0R
V49_7B_0114,LONDON_HL,08:00-11:00,1.5,2,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_2.5R
V49_7B_0115,ASIA_HL,08:00-11:00,1.8,1,NEXT_OPEN,WICK_EXTREME_2.0P,FIXED_2.0R
V49_7B_0116,LONDON_HL,07:00-10:00,3.0,2,MIDPOINT_STOP,MICROSTRUCTURE_SAFE,FIXED_2.0R
V49_7B_0117,ASIA_HL,07:00-10:00,2.0,2,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_2.0R
V49_7B_0118,LONDON_HL,09:00-12:00,2.0,2,NEXT_OPEN,MICROSTRUCTURE_SAFE,FIXED_2.5R
V49_7B_0119,ASIA_HL,09:00-12:00,2.0,1,MIDPOINT_STOP,WICK_EXTREME_2.0P,FIXED_2.0R
V49_7B_0120,ASIA_HL,09:00-12:00,3.0,2,NEXT_OPEN,MICROSTRUCTURE_SAFE,FIXED_2.5R
V49_7B_0121,LONDON_HL,08:00-11:00,1.8,1,NEXT_OPEN,WICK_EXTREME_2.0P,FIXED_1.5R
V49_7B_0122,ASIA_HL,09:00-12:00,2.2,3,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_1.5R
V49_7B_0123,ASIA_HL,09:00-12:00,2.2,1,MIDPOINT_STOP,MICROSTRUCTURE_SAFE,FIXED_1.5R
V49_7B_0124,ASIA_HL,08:00-11:00,3.0,1,MIDPOINT_STOP,MICROSTRUCTURE_SAFE,FIXED_2.0R
V49_7B_0125,ASIA_HL,07:00-10:00,3.0,1,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_2.5R
V49_7B_0126,ASIA_HL,09:00-12:00,2.0,3,NEXT_OPEN,MICROSTRUCTURE_SAFE,FIXED_2.5R
V49_7B_0127,ASIA_HL,07:00-10:00,1.5,2,NEXT_OPEN,MICROSTRUCTURE_SAFE,FIXED_2.0R
V49_7B_0128,ASIA_HL,08:00-11:00,2.0,1,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_2.5R
V49_7B_0129,ASIA_HL,09:00-12:00,2.5,2,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_2.0R
V49_7B_0130,ASIA_HL,09:00-12:00,2.5,2,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_2.5R
V49_7B_0131,LONDON_HL,07:00-10:00,2.2,3,NEXT_OPEN,MICROSTRUCTURE_SAFE,FIXED_1.5R
V49_7B_0132,LONDON_HL,09:00-12:00,1.5,2,NEXT_OPEN,MICROSTRUCTURE_SAFE,FIXED_2.0R
V49_7B_0133,LONDON_HL,08:00-11:00,1.8,1,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_1.5R
V49_7B_0134,LONDON_HL,07:00-10:00,1.5,1,NEXT_OPEN,MICROSTRUCTURE_SAFE,FIXED_1.5R
V49_7B_0135,LONDON_HL,09:00-12:00,2.0,2,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_1.5R
V49_7B_0136,ASIA_HL,08:00-11:00,1.5,1,MIDPOINT_STOP,MICROSTRUCTURE_SAFE,FIXED_2.5R
V49_7B_0137,LONDON_HL,07:00-10:00,1.5,1,MIDPOINT_STOP,WICK_EXTREME_2.0P,FIXED_1.5R
V49_7B_0138,ASIA_HL,08:00-11:00,2.2,1,NEXT_OPEN,WICK_EXTREME_2.0P,FIXED_2.5R
V49_7B_0139,ASIA_HL,09:00-12:00,2.0,2,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_1.5R
V49_7B_0140,ASIA_HL,09:00-12:00,3.0,1,NEXT_OPEN,WICK_EXTREME_2.0P,FIXED_2.5R
V49_7B_0141,LONDON_HL,08:00-11:00,2.5,3,MIDPOINT_STOP,WICK_EXTREME_2.0P,FIXED_2.0R
V49_7B_0142,LONDON_HL,08:00-11:00,2.0,3,MIDPOINT_STOP,WICK_EXTREME_2.0P,FIXED_1.5R
V49_7B_0143,LONDON_HL,09:00-12:00,2.0,3,MIDPOINT_STOP,MICROSTRUCTURE_SAFE,FIXED_2.0R
V49_7B_0144,ASIA_HL,09:00-12:00,3.0,3,MIDPOINT_STOP,WICK_EXTREME_2.0P,FIXED_2.5R
V49_7B_0145,LONDON_HL,08:00-11:00,2.2,1,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_1.5R
V49_7B_0146,ASIA_HL,07:00-10:00,2.5,1,NEXT_OPEN,MICROSTRUCTURE_SAFE,FIXED_1.5R
V49_7B_0147,LONDON_HL,08:00-11:00,2.5,2,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_1.5R
V49_7B_0148,ASIA_HL,08:00-11:00,1.5,2,MIDPOINT_STOP,WICK_EXTREME_2.0P,FIXED_2.5R
V49_7B_0149,ASIA_HL,09:00-12:00,1.5,1,MIDPOINT_STOP,WICK_EXTREME_2.0P,FIXED_1.5R
V49_7B_0150,ASIA_HL,09:00-12:00,3.0,1,NEXT_OPEN,MICROSTRUCTURE_SAFE,FIXED_1.5R
V49_7B_0151,LONDON_HL,08:00-11:00,2.5,3,MIDPOINT_STOP,WICK_EXTREME_2.0P,FIXED_1.5R
V49_7B_0152,LONDON_HL,08:00-11:00,2.2,1,NEXT_OPEN,MICROSTRUCTURE_SAFE,FIXED_1.5R
V49_7B_0153,ASIA_HL,09:00-12:00,2.2,1,MIDPOINT_STOP,WICK_EXTREME_2.0P,FIXED_2.5R
V49_7B_0154,ASIA_HL,07:00-10:00,2.5,3,MIDPOINT_STOP,WICK_EXTREME_2.0P,FIXED_2.5R
V49_7B_0155,LONDON_HL,07:00-10:00,2.5,3,NEXT_OPEN,WICK_EXTREME_2.0P,FIXED_2.0R
V49_7B_0156,LONDON_HL,07:00-10:00,1.5,1,NEXT_OPEN,WICK_EXTREME_2.0P,FIXED_2.0R
V49_7B_0157,ASIA_HL,08:00-11:00,1.8,3,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_1.5R
V49_7B_0158,ASIA_HL,09:00-12:00,2.5,3,MIDPOINT_STOP,MICROSTRUCTURE_SAFE,FIXED_2.0R
V49_7B_0159,ASIA_HL,09:00-12:00,2.5,1,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_2.0R
V49_7B_0160,ASIA_HL,07:00-10:00,1.5,1,MIDPOINT_STOP,WICK_EXTREME_2.0P,FIXED_2.5R
V49_7B_0161,ASIA_HL,09:00-12:00,2.5,2,NEXT_OPEN,WICK_EXTREME_2.0P,FIXED_2.0R
V49_7B_0162,ASIA_HL,07:00-10:00,2.5,3,NEXT_OPEN,WICK_EXTREME_2.0P,FIXED_2.0R
V49_7B_0163,ASIA_HL,08:00-11:00,1.5,3,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_2.0R
V49_7B_0164,ASIA_HL,09:00-12:00,2.0,3,NEXT_OPEN,MICROSTRUCTURE_SAFE,FIXED_1.5R
V49_7B_0165,LONDON_HL,09:00-12:00,2.0,2,NEXT_OPEN,WICK_EXTREME_2.0P,FIXED_2.0R
V49_7B_0166,LONDON_HL,07:00-10:00,2.5,1,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_2.5R
V49_7B_0167,ASIA_HL,09:00-12:00,2.0,2,NEXT_OPEN,MICROSTRUCTURE_SAFE,FIXED_2.0R
V49_7B_0168,LONDON_HL,07:00-10:00,2.2,1,NEXT_OPEN,MICROSTRUCTURE_SAFE,FIXED_2.0R
V49_7B_0169,LONDON_HL,09:00-12:00,3.0,3,MIDPOINT_STOP,WICK_EXTREME_2.0P,FIXED_1.5R
V49_7B_0170,ASIA_HL,07:00-10:00,2.2,3,NEXT_OPEN,MICROSTRUCTURE_SAFE,FIXED_2.5R
V49_7B_0171,LONDON_HL,07:00-10:00,3.0,3,MIDPOINT_STOP,MICROSTRUCTURE_SAFE,FIXED_2.5R
V49_7B_0172,LONDON_HL,08:00-11:00,1.8,1,MIDPOINT_STOP,MICROSTRUCTURE_SAFE,FIXED_2.5R
V49_7B_0173,LONDON_HL,08:00-11:00,1.8,1,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_2.5R
V49_7B_0174,ASIA_HL,07:00-10:00,1.5,2,MIDPOINT_STOP,MICROSTRUCTURE_SAFE,FIXED_1.5R
V49_7B_0175,LONDON_HL,08:00-11:00,2.0,1,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_2.5R
V49_7B_0176,LONDON_HL,09:00-12:00,1.8,1,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_2.5R
V49_7B_0177,LONDON_HL,07:00-10:00,2.2,2,MIDPOINT_STOP,WICK_EXTREME_2.0P,FIXED_2.0R
V49_7B_0178,ASIA_HL,07:00-10:00,1.5,2,NEXT_OPEN,MICROSTRUCTURE_SAFE,FIXED_2.5R
V49_7B_0179,ASIA_HL,07:00-10:00,3.0,3,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_1.5R
V49_7B_0180,ASIA_HL,09:00-12:00,3.0,3,NEXT_OPEN,MICROSTRUCTURE_SAFE,FIXED_2.5R
V49_7B_0181,ASIA_HL,09:00-12:00,1.8,2,NEXT_OPEN,MICROSTRUCTURE_SAFE,FIXED_1.5R
V49_7B_0182,LONDON_HL,08:00-11:00,2.0,1,MIDPOINT_STOP,WICK_EXTREME_2.0P,FIXED_2.5R
V49_7B_0183,ASIA_HL,07:00-10:00,2.0,3,NEXT_OPEN,MICROSTRUCTURE_SAFE,FIXED_2.5R
V49_7B_0184,ASIA_HL,09:00-12:00,2.0,1,MIDPOINT_STOP,MICROSTRUCTURE_SAFE,FIXED_2.5R
V49_7B_0185,ASIA_HL,07:00-10:00,2.0,2,NEXT_OPEN,MICROSTRUCTURE_SAFE,FIXED_2.5R
V49_7B_0186,ASIA_HL,08:00-11:00,2.5,3,NEXT_OPEN,MICROSTRUCTURE_SAFE,FIXED_2.5R
V49_7B_0187,LONDON_HL,09:00-12:00,1.8,2,NEXT_OPEN,WICK_EXTREME_2.0P,FIXED_1.5R
V49_7B_0188,ASIA_HL,08:00-11:00,2.0,3,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_2.0R
V49_7B_0189,ASIA_HL,07:00-10:00,2.0,3,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_2.5R
V49_7B_0190,LONDON_HL,08:00-11:00,1.8,3,NEXT_OPEN,WICK_EXTREME_2.0P,FIXED_1.5R
V49_7B_0191,ASIA_HL,09:00-12:00,2.5,3,NEXT_OPEN,MICROSTRUCTURE_SAFE,FIXED_1.5R
V49_7B_0192,ASIA_HL,09:00-12:00,1.5,2,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_2.0R
V49_7B_0193,ASIA_HL,07:00-10:00,3.0,3,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_2.0R
V49_7B_0194,LONDON_HL,08:00-11:00,1.8,1,NEXT_OPEN,WICK_EXTREME_2.0P,FIXED_2.5R
V49_7B_0195,LONDON_HL,07:00-10:00,1.8,2,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_1.5R
V49_7B_0196,ASIA_HL,09:00-12:00,2.2,1,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_2.0R
V49_7B_0197,ASIA_HL,08:00-11:00,3.0,1,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_2.5R
V49_7B_0198,ASIA_HL,09:00-12:00,1.5,1,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_1.5R
V49_7B_0199,LONDON_HL,09:00-12:00,2.2,2,NEXT_OPEN,MICROSTRUCTURE_SAFE,FIXED_1.5R
V49_7B_0200,LONDON_HL,08:00-11:00,2.2,1,MIDPOINT_STOP,WICK_EXTREME_2.0P,FIXED_1.5R
V49_7B_0201,LONDON_HL,09:00-12:00,1.5,2,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_1.5R
V49_7B_0202,ASIA_HL,08:00-11:00,2.0,1,NEXT_OPEN,WICK_EXTREME_2.0P,FIXED_1.5R
V49_7B_0203,ASIA_HL,07:00-10:00,1.5,2,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_2.0R
V49_7B_0204,ASIA_HL,07:00-10:00,3.0,2,MIDPOINT_STOP,MICROSTRUCTURE_SAFE,FIXED_1.5R
V49_7B_0205,ASIA_HL,08:00-11:00,2.0,3,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_2.0R
V49_7B_0206,LONDON_HL,09:00-12:00,2.2,3,MIDPOINT_STOP,WICK_EXTREME_2.0P,FIXED_2.5R
