config_id,N_train,PF_train,N_val,PF_val,Total_R
V49_7B_0342,23,3.78,0,0.0,8.41
V49_7B_0343,15,7.25,0,0.0,9.68
V49_7B_0344,14,5.36,0,0.0,6.61
V49_7B_0345,35,2.32,0,0.0,10.01
V49_7B_0346,24,3.36,0,0.0,8.69
V49_7B_0347,20,2.91,0,0.0,6.9
V49_7B_0348,11,4.39,0,0.0,4.63
V49_7B_0349,27,2.84,0,0.0,7.8
V49_7B_0350,17,8.9,0,0.0,11.44
V49_7B_0351,17,8.98,0,0.0,11.46
V49_7B_0352,38,2.06,0,0.0,9.03
V49_7B_0353,16,2.59,0,0.0,4.15
V49_7B_0354,21,3.67,0,0.0,7.52
V49_7B_0355,21,3.18,0,0.0,7.85
V49_7B_0356,31,2.42,0,0.0,11.12
V49_7B_0357,15,1.91,0,0.0,3.34
V49_7B_0358,54,0.88,0,0.0,-4.05
V49_7B_0359,15,2.19,0,0.0,4.28
V49_7B_0360,24,2.34,0,0.0,5.95
V49_7B_0361,10,95.19,0,0.0,7.7
V49_7B_0362,17,9.67,0,0.0,11.58
V49_7B_0363,25,2.0,0,0.0,6.25
V49_7B_0364,35,0.86,0,0.0,-3.41
V49_7B_0365,21,3.67,0,0.0,7.52
V49_7B_0366,22,4.86,0,0.0,11.88
V49_7B_0367,21,3.02,0,0.0,5.27
V49_7B_0368,15,4.23,0,0.0,4.86
V49_7B_0369,19,3.1,0,0.0,8.08
V49_7B_0370,34,3.3,0,0.0,12.17
V49_7B_0371,88,0.6,0,0.0,-23.47
V49_7B_0372,14,2.93,0,0.0,3.46
V49_7B_0373,29,2.56,0,0.0,10.57
V49_7B_0374,26,1.63,0,0.0,4.9
V49_7B_0375,31,2.42,0,0.0,11.12
V49_7B_0376,33,3.22,0,0.0,13.11
V49_7B_0377,14,3.71,0,0.0,4.62
V49_7B_0378,18,9.22,0,0.0,11.78
V49_7B_0379,35,2.84,0,0.0,12.03
V49_7B_0380,14,4.88,0,0.0,6.5
V49_7B_0381,114,0.61,0,0.0,-34.16
V49_7B_0382,9,1.97,0,0.0,1.54
V49_7B_0383,61,0.63,0,0.0,-17.07
V49_7B_0384,12,118.89,0,0.0,9.64
V49_7B_0385,9,1.98,0,0.0,1.55
V49_7B_0386,24,4.42,0,0.0,11.96
V49_7B_0387,41,0.94,0,0.0,-1.53
V49_7B_0388,11,19.46,0,0.0,6.45
V49_7B_0389,13,23.23,0,0.0,7.77
V49_7B_0390,12,124.04,0,0.0,9.76
V49_7B_0391,25,2.94,0,0.0,10.96
V49_7B_0392,12,3.6,0,0.0,3.79
V49_7B_0393,7,86.6,0,0.0,5.25
V49_7B_0394,54,0.62,0,0.0,-15.43
V49_7B_0395,12,3.37,0,0.0,3.75
V49_7B_0396,20,3.28,0,0.0,8.0
V49_7B_0397,91,0.59,0,0.0,-28.27
V49_7B_0398,11,21.65,0,0.0,7.13
V49_7B_0399,9,2.16,0,0.0,1.67
V49_7B_0400,19,3.53,0,0.0,9.55
V49_7B_0401,15,4.11,0,0.0,8.16
V49_7B_0402,25,4.39,0,0.0,10.11
V49_7B_0403,114,0.54,0,0.0,-38.82
V49_7B_0404,11,6.36,0,0.0,6.43
V49_7B_0405,41,1.12,0,0.0,3.02
V49_7B_0406,24,5.48,0,0.0,12.34
V49_7B_0407,12,3.36,0,0.0,3.74
V49_7B_0408,13,3.31,0,0.0,3.67
V49_7B_0409,24,1.97,0,0.0,6.79
V49_7B_0410,14,4.65,0,0.0,5.52
V49_7B_0411,32,3.33,0,0.0,12.15
V49_7B_0412,41,1.09,0,0.0,2.33
V49_7B_0413,15,2.82,0,0.0,4.53
V49_7B_0414,20,2.82,0,0.0,5.17
V49_7B_0415,18,1.92,0,0.0,4.75
V49_7B_0416,7,70.92,0,0.0,5.54
V49_7B_0417,12,3.31,0,0.0,3.72
V49_7B_0418,14,9.06,0,0.0,10.15
V49_7B_0419,7,99.0,0,0.0,5.66
V49_7B_0420,12,154.35,0,0.0,9.4
V49_7B_0421,15,3.27,0,0.0,5.62
V49_7B_0422,11,3.79,0,0.0,3.86
V49_7B_0423,26,1.59,0,0.0,4.54
V49_7B_0424,27,2.79,0,0.0,7.69
V49_7B_0425,25,2.44,0,0.0,8.47
V49_7B_0426,15,5.3,0,0.0,6.91
V49_7B_0427,88,0.61,0,0.0,-23.35
V49_7B_0428,20,3.21,0,0.0,5.42
V49_7B_0429,20,5.54,0,0.0,11.22
V49_7B_0430,19,4.67,0,0.0,7.32
V49_7B_0431,99,0.58,0,0.0,-29.66
V49_7B_0432,29,2.86,0,0.0,10.76
V49_7B_0433,13,3.31,0,0.0,3.67
V49_7B_0434,33,3.62,0,0.0,15.16
V49_7B_0435,15,7.59,0,0.0,10.18
V49_7B_0436,15,2.19,0,0.0,4.28
V49_7B_0437,10,3.19,0,0.0,2.86
V49_7B_0438,10,122.52,0,0.0,7.45
V49_7B_0439,41,0.63,0,0.0,-11.42
V49_7B_0440,27,1.93,0,0.0,5.15
V49_7B_0441,30,2.83,0,0.0,8.43
V49_7B_0442,91,0.75,0,0.0,-15.79
V49_7B_0443,27,3.04,0,0.0,7.68
V49_7B_0444,19,3.67,0,0.0,7.38
V49_7B_0445,38,2.0,0,0.0,8.53
V49_7B_0446,15,8.41,0,0.0,9.0
V49_7B_0447,19,3.35,0,0.0,8.42
V49_7B_0448,29,1.05,0,0.0,0.5
V49_7B_0449,11,19.46,0,0.0,6.45
V49_7B_0450,31,1.6,0,0.0,4.2
V49_7B_0451,73,0.67,0,0.0,-17.14
V49_7B_0452,11,6.92,0,0.0,6.53
V49_7B_0453,73,0.62,0,0.0,-20.53
V49_7B_0454,16,2.69,0,0.0,4.34
V49_7B_0455,23,5.11,0,0.0,11.35
V49_7B_0456,14,8.2,0,0.0,8.75
V49_7B_0457,23,3.65,0,0.0,9.31
V49_7B_0458,11,5.18,0,0.0,5.82
V49_7B_0459,33,1.59,0,0.0,6.48
V49_7B_0460,20,5.15,0,0.0,9.82
V49_7B_0461,14,2.47,0,0.0,5.29
V49_7B_0462,28,2.04,0,0.0,8.15
V49_7B_0463,14,5.36,0,0.0,6.61
V49_7B_0464,30,2.13,0,0.0,10.07
V49_7B_0465,20,8.73,0,0.0,12.29
V49_7B_0466,28,1.33,0,0.0,3.6
V49_7B_0467,13,3.7,0,0.0,3.79
V49_7B_0468,20,2.4,0,0.0,6.67
V49_7B_0469,34,3.59,0,0.0,13.56
V49_7B_0470,31,1.81,0,0.0,5.44
V49_7B_0471,19,3.0,0,0.0,7.02
V49_7B_0472,91,0.59,0,0.0,-25.33
