config_id,month,phase,net_R,N,wins,losses
V49_7B_0013,2023-07,VAL,2.7798,16,7,9
V49_7B_0013,2024-04,VAL,-12.2042,13,1,12
V49_7B_0013,2024-10,VAL,1.2081,22,9,13
V49_7B_0014,2020-03,TRAIN,-8.301,11,1,10
V49_7B_0014,2020-09,TRAIN,0.42159999999999975,9,3,6
V49_7B_0014,2021-02,TRAIN,2.5557,5,3,2
V49_7B_0014,2021-08,TRAIN,5.9369,11,6,5
V49_7B_0014,2022-05,TRAIN,-0.6183000000000003,7,2,5
V49_7B_0014,2022-11,TRAIN,-2.9476999999999998,6,1,5
V49_7B_0014,2023-01,VAL,3.2684999999999995,10,4,6
V49_7B_0014,2023-07,VAL,-4.5463000000000005,4,0,4
V49_7B_0014,2024-04,VAL,-3.3156999999999996,5,1,4
V49_7B_0014,2024-10,VAL,-0.013900000000000245,9,3,6
V49_7B_0015,2020-03,TRAIN,8.672600000000001,10,6,4
V49_7B_0015,2020-09,TRAIN,-7.298,14,2,12
V49_7B_0015,2021-02,TRAIN,-6.683,6,0,6
V49_7B_0015,2021-08,TRAIN,-5.7914,13,3,10
V49_7B_0015,2022-05,TRAIN,4.287800000000001,12,5,7
V49_7B_0015,2022-11,TRAIN,1.1407,18,6,12
V49_7B_0015,2023-01,VAL,-3.8155,16,4,12
V49_7B_0015,2023-07,VAL,-6.1884,15,3,12
V49_7B_0015,2024-04,VAL,-6.4316,12,2,10
V49_7B_0015,2024-10,VAL,4.8318,19,8,11
V49_7B_0016,2020-03,TRAIN,-6.7241,15,3,12
V49_7B_0016,2020-09,TRAIN,-1.7859999999999998,7,2,5
V49_7B_0016,2021-02,TRAIN,-3.562,6,1,5
V49_7B_0016,2021-08,TRAIN,-1.2939,12,5,7
V49_7B_0016,2022-05,TRAIN,1.5210000000000004,7,3,4
V49_7B_0016,2022-11,TRAIN,-6.2995,6,0,6
V49_7B_0016,2023-01,VAL,3.4433999999999996,13,7,6
V49_7B_0016,2023-07,VAL,-4.4814,4,0,4
V49_7B_0016,2024-04,VAL,-1.5646000000000002,6,2,4
V49_7B_0016,2024-10,VAL,-3.2647000000000004,11,3,8
V49_7B_0017,2020-03,TRAIN,4.3135,6,4,2
V49_7B_0017,2020-09,TRAIN,-4.7972,7,1,6
V49_7B_0017,2021-02,TRAIN,-3.4562999999999997,3,0,3
V49_7B_0017,2021-08,TRAIN,-8.3792,7,0,7
V49_7B_0017,2022-05,TRAIN,-2.2498,2,0,2
V49_7B_0017,2022-11,TRAIN,-0.2635000000000003,11,4,7
V49_7B_0017,2023-01,VAL,0.5264,5,2,3
V49_7B_0017,2023-07,VAL,-1.883,7,2,5
V49_7B_0017,2024-04,VAL,-7.8767,7,0,7
V49_7B_0017,2024-10,VAL,4.5511,14,7,7
V49_7B_0018,2020-03,TRAIN,-13.3201,15,1,14
V49_7B_0018,2020-09,TRAIN,-10.426599999999999,23,6,17
V49_7B_0018,2021-02,TRAIN,1.7365000000000002,12,6,6
V49_7B_0018,2021-08,TRAIN,-5.5015,20,7,13
V49_7B_0018,2022-05,TRAIN,-0.02809999999999957,7,3,4
V49_7B_0018,2022-11,TRAIN,4.5309,10,6,4
V49_7B_0018,2023-01,VAL,-6.5786,19,6,13
V49_7B_0018,2023-07,VAL,-2.6731,7,2,5
V49_7B_0018,2024-04,VAL,-8.7566,10,1,9
V49_7B_0018,2024-10,VAL,2.3308999999999997,18,9,9
V49_7B_0019,2020-03,TRAIN,7.0022,9,7,2
V49_7B_0019,2020-09,TRAIN,-6.116099999999999,10,2,8
V49_7B_0019,2021-02,TRAIN,-0.9562999999999999,3,1,2
V49_7B_0019,2021-08,TRAIN,-10.7479,9,0,9
V49_7B_0019,2022-05,TRAIN,-5.6684,5,0,5
V49_7B_0019,2022-11,TRAIN,1.6456999999999995,14,7,7
V49_7B_0019,2023-01,VAL,1.4848,10,5,5
V49_7B_0019,2023-07,VAL,-0.8797000000000001,14,6,8
V49_7B_0019,2024-04,VAL,-6.7181999999999995,8,1,7
V49_7B_0019,2024-10,VAL,-1.1942,16,7,9
V49_7B_0020,2020-03,TRAIN,-10.6262,10,0,10
V49_7B_0020,2020-09,TRAIN,0.6891000000000005,13,5,8
V49_7B_0020,2021-02,TRAIN,-1.7323,7,2,5
V49_7B_0020,2021-08,TRAIN,-2.4516,10,3,7
V49_7B_0020,2022-05,TRAIN,-1.5280999999999996,7,2,5
V49_7B_0020,2022-11,TRAIN,2.7407,6,3,3
V49_7B_0020,2023-01,VAL,-1.7362999999999995,11,4,7
V49_7B_0020,2023-07,VAL,-2.4724,5,1,4
V49_7B_0020,2024-04,VAL,-4.8247,7,1,6
V49_7B_0020,2024-10,VAL,3.344,12,6,6
V49_7B_0021,2020-03,TRAIN,-8.1839,17,4,13
V49_7B_0021,2020-09,TRAIN,-3.0394000000000005,9,3,6
V49_7B_0021,2021-02,TRAIN,-0.42279999999999984,7,3,4
V49_7B_0021,2021-08,TRAIN,-2.1285999999999996,12,5,7
V49_7B_0021,2022-05,TRAIN,-0.19000000000000017,7,3,4
V49_7B_0021,2022-11,TRAIN,-1.4929,6,2,4
V49_7B_0021,2023-01,VAL,8.4289,13,9,4
V49_7B_0021,2023-07,VAL,-4.8789,4,0,4
V49_7B_0021,2024-04,VAL,-4.9796,6,1,5
V49_7B_0021,2024-10,VAL,-2.9502,13,5,8
V49_7B_0022,2020-03,TRAIN,5.4779,6,4,2
V49_7B_0022,2020-09,TRAIN,-5.9711,8,1,7
V49_7B_0022,2021-02,TRAIN,-4.5032,4,0,4
V49_7B_0022,2021-08,TRAIN,-7.5303,9,1,8
V49_7B_0022,2022-05,TRAIN,4.2111,7,4,3
V49_7B_0022,2022-11,TRAIN,-1.3434000000000004,12,4,8
V49_7B_0022,2023-01,VAL,1.0794999999999997,10,4,6
V49_7B_0022,2023-07,VAL,5.4501,11,6,5
V49_7B_0022,2024-04,VAL,-9.2791,8,0,8
V49_7B_0022,2024-10,VAL,3.285,10,5,5
V49_7B_0023,2020-03,TRAIN,8.0982,11,7,4
V49_7B_0023,2020-09,TRAIN,-10.2584,12,1,11
V49_7B_0023,2021-02,TRAIN,-4.5422,4,0,4
V49_7B_0023,2021-08,TRAIN,-7.037700000000001,11,2,9
V49_7B_0023,2022-05,TRAIN,-1.9735,7,2,5
V49_7B_0023,2022-11,TRAIN,-3.0084999999999997,16,5,11
V49_7B_0023,2023-01,VAL,4.4665,15,7,8
V49_7B_0023,2023-07,VAL,-5.066599999999999,15,4,11
V49_7B_0023,2024-04,VAL,-7.4405,9,1,8
V49_7B_0023,2024-10,VAL,-2.2851999999999997,20,7,13
V49_7B_0024,2020-03,TRAIN,-11.845,14,1,13
V49_7B_0024,2020-09,TRAIN,-4.9677,7,1,6
V49_7B_0024,2021-02,TRAIN,-2.9546,8,2,6
V49_7B_0024,2021-08,TRAIN,1.0230999999999995,12,5,7
V49_7B_0024,2022-05,TRAIN,3.2668999999999997,8,4,4
V49_7B_0024,2022-11,TRAIN,-5.3574,5,0,5
V49_7B_0024,2023-01,VAL,7.57,14,8,6
V49_7B_0024,2023-07,VAL,-2.3739,2,0,2
V49_7B_0024,2024-04,VAL,0.11449999999999982,5,2,3
V49_7B_0024,2024-10,VAL,-4.7611,12,3,9
V49_7B_0025,2020-03,TRAIN,-8.7033,11,1,10
V49_7B_0025,2020-09,TRAIN,-0.8975000000000002,6,2,4
V49_7B_0025,2021-02,TRAIN,-1.8293,7,2,5
V49_7B_0025,2021-08,TRAIN,4.9483999999999995,11,6,5
V49_7B_0025,2022-05,TRAIN,5.472799999999999,6,4,2
V49_7B_0025,2022-11,TRAIN,-5.3161,5,0,5
V49_7B_0025,2023-01,VAL,6.8169,13,7,6
V49_7B_0025,2023-07,VAL,-2.3626,2,0,2
V49_7B_0025,2024-04,VAL,-3.0244999999999997,5,1,4
V49_7B_0025,2024-10,VAL,-2.7164,10,3,7
V49_7B_0026,2020-03,TRAIN,3.4825000000000004,7,4,3
V49_7B_0026,2020-09,TRAIN,-3.4947999999999997,6,1,5
V49_7B_0026,2021-02,TRAIN,-2.2498,2,0,2
V49_7B_0026,2021-08,TRAIN,-7.1685,8,1,7
V49_7B_0026,2022-05,TRAIN,-4.833,7,1,6
V49_7B_0026,2022-11,TRAIN,-4.3655,12,3,9
V49_7B_0026,2023-01,VAL,-1.3335000000000004,15,5,10
V49_7B_0026,2023-07,VAL,-6.6345,14,3,11
V49_7B_0026,2024-04,VAL,-6.6921,6,0,6
V49_7B_0026,2024-10,VAL,2.5827,11,5,6
V49_7B_0027,2020-03,TRAIN,-10.5134,10,0,10
V49_7B_0027,2020-09,TRAIN,-8.6417,14,3,11
V49_7B_0027,2021-02,TRAIN,-1.6043999999999996,8,3,5
V49_7B_0027,2021-08,TRAIN,-1.9959000000000002,16,7,9
V49_7B_0027,2022-05,TRAIN,0.7089000000000003,4,2,2
V49_7B_0027,2022-11,TRAIN,0.16660000000000008,7,3,4
V49_7B_0027,2023-01,VAL,-4.3959,10,3,7
V49_7B_0027,2023-07,VAL,3.0,4,3,1
V49_7B_0027,2024-04,VAL,-6.7498000000000005,7,1,6
V49_7B_0027,2024-10,VAL,-1.7047999999999996,14,6,8
V49_7B_0028,2020-03,TRAIN,2.0806000000000004,5,3,2
V49_7B_0028,2020-09,TRAIN,-3.2100999999999997,5,1,4
V49_7B_0028,2021-02,TRAIN,-0.9230999999999998,3,1,2
V49_7B_0028,2021-08,TRAIN,-4.5788,6,1,5
V49_7B_0028,2022-05,TRAIN,1.6564999999999999,3,2,1
V49_7B_0028,2022-11,TRAIN,-2.4297000000000004,9,3,6
V49_7B_0028,2023-01,VAL,0.7081,4,2,2
V49_7B_0028,2023-07,VAL,-1.7334999999999998,6,2,4
V49_7B_0028,2024-04,VAL,-5.5398,5,0,5
V49_7B_0028,2024-10,VAL,1.7606000000000002,9,5,4
V49_7B_0029,2020-03,TRAIN,-12.5063,15,1,14
V49_7B_0029,2020-09,TRAIN,-9.2175,23,5,18
V49_7B_0029,2021-02,TRAIN,-1.8219999999999998,13,4,9
V49_7B_0029,2021-08,TRAIN,0.4079999999999995,20,7,13
V49_7B_0029,2022-05,TRAIN,-0.6793999999999998,7,2,5
V49_7B_0029,2022-11,TRAIN,3.4680000000000004,10,4,6
V49_7B_0029,2023-01,VAL,-9.8518,19,4,15
V49_7B_0029,2023-07,VAL,-2.2203000000000004,8,2,6
V49_7B_0029,2024-04,VAL,-9.78,10,1,9
V49_7B_0029,2024-10,VAL,-4.3359000000000005,19,6,13
V49_7B_0030,2020-03,TRAIN,1.3072,5,3,2
V49_7B_0030,2020-09,TRAIN,-3.1732000000000005,5,1,4
V49_7B_0030,2021-02,TRAIN,-2.4006,2,0,2
V49_7B_0030,2021-08,TRAIN,-5.0616,8,2,6
V49_7B_0030,2022-05,TRAIN,-3.3438,5,1,4
V49_7B_0030,2022-11,TRAIN,-2.2226,10,4,6
V49_7B_0030,2023-01,VAL,6.2826,10,7,3
V49_7B_0030,2023-07,VAL,2.1305000000000005,13,7,6
V49_7B_0030,2024-04,VAL,-7.3209,6,0,6
V49_7B_0030,2024-10,VAL,-3.4473000000000003,9,3,6
V49_7B_0031,2020-03,TRAIN,-12.2941,15,1,14
V49_7B_0031,2020-09,TRAIN,-4.296200000000001,16,4,12
V49_7B_0031,2021-02,TRAIN,-1.7867999999999995,10,3,7
V49_7B_0031,2021-08,TRAIN,-0.8370000000000002,19,7,12
V49_7B_0031,2022-05,TRAIN,0.6547000000000005,9,3,6
V49_7B_0031,2022-11,TRAIN,-1.3800999999999992,8,2,6
V49_7B_0031,2023-01,VAL,-1.3064999999999998,18,7,11
V49_7B_0031,2023-07,VAL,-0.14170000000000038,6,2,4
V49_7B_0031,2024-04,VAL,-5.1585,11,3,8
V49_7B_0031,2024-10,VAL,-1.807,17,6,11
V49_7B_0032,2020-03,TRAIN,-10.6026,10,0,10
V49_7B_0032,2020-09,TRAIN,-10.163,18,4,14
V49_7B_0032,2021-02,TRAIN,2.457,9,5,4
V49_7B_0032,2021-08,TRAIN,-4.662800000000001,17,6,11
V49_7B_0032,2022-05,TRAIN,2.0630999999999995,5,3,2
V49_7B_0032,2022-11,TRAIN,1.5703,8,4,4
V49_7B_0032,2023-01,VAL,-7.5453,13,3,10
V49_7B_0032,2023-07,VAL,0.5539000000000001,4,2,2
V49_7B_0032,2024-04,VAL,-7.7479,9,1,8
V49_7B_0032,2024-10,VAL,4.2127,14,8,6
V49_7B_0033,2020-03,TRAIN,5.748399999999999,6,4,2
V49_7B_0033,2020-09,TRAIN,-4.5506,7,1,6
V49_7B_0033,2021-02,TRAIN,-4.6902,4,0,4
V49_7B_0033,2021-08,TRAIN,-10.268,8,0,8
V49_7B_0033,2022-05,TRAIN,2.416,4,2,2
V49_7B_0033,2022-11,TRAIN,0.20479999999999965,12,4,8
V49_7B_0033,2023-01,VAL,1.4164000000000003,5,2,3
V49_7B_0033,2023-07,VAL,-1.1153,7,2,5
V49_7B_0033,2024-04,VAL,-8.1139,7,0,7
V49_7B_0033,2024-10,VAL,2.135,15,6,9
V49_7B_0034,2020-03,TRAIN,3.6607000000000003,12,7,5
V49_7B_0034,2020-09,TRAIN,-6.6226,17,5,12
V49_7B_0034,2021-02,TRAIN,-5.7369,7,1,6
V49_7B_0034,2021-08,TRAIN,-14.1669,17,3,14
V49_7B_0034,2022-05,TRAIN,-2.5448,15,6,9
V49_7B_0034,2022-11,TRAIN,-9.2223,23,7,16
V49_7B_0034,2023-01,VAL,1.4450000000000005,21,10,11
V49_7B_0034,2023-07,VAL,3.5932000000000004,16,9,7
V49_7B_0034,2024-04,VAL,-9.8347,14,3,11
V49_7B_0034,2024-10,VAL,-1.1737,25,12,13
V49_7B_0035,2020-03,TRAIN,10.0022,9,7,2
V49_7B_0035,2020-09,TRAIN,-8.375499999999999,13,2,11
V49_7B_0035,2021-02,TRAIN,-6.8073,6,0,6
V49_7B_0035,2021-08,TRAIN,-12.4123,13,1,12
V49_7B_0035,2022-05,TRAIN,3.7577,10,5,5
V49_7B_0035,2022-11,TRAIN,-2.3034000000000003,18,6,12
V49_7B_0035,2023-01,VAL,-0.3207000000000002,14,5,9
V49_7B_0035,2023-07,VAL,3.9143999999999997,15,7,8
V49_7B_0035,2024-04,VAL,-9.92,11,1,10
V49_7B_0035,2024-10,VAL,1.0944,17,7,10
V49_7B_0036,2020-03,TRAIN,4.1865000000000006,6,4,2
V49_7B_0036,2020-09,TRAIN,-6.9811,9,1,8
V49_7B_0036,2021-02,TRAIN,-5.723599999999999,5,0,5
V49_7B_0036,2021-08,TRAIN,-7.7683,9,1,8
V49_7B_0036,2022-05,TRAIN,4.1196,7,4,3
V49_7B_0036,2022-11,TRAIN,-1.6233,15,5,10
V49_7B_0036,2023-01,VAL,-1.6143999999999998,7,2,5
V49_7B_0036,2023-07,VAL,-1.8363999999999998,7,2,5
V49_7B_0036,2024-04,VAL,-8.6872,10,1,9
V49_7B_0036,2024-10,VAL,1.7743,15,7,8
V49_7B_0037,2020-03,TRAIN,9.2067,10,7,3
V49_7B_0037,2020-09,TRAIN,-6.0103,11,2,9
V49_7B_0037,2021-02,TRAIN,-3.3674,3,0,3
V49_7B_0037,2021-08,TRAIN,-2.3667000000000002,9,3,6
V49_7B_0037,2022-05,TRAIN,-6.781,6,0,6
V49_7B_0037,2022-11,TRAIN,-1.5227000000000002,15,5,10
V49_7B_0037,2023-01,VAL,-2.1651,13,4,9
V49_7B_0037,2023-07,VAL,-4.6991,15,4,11
V49_7B_0037,2024-04,VAL,-10.1461,9,0,9
V49_7B_0037,2024-10,VAL,0.6632999999999998,18,7,11
V49_7B_0038,2020-03,TRAIN,-7.752599999999999,13,2,11
V49_7B_0038,2020-09,TRAIN,-1.7332999999999998,12,4,8
V49_7B_0038,2021-02,TRAIN,-1.9036,7,2,5
V49_7B_0038,2021-08,TRAIN,-3.1469,12,4,8
V49_7B_0038,2022-05,TRAIN,3.4072000000000005,8,4,4
V49_7B_0038,2022-11,TRAIN,1.6726,7,3,4
V49_7B_0038,2023-01,VAL,-0.9273999999999998,12,5,7
V49_7B_0038,2023-07,VAL,-2.3017000000000003,7,2,5
V49_7B_0038,2024-04,VAL,-5.8959,9,2,7
V49_7B_0038,2024-10,VAL,-2.8325,14,5,9
V49_7B_0039,2020-03,TRAIN,-11.925699999999999,14,1,13
V49_7B_0039,2020-09,TRAIN,-5.2129,15,4,11
V49_7B_0039,2021-02,TRAIN,-4.185,9,2,7
V49_7B_0039,2021-08,TRAIN,2.4908,18,8,10
V49_7B_0039,2022-05,TRAIN,4.3431999999999995,7,4,3
V49_7B_0039,2022-11,TRAIN,0.5592999999999999,8,3,5
V49_7B_0039,2023-01,VAL,-1.6396000000000002,15,5,10
V49_7B_0039,2023-07,VAL,0.25439999999999996,5,2,3
V49_7B_0039,2024-04,VAL,-5.7843,10,2,8
V49_7B_0039,2024-10,VAL,4.8692,14,7,7
V49_7B_0040,2020-03,TRAIN,4.9712,7,4,3
V49_7B_0040,2020-09,TRAIN,-6.5713,6,0,6
V49_7B_0040,2021-02,TRAIN,-3.5177,3,0,3
V49_7B_0040,2021-08,TRAIN,-4.8301,9,2,7
V49_7B_0040,2022-05,TRAIN,-4.529,7,1,6
V49_7B_0040,2022-11,TRAIN,-8.7019,17,3,14
V49_7B_0040,2023-01,VAL,-6.0178,17,4,13
V49_7B_0040,2023-07,VAL,-5.4845,14,3,11
V49_7B_0040,2024-04,VAL,-6.8627,6,0,6
V49_7B_0040,2024-10,VAL,1.2377999999999998,11,4,7
V49_7B_0041,2020-03,TRAIN,-8.5452,8,0,8
V49_7B_0041,2020-09,TRAIN,-1.9107000000000003,6,2,4
V49_7B_0041,2021-02,TRAIN,0.4871000000000001,4,2,2
V49_7B_0041,2021-08,TRAIN,1.891,9,5,4
V49_7B_0041,2022-05,TRAIN,0.9984,6,3,3
V49_7B_0041,2022-11,TRAIN,-1.7264,4,1,3
V49_7B_0041,2023-01,VAL,1.4369999999999998,8,4,4
V49_7B_0041,2023-07,VAL,-2.3626,2,0,2
V49_7B_0041,2024-04,VAL,-3.5244999999999997,5,1,4
V49_7B_0041,2024-10,VAL,-0.5917000000000001,7,3,4
V49_7B_0042,2020-03,TRAIN,4.9406,5,3,2
V49_7B_0042,2020-09,TRAIN,-2.4467,5,1,4
V49_7B_0042,2021-02,TRAIN,-3.5641,3,0,3
V49_7B_0042,2021-08,TRAIN,-7.4384,6,0,6
V49_7B_0042,2022-05,TRAIN,3.5421,3,2,1
V49_7B_0042,2022-11,TRAIN,0.26039999999999974,9,3,6
V49_7B_0042,2023-01,VAL,2.6108000000000002,4,2,2
V49_7B_0042,2023-07,VAL,0.02200000000000002,6,2,4
V49_7B_0042,2024-04,VAL,-5.7197,5,0,5
V49_7B_0042,2024-10,VAL,6.1808,9,5,4
V49_7B_0043,2020-03,TRAIN,3.4711999999999996,7,4,3
V49_7B_0043,2020-09,TRAIN,-5.7358,8,1,7
V49_7B_0043,2021-02,TRAIN,-5.767,5,0,5
V49_7B_0043,2021-08,TRAIN,-5.759,10,2,8
V49_7B_0043,2022-05,TRAIN,-4.2989999999999995,9,2,7
V49_7B_0043,2022-11,TRAIN,-11.3477,18,3,15
V49_7B_0043,2023-01,VAL,5.2109000000000005,17,8,9
V49_7B_0043,2023-07,VAL,-5.135,15,4,11
V49_7B_0043,2024-04,VAL,-6.1125,8,1,7
V49_7B_0043,2024-10,VAL,1.0257,12,5,7
V49_7B_0044,2020-03,TRAIN,-9.5531,9,0,9
V49_7B_0044,2020-09,TRAIN,-2.9650000000000003,9,3,6
