pair,direction,entry_time,exit_time,entry_price,exit_price,units,gross_pnl_usd,net_pnl_usd,r_multiple,commission_usd,exit_reason
EURUSD,long,2020-03-26 18:05:00-04:00,2020-03-26 18:15:00-04:00,1.10319,1.102613469190466,1248000,-719.5104502981735,-774.5673048891675,-1.1356118778500404,55.056854590994035,stop_loss
USDJPY,short,2020-03-30 11:35:00-04:00,2020-03-30 11:45:00-04:00,107.9245,108.07176452704972,507000,-690.8645644960043,-711.1445644960043,-1.0532047182211752,20.28,stop_loss
EURUSD,long,2020-03-30 13:20:00-04:00,2020-03-30 13:45:00-04:00,1.1019999999999999,1.1011729409234345,841000,-695.5566833914413,-732.6140522577736,-1.0929209151441994,37.05736886633217,stop_loss
GBPUSD,long,2020-03-30 14:00:00-04:00,2020-03-30 15:10:00-04:00,1.23767,1.2401003143562892,484000,1176.2721484439505,1152.2873318009817,1.7347452558389997,23.98481664296888,take_profit
USDJPY,short,2020-04-01 14:05:00-04:00,2020-04-01 15:30:00-04:00,107.20949999999999,107.06760464761777,894000,1185.079314198085,1149.3193141980848,1.7063517597503723,35.760000000000005,take_profit
USDJPY,short,2020-04-02 13:15:00-04:00,2020-04-02 13:35:00-04:00,107.8895,107.98796450109461,776000,-707.5642927864037,-738.6042927864037,-1.0816800011933072,31.040000000000003,stop_loss
GBPUSD,long,2020-04-03 16:40:00-04:00,2020-04-03 16:55:00-04:00,1.22732,1.226346012085636,744000,-724.6470082868033,-761.1575585466376,-1.1242580461311016,36.51055025983426,stop_loss
USDJPY,long,2020-04-06 13:40:00-04:00,2020-04-06 14:05:00-04:00,109.06150000000001,108.9998922315189,1260000,-712.0390783826575,-762.4390783826576,-1.1357371839063533,50.400000000000006,stop_loss
USDJPY,long,2020-04-07 18:20:00-04:00,2020-04-07 18:45:00-04:00,108.7825,108.8295,1497000,646.4859004161934,586.6059004161933,0.8815116361976596,59.88,session_close
GBPUSD,long,2020-04-08 16:55:00-04:00,2020-04-08 17:10:00-04:00,1.238154,1.2375197005141814,1175000,-745.3018958368696,-803.4802277989529,-1.1990418663054243,58.17833196208326,stop_loss
GBPUSD,long,2020-04-09 18:10:00-04:00,2020-04-09 18:30:00-04:00,1.24562,1.2445578959268369,649000,-689.3055434828485,-721.6280525719789,-1.0878614617400615,32.32250908913035,stop_loss
GBPUSD,long,2020-04-10 11:00:00-04:00,2020-04-10 11:05:00-04:00,1.24728,1.2476537801598242,1408000,526.2824650325513,456.02512978325063,1.4089285282443793,70.25733524930067,take_profit
USDJPY,short,2020-04-10 14:35:00-04:00,2020-04-10 15:25:00-04:00,108.3945,108.41532178963453,1766000,-339.16213631127306,-409.80213631127305,-1.4522054215315001,70.64,stop_loss
EURUSD,long,2020-04-10 15:20:00-04:00,2020-04-10 15:40:00-04:00,1.09351,1.0938183008551359,1615000,497.90588104446255,427.2551769268416,1.407616070679557,70.6507041176209,take_profit
EURUSD,long,2020-04-12 17:05:00-04:00,2020-04-12 17:10:00-04:00,1.094422,1.094022551077274,1613000,-644.3111123569092,-714.9103335746621,-1.2399472639827513,70.59922121775287,stop_loss
USDJPY,short,2020-04-12 18:10:00-04:00,2020-04-12 18:15:00-04:00,108.4015,108.31550980884975,1432000,1136.703502544568,1079.4235025445678,1.6437633809987704,57.28,take_profit
EURUSD,long,2020-04-13 12:10:00-04:00,2020-04-13 12:55:00-04:00,1.09052,1.091389331478236,1331000,1157.0801975320887,1098.997771128138,1.6526141482413514,58.08242640395065,take_profit
GBPUSD,long,2020-04-13 17:35:00-04:00,2020-04-13 18:05:00-04:00,1.2509800000000002,1.250422333231014,1300000,-724.9667996820142,-790.0032603460206,-1.1739111954993453,65.03646066400637,stop_loss
