pair,entry_time_ny,exit_time_ny,direction,entry_side,signal_time_ny,fill_time_ny,signal_price,fill_price,entry_price,exit_price,exit_signal_price,exit_fill_price,sl,tp,spread_applied,slippage_applied,commission_applied,entry_spread_pips,exit_spread_pips,entry_slippage_pips,exit_slippage_pips,entry_commission_usd,exit_commission_usd,price_source_used,data_source_used,pnl_r,pnl_usd,result,exit_reason,forced_close_flag,intrabar_ambiguity_flag,execution_mode_used,intrabar_policy_used,cost_profile_used,entry_cost_regime,exit_cost_regime,blocked_by_news,blocking_event_name,blocking_event_time_ny,blocking_rule_used,gap_exit_flag,gap_exit_type,date
EURUSD,2022-08-01 12:00:00,2022-08-01 14:15:00,short,,2022-08-01 12:00:00,2022-08-01 12:00:00,1.026835,1.02681,1.02681,1.0253625000000002,1.0252225000000004,1.0253625000000002,1.027625,1.0252225000000004,0.0,0.2,0.0,1.2,0.0,0.2,0.2,18.134715025908942,18.134715025908942,bid,prepared_m5_bid,-1.5362694300518178,-768.1347150259089,loss,take_profit,False,False,normal_mode,standard,base,base|opening|normal_vol|entry,base,False,,,,False,no_gap,2022-08-01
EURUSD,2022-08-02 14:00:00,2022-08-02 15:45:00,long,,2022-08-02 14:00:00,2022-08-02 14:00:00,1.018415,1.018585,1.018585,1.0169599999999999,1.017005,1.0169599999999999,1.017005,1.0210525000000004,0.0,0.45000000000000007,0.0,1.5,0.0,0.30000000000000004,0.45000000000000007,10.738401753685343,10.738401753685343,bid,prepared_m5_bid,-1.0215384615384588,-509.3070546034263,loss,stop_loss,False,False,normal_mode,standard,base,base|core|high_vol|entry,base,False,,,,False,no_gap,2022-08-02
EURUSD,2022-08-16 11:00:00,2022-08-16 18:45:00,short,,2022-08-16 11:00:00,2022-08-16 11:00:00,1.017885,1.01786,1.01786,1.01726,1.01707,1.01726,1.019595,1.0147849999999996,0.0,0.4,0.0,1.5,0.0,0.30000000000000004,0.4,9.039453061722927,9.039453061722927,bid,prepared_m5_bid,-0.32901554404138084,-164.0015055483846,loss,forced_session_close,False,False,normal_mode,standard,base,base|opening|high_vol|entry,base,False,,,,False,no_gap,2022-08-16
EURUSD,2022-08-19 11:30:00,2022-08-19 12:15:00,long,,2022-08-19 11:30:00,2022-08-19 11:30:00,1.00463,1.0048050000000002,1.0048050000000002,1.0033750000000001,1.003405,1.0033750000000001,1.003405,1.0070025000000002,0.0,0.30000000000000004,0.0,1.5,0.0,0.30000000000000004,0.30000000000000004,12.112867102708863,12.112867102708863,bid,prepared_m5_bid,-1.0138408304497577,-507.0100087276857,loss,stop_loss,False,False,normal_mode,standard,base,base|opening|high_vol|entry,base,False,,,,False,no_gap,2022-08-19
EURUSD,2023-01-09 11:00:00,2023-01-09 11:45:00,short,,2023-01-09 11:00:00,2023-01-09 11:00:00,1.07402,1.0740150000000002,1.0740150000000002,1.0751899999999999,1.075025,1.0751899999999999,1.075025,1.0715550000000011,0.0,0.45000000000000007,0.0,1.2,0.0,0.2,0.45000000000000007,15.086206896556853,15.086206896556853,bid,prepared_m5_bid,0.9827586206897339,491.37931034486695,win,stop_loss,False,False,normal_mode,standard,base,base|opening|normal_vol|entry,base,False,,,,False,no_gap,2023-01-09
EURUSD,2023-03-06 12:30:00,2023-03-06 18:45:00,short,,2023-03-06 12:30:00,2023-03-06 12:30:00,1.068605,1.0685900000000002,1.0685900000000002,1.06873,1.06857,1.06873,1.069545,1.066240000000001,0.0,0.4,0.0,1.2,0.0,0.2,0.4,15.991720627247439,15.991720627247439,bid,prepared_m5_bid,0.09502262443424112,47.97516188165411,win,forced_session_close,False,False,normal_mode,standard,base,base|opening|normal_vol|entry,base,False,,,,False,no_gap,2023-03-06
EURUSD,2023-04-05 14:00:00,2023-04-05 18:45:00,long,,2023-04-05 14:00:00,2023-04-05 14:00:00,1.09006,1.0902500000000002,1.0902500000000002,1.09097,1.09101,1.09097,1.089005,1.0928600000000006,0.0,0.4,0.0,1.5,0.0,0.30000000000000004,0.4,13.771164846345156,13.771164846345156,bid,prepared_m5_bid,0.5310077519377574,269.52136913554625,win,forced_session_close,False,False,normal_mode,standard,base,base|core|high_vol|entry,base,False,,,,False,no_gap,2023-04-05
EURUSD,2023-04-12 14:30:00,2023-04-12 18:45:00,short,,2023-04-12 14:30:00,2023-04-12 14:30:00,1.09909,1.0990550000000001,1.0990550000000001,1.0997150000000002,1.099525,1.0997150000000002,1.100145,1.096305,0.0,0.4,0.0,1.5,0.0,0.30000000000000004,0.4,13.928702685446162,13.928702685446162,bid,prepared_m5_bid,0.4863813229572875,248.72683366872323,win,forced_session_close,False,False,normal_mode,standard,base,base|core|high_vol|entry,base,False,,,,False,no_gap,2023-04-12
EURUSD,2023-04-24 14:45:00,2023-04-24 18:45:00,short,,2023-04-24 14:45:00,2023-04-24 14:45:00,1.104505,1.1045,1.1045,1.105295,1.105115,1.105295,1.105115,1.1028300000000004,0.0,0.6000000000000001,0.0,1.2,0.0,0.2,0.6000000000000001,23.567273906505044,23.567273906505044,bid,prepared_m5_bid,0.9934640522875476,511.74651911259963,win,stop_loss,False,False,normal_mode,standard,base,base|core|normal_vol|entry,base,False,,,,False,no_gap,2023-04-24
EURUSD,2023-06-15 14:00:00,2023-06-15 14:45:00,short,,2023-06-15 14:00:00,2023-06-15 14:00:00,1.0943,1.0942850000000002,1.0942850000000002,1.0952449999999998,1.095095,1.0952449999999998,1.095095,1.0922250000000011,0.0,0.30000000000000004,0.0,1.2,0.0,0.2,0.30000000000000004,18.96306325946313,18.96306325946313,bid,prepared_m5_bid,0.9635416666666525,501.16667185703824,win,stop_loss,False,False,normal_mode,standard,base,base|core|normal_vol|entry,base,False,,,,False,no_gap,2023-06-15
EURUSD,2023-07-07 13:45:00,2023-07-09 18:45:00,short,,2023-07-07 13:45:00,2023-07-07 13:45:00,1.096915,1.096905,1.096905,1.09682,1.09666,1.09682,1.097425,1.0957600000000003,0.0,0.4,0.0,1.2,0.0,0.2,0.4,26.11940298507664,26.11940298507664,bid,prepared_m5_bid,-0.1791044776121224,-89.5522388060612,loss,forced_session_close,False,False,normal_mode,standard,base,base|core|normal_vol|entry,base,False,,,,False,no_gap,2023-07-07
EURUSD,2023-07-24 16:15:00,2023-07-24 18:45:00,long,,2023-07-24 16:15:00,2023-07-24 16:15:00,1.106315,1.1064599999999998,1.1064599999999998,1.10623,1.10627,1.10623,1.1059350000000001,1.1073124999999993,0.0,0.4,0.0,1.2,0.0,0.2,0.4,31.65271614900536,31.65271614900536,bid,prepared_m5_bid,-0.4774774774773022,-239.65627941365392,loss,forced_session_close,False,False,normal_mode,standard,base,base|core|normal_vol|entry,base,False,,,,False,no_gap,2023-07-24
EURUSD,2023-08-31 11:00:00,2023-08-31 11:30:00,long,,2023-08-31 11:00:00,2023-08-31 11:00:00,1.08547,1.085655,1.085655,1.08388,1.083925,1.08388,1.083925,1.0883475,0.0,0.45000000000000007,0.0,1.5,0.0,0.30000000000000004,0.45000000000000007,9.919782915929975,9.919782915929975,bid,prepared_m5_bid,-1.019718309859154,-512.9944879381162,loss,stop_loss,False,False,normal_mode,standard,base,base|opening|high_vol|entry,base,False,,,,False,no_gap,2023-08-31
EURUSD,2023-09-01 16:00:00,2023-09-03 18:45:00,long,,2023-09-01 16:00:00,2023-09-01 16:00:00,1.0775,1.0776449999999997,1.0776449999999997,1.07731,1.07735,1.07731,1.077125,1.078489999999999,0.0,0.4,0.0,1.2,0.0,0.2,0.4,32.00753227594281,32.00753227594281,bid,prepared_m5_bid,-0.6727272727273036,-338.36534120259734,loss,forced_session_close,False,False,normal_mode,standard,base,base|core|normal_vol|entry,base,False,,,,False,no_gap,2023-09-01
EURUSD,2023-09-26 13:15:00,2023-09-26 14:00:00,long,,2023-09-26 13:15:00,2023-09-26 13:15:00,1.057415,1.0575499999999998,1.0575499999999998,1.05663,1.05666,1.05663,1.05666,1.0589499999999994,0.0,0.30000000000000004,0.0,1.2,0.0,0.2,0.30000000000000004,19.160161100716984,19.160161100716984,bid,prepared_m5_bid,-1.0380434782608776,-522.7986814623165,loss,stop_loss,False,False,normal_mode,standard,base,base|core|normal_vol|entry,base,False,,,,False,no_gap,2023-09-26
EURUSD,2024-01-23 12:15:00,2024-01-23 15:00:00,long,,2024-01-23 12:15:00,2024-01-23 12:15:00,1.08319,1.0833349999999997,1.0833349999999997,1.084864999999999,1.084884999999999,1.084864999999999,1.0823450000000001,1.084884999999999,0.0,0.2,0.0,1.2,0.0,0.2,0.2,17.156862745105155,17.156862745105155,bid,prepared_m5_bid,1.4656862745097896,732.8431372548948,win,take_profit,False,False,normal_mode,standard,base,base|opening|normal_vol|entry,base,False,,,,False,no_gap,2024-01-23
EURUSD,2024-01-29 11:15:00,2024-01-29 15:00:00,long,,2024-01-29 11:15:00,2024-01-29 11:15:00,1.080555,1.08073,1.08073,1.0826574999999998,1.0826874999999998,1.0826574999999998,1.07949,1.0826874999999998,0.0,0.30000000000000004,0.0,1.5,0.0,0.30000000000000004,0.30000000000000004,13.78423743038092,13.78423743038092,bid,prepared_m5_bid,1.4727626459143102,745.3334096283988,win,take_profit,False,False,normal_mode,standard,base,base|opening|high_vol|entry,base,False,,,,False,no_gap,2024-01-29
EURUSD,2024-03-01 14:45:00,2024-03-03 18:45:00,short,,2024-03-01 14:45:00,2024-03-01 14:45:00,1.083935,1.0839050000000001,1.0839050000000001,1.084335,1.084175,1.084335,1.08443,1.0827525000000007,0.0,0.4,0.0,1.2,0.0,0.2,0.4,26.56197026469698,26.56197026469698,bid,prepared_m5_bid,0.585185185185291,299.77080727295595,win,forced_session_close,False,False,normal_mode,standard,base,base|core|normal_vol|entry,base,False,,,,False,no_gap,2024-03-01
