h1_ema_fast,h1_ema_slow,asr_h1_adx_max,asr_h1_distance_atr_max,m15_ema_period,asr_m15_extension_atr,asr_m15_rsi_long,asr_m15_rsi_short,asr_m5_reclaim_rsi_long,asr_m5_reclaim_rsi_short,stop_atr_multiple,asr_take_profit_rr_cap,asr_max_hold_bars,validation_score,full_sample_goal_score,avg_validation_goal_score,avg_validation_robustness,avg_validation_return_pct,avg_validation_sharpe,worst_validation_drawdown_pct,profitable_window_ratio,full_sample_robustness,initial_capital,final_equity,total_return_pct,max_drawdown_pct,sharpe_ratio,profit_factor,total_trades,wins,losses,break_even_trades,win_rate_pct,trades_per_month,profit_month_ratio,avg_monthly_net_pnl_usd,expectancy_usd,avg_trade_minutes,median_trade_minutes,max_consecutive_wins,max_consecutive_losses
21,200,18.0,0.8,10,0.35,34.0,66.0,38.0,62.0,0.8,0.9,6,-58.608556991864276,-82.97086850234122,-62.16962896377727,0.11543264100376263,-1.7449216673536134,-1.1336865340941182,4.225083797839354,0.0,0.05839789121182595,100000.0,90647.96557886596,-9.352034421134036,10.095985840098438,-1.3431898889087395,0.11682067134232617,18,4,14,0,22.22222222222222,1.2857142857142858,0.21428571428571427,-668.0024586524318,-519.5574678407803,16.666666666666668,10.0,2,5
21,200,18.0,0.8,10,0.35,34.0,66.0,38.0,62.0,1.0,0.7,4,-58.8276328299065,-81.2976952260639,-62.477494199379386,0.10330736997624093,-1.7949636191310014,-1.1733532975153267,4.298002412845613,0.0,0.06254847395156346,100000.0,92381.92649568093,-7.618073504319067,8.249470058159305,-1.3304304238002411,0.1207159322309502,18,4,14,0,22.22222222222222,1.2857142857142858,0.21428571428571427,-544.1481074513639,-423.2263057955053,16.38888888888889,15.0,2,5
21,200,18.0,0.8,10,0.35,34.0,66.0,38.0,62.0,1.0,0.7,9,-59.05567173832482,-83.62630002557368,-63.12781804890809,0.09946348003881189,-1.9369325064630045,-1.2103802860961002,4.824943986411381,0.0,0.04999953769504058,100000.0,90601.7282008664,-9.398271799133596,10.017401475715728,-1.4655437537237581,0.09558797727515181,18,4,14,0,22.22222222222222,1.2857142857142858,0.21428571428571427,-671.3051285095455,-522.1262110629799,19.72222222222222,15.0,2,5
21,200,18.0,0.8,10,0.35,34.0,66.0,38.0,62.0,1.0,0.7,6,-59.12718965259937,-83.60288698991128,-62.959856533654374,0.10168277064206002,-1.8564473602856513,-1.1938340217706127,4.50528817968136,0.0,0.050024221976048645,100000.0,90626.30584277239,-9.373694157227607,9.99294359446119,-1.426017662121717,0.09563270915382213,18,4,14,0,22.22222222222222,1.2857142857142858,0.21428571428571427,-669.5495826591141,-520.7607865126442,18.61111111111111,15.0,2,5
21,200,18.0,0.8,10,0.35,34.0,66.0,38.0,58.0,0.8,0.7,9,-69.00043632167508,-45.89541711924899,-57.77333515214688,5.656793928667629,-1.2423956309096678,-0.5720483909066348,3.36087132550306,0.25,0.17676039617802922,100000.0,94421.46381750431,-5.5785361824956965,6.150940236753376,-0.9994600641665417,0.24313780751814507,17,6,11,0,35.294117647058826,1.3076923076923077,0.3076923076923077,-429.1181678842846,-328.1491872056294,15.0,10.0,2,5
21,200,18.0,0.8,10,0.35,34.0,66.0,38.0,58.0,0.8,0.7,6,-69.02057268336837,-47.75916887543873,-57.92743836682876,5.654213903062621,-1.2912477864988336,-0.5826792220107628,3.5550875958609542,0.25,0.1503850025782994,100000.0,93377.5240434657,-6.622475956534302,7.188550960651016,-1.0127279868413392,0.21121511154429318,17,6,11,0,35.294117647058826,1.3076923076923077,0.3076923076923077,-509.4212274257147,-389.55740920789947,14.117647058823529,10.0,2,5
21,200,18.0,0.8,10,0.35,34.0,66.0,38.0,58.0,0.8,0.5,6,-69.96731522523943,-50.78815412927819,-58.99229907836324,5.541723937004926,-1.4705929742903328,-0.6791913831043683,3.8427054933234035,0.25,0.09036823122059204,100000.0,92669.07412671307,-7.330925873286931,7.69334274761226,-1.1536572759660741,0.12849440834812026,17,6,11,0,35.294117647058826,1.3076923076923077,0.3076923076923077,-563.917374868225,-431.23093372276026,13.235294117647058,10.0,2,5
21,200,18.0,0.8,10,0.35,34.0,66.0,38.0,58.0,0.8,0.5,9,-69.99792446222676,-49.295415883754856,-58.87935466534974,5.543333833237529,-1.4221111681481018,-0.6719592104399321,3.64954609875915,0.25,0.10618145513725058,100000.0,93704.99941377377,-6.295000586226229,6.661493547331353,-1.1716155799248034,0.14787950381621984,17,6,11,0,35.294117647058826,1.3076923076923077,0.3076923076923077,-484.2308143250953,-370.2941521309553,14.117647058823529,10.0,2,5
21,200,18.0,0.8,10,0.35,34.0,66.0,38.0,62.0,0.8,0.7,6,-80.41537592950424,-68.79598893439845,-84.6831219493352,0.10330539254047848,-1.6637423521526973,-1.1336312727230053,3.5550875958609542,0.0,0.086506047161135,100000.0,91991.82950904404,-8.008170490955969,8.565989512638653,-1.1760886360556302,0.16815125638104117,18,5,13,0,27.77777777777778,1.2857142857142858,0.21428571428571427,-572.0121779254262,-444.8983606086648,13.61111111111111,10.0,2,5
21,200,18.0,0.8,10,0.35,34.0,66.0,38.0,62.0,0.8,0.7,9,-80.45981698040922,-67.2417474414137,-84.5290187346533,0.10588541814548734,-1.6148901965635316,-1.1230004416188772,3.36087132550306,0.0,0.09972667987421188,100000.0,93020.10253546301,-6.979897464536988,7.543955054803329,-1.1797922257041673,0.18990205342910535,18,5,13,0,27.77777777777778,1.2857142857142858,0.21428571428571427,-498.5641046097849,-387.7720813631661,14.444444444444445,10.0,2,5
21,200,18.0,0.8,10,0.35,34.0,66.0,38.0,62.0,1.0,0.5,6,-81.04736756249602,-70.52302296146739,-85.90583711177352,0.08020625107622917,-1.8407102121698382,-1.2287873571016918,4.043551482636423,0.0,0.06166830468678838,100000.0,91598.27248188545,-8.401727518114555,8.815679896206115,-1.3085709133067338,0.12066333270529205,18,5,13,0,27.77777777777778,1.2857142857142858,0.21428571428571427,-600.1233941510375,-466.76263989525137,15.555555555555555,10.0,2,5
21,200,18.0,0.8,10,0.35,34.0,66.0,38.0,62.0,1.0,0.5,9,-81.11473262130718,-69.62515267605434,-85.81616751181879,0.08148119961909436,-1.8020318248646499,-1.2199020528402025,3.8895526609191147,0.0,0.06768995918354,100000.0,92274.7763447816,-7.7252236552184055,8.142112876697938,-1.3055469572588045,0.13066076948790717,18,5,13,0,27.77777777777778,1.2857142857142858,0.21428571428571427,-551.8016896584585,-429.17909195657876,16.38888888888889,10.0,2,5
