family_id,config_id,timeframe,realized_vol_lookback,compression_percentile,bb_multiplier,stop_atr_mult,target_r,session_window,ema_fast,ema_slow,trend_slope_min,pullback_depth,stop_swing_lookback,rsi_period,rsi_oversold,rsi_overbought,news_blackout_mins,safe_window_delay
F06,F06_LIM_0026,15m,20.0,0.15,1.5,2.0,2.0,07:00-12:00,,,,,,,,,,
F06,F06_LIM_0027,15m,20.0,0.2,2.5,1.5,2.0,07:00-12:00,,,,,,,,,,
F06,F06_LIM_0028,15m,20.0,0.2,2.0,1.5,2.0,07:00-12:00,,,,,,,,,,
F06,F06_LIM_0029,15m,10.0,0.1,2.5,2.0,3.0,07:00-12:00,,,,,,,,,,
F06,F06_LIM_0030,15m,30.0,0.15,2.5,2.0,2.0,07:00-12:00,,,,,,,,,,
F06,F06_LIM_0031,15m,30.0,0.1,2.0,2.0,2.0,07:00-12:00,,,,,,,,,,
F06,F06_LIM_0032,15m,10.0,0.2,2.5,1.5,2.0,07:00-12:00,,,,,,,,,,
F06,F06_LIM_0033,15m,10.0,0.2,2.0,1.5,2.0,07:00-12:00,,,,,,,,,,
F06,F06_LIM_0034,15m,30.0,0.2,1.5,2.0,3.0,07:00-12:00,,,,,,,,,,
F06,F06_LIM_0035,15m,30.0,0.1,2.0,2.0,3.0,07:00-12:00,,,,,,,,,,
F06,F06_LIM_0036,15m,30.0,0.2,1.5,2.0,2.0,07:00-12:00,,,,,,,,,,
F06,F06_LIM_0037,15m,20.0,0.2,1.5,2.0,2.0,07:00-12:00,,,,,,,,,,
F06,F06_LIM_0038,15m,10.0,0.1,2.5,2.0,2.0,07:00-12:00,,,,,,,,,,
F06,F06_LIM_0039,15m,30.0,0.1,2.5,2.0,3.0,07:00-12:00,,,,,,,,,,
F06,F06_LIM_0040,15m,10.0,0.15,2.5,1.5,2.0,07:00-12:00,,,,,,,,,,
F06,F06_LIM_0041,15m,20.0,0.15,2.5,1.5,3.0,07:00-12:00,,,,,,,,,,
F06,F06_LIM_0042,15m,20.0,0.15,2.0,1.5,2.0,07:00-12:00,,,,,,,,,,
F06,F06_LIM_0043,15m,20.0,0.2,1.5,2.0,2.0,07:00-12:00,,,,,,,,,,
F06,F06_LIM_0044,15m,30.0,0.2,1.5,2.0,3.0,07:00-12:00,,,,,,,,,,
F06,F06_LIM_0045,15m,30.0,0.2,2.5,1.5,2.0,07:00-12:00,,,,,,,,,,
F06,F06_LIM_0046,15m,20.0,0.15,1.5,1.5,2.0,07:00-12:00,,,,,,,,,,
F06,F06_LIM_0047,15m,30.0,0.2,1.5,2.0,3.0,07:00-12:00,,,,,,,,,,
F06,F06_LIM_0048,15m,30.0,0.2,2.0,2.0,3.0,07:00-12:00,,,,,,,,,,
F06,F06_LIM_0049,15m,30.0,0.15,2.5,1.5,3.0,07:00-12:00,,,,,,,,,,
F06,F06_LIM_0050,15m,10.0,0.2,1.5,2.0,3.0,07:00-12:00,,,,,,,,,,
F08,F08_LIM_0001,15m,,,,,2.0,08:00-11:00,9.0,50.0,0.0002,0.3,5.0,,,,,
F08,F08_LIM_0002,15m,,,,,2.0,08:00-11:00,9.0,100.0,0.0001,0.5,5.0,,,,,
F08,F08_LIM_0003,15m,,,,,3.0,08:00-11:00,9.0,50.0,0.0002,0.3,10.0,,,,,
F08,F08_LIM_0004,15m,,,,,3.0,08:00-11:00,9.0,50.0,0.0001,0.3,10.0,,,,,
F08,F08_LIM_0005,15m,,,,,2.0,08:00-11:00,21.0,50.0,0.0001,0.3,10.0,,,,,
F08,F08_LIM_0006,15m,,,,,3.0,08:00-11:00,9.0,100.0,0.0001,0.3,10.0,,,,,
F08,F08_LIM_0007,15m,,,,,2.0,08:00-11:00,9.0,100.0,0.0001,0.3,5.0,,,,,
F08,F08_LIM_0008,15m,,,,,2.0,08:00-11:00,21.0,50.0,0.0002,0.3,10.0,,,,,
F08,F08_LIM_0009,15m,,,,,3.0,08:00-11:00,21.0,100.0,0.0002,0.5,10.0,,,,,
F08,F08_LIM_0010,15m,,,,,3.0,08:00-11:00,9.0,50.0,0.0002,0.5,10.0,,,,,
F08,F08_LIM_0011,15m,,,,,2.0,08:00-11:00,21.0,50.0,0.0001,0.3,5.0,,,,,
F08,F08_LIM_0012,15m,,,,,3.0,08:00-11:00,9.0,100.0,0.0002,0.5,10.0,,,,,
F08,F08_LIM_0013,15m,,,,,2.0,08:00-11:00,9.0,50.0,0.0002,0.5,5.0,,,,,
F08,F08_LIM_0014,15m,,,,,2.0,08:00-11:00,9.0,50.0,0.0002,0.3,5.0,,,,,
F08,F08_LIM_0015,15m,,,,,3.0,08:00-11:00,21.0,100.0,0.0002,0.5,10.0,,,,,
F08,F08_LIM_0016,15m,,,,,2.0,08:00-11:00,21.0,100.0,0.0002,0.3,10.0,,,,,
F08,F08_LIM_0017,15m,,,,,3.0,08:00-11:00,21.0,100.0,0.0002,0.5,5.0,,,,,
F08,F08_LIM_0018,15m,,,,,2.0,08:00-11:00,9.0,100.0,0.0002,0.5,10.0,,,,,
F08,F08_LIM_0019,15m,,,,,2.0,08:00-11:00,21.0,50.0,0.0002,0.3,10.0,,,,,
F08,F08_LIM_0020,15m,,,,,3.0,08:00-11:00,9.0,100.0,0.0002,0.3,5.0,,,,,
F08,F08_LIM_0021,15m,,,,,3.0,08:00-11:00,9.0,100.0,0.0001,0.5,10.0,,,,,
F08,F08_LIM_0022,15m,,,,,2.0,08:00-11:00,21.0,100.0,0.0002,0.3,5.0,,,,,
F08,F08_LIM_0023,15m,,,,,2.0,08:00-11:00,9.0,100.0,0.0002,0.5,5.0,,,,,
F08,F08_LIM_0024,15m,,,,,3.0,08:00-11:00,21.0,50.0,0.0002,0.3,5.0,,,,,
F08,F08_LIM_0025,15m,,,,,3.0,08:00-11:00,21.0,50.0,0.0001,0.3,5.0,,,,,
F08,F08_LIM_0026,15m,,,,,2.0,08:00-11:00,9.0,100.0,0.0002,0.3,5.0,,,,,
F08,F08_LIM_0027,15m,,,,,2.0,08:00-11:00,21.0,50.0,0.0001,0.5,10.0,,,,,
F08,F08_LIM_0028,15m,,,,,3.0,08:00-11:00,9.0,100.0,0.0001,0.3,10.0,,,,,
F08,F08_LIM_0029,15m,,,,,3.0,08:00-11:00,21.0,100.0,0.0002,0.5,5.0,,,,,
F08,F08_LIM_0030,15m,,,,,2.0,08:00-11:00,21.0,50.0,0.0002,0.5,10.0,,,,,
F08,F08_LIM_0031,15m,,,,,2.0,08:00-11:00,21.0,100.0,0.0001,0.5,5.0,,,,,
F08,F08_LIM_0032,15m,,,,,2.0,08:00-11:00,21.0,100.0,0.0002,0.5,5.0,,,,,
F08,F08_LIM_0033,15m,,,,,2.0,08:00-11:00,9.0,50.0,0.0001,0.5,10.0,,,,,
F08,F08_LIM_0034,15m,,,,,2.0,08:00-11:00,21.0,50.0,0.0001,0.3,10.0,,,,,
F08,F08_LIM_0035,15m,,,,,3.0,08:00-11:00,21.0,50.0,0.0002,0.5,10.0,,,,,
F08,F08_LIM_0036,15m,,,,,2.0,08:00-11:00,21.0,100.0,0.0001,0.3,5.0,,,,,
F08,F08_LIM_0037,15m,,,,,3.0,08:00-11:00,21.0,100.0,0.0001,0.5,10.0,,,,,
F08,F08_LIM_0038,15m,,,,,3.0,08:00-11:00,21.0,100.0,0.0002,0.3,10.0,,,,,
F08,F08_LIM_0039,15m,,,,,3.0,08:00-11:00,9.0,100.0,0.0001,0.3,5.0,,,,,
F08,F08_LIM_0040,15m,,,,,2.0,08:00-11:00,9.0,50.0,0.0002,0.5,10.0,,,,,
F08,F08_LIM_0041,15m,,,,,3.0,08:00-11:00,9.0,50.0,0.0001,0.3,10.0,,,,,
F08,F08_LIM_0042,15m,,,,,3.0,08:00-11:00,9.0,50.0,0.0001,0.3,10.0,,,,,
F08,F08_LIM_0043,15m,,,,,3.0,08:00-11:00,9.0,50.0,0.0001,0.5,10.0,,,,,
F08,F08_LIM_0044,15m,,,,,3.0,08:00-11:00,9.0,100.0,0.0001,0.5,5.0,,,,,
F08,F08_LIM_0045,15m,,,,,3.0,08:00-11:00,21.0,100.0,0.0001,0.5,5.0,,,,,
F08,F08_LIM_0046,15m,,,,,2.0,08:00-11:00,21.0,50.0,0.0001,0.5,10.0,,,,,
F08,F08_LIM_0047,15m,,,,,2.0,08:00-11:00,21.0,50.0,0.0001,0.5,5.0,,,,,
F08,F08_LIM_0048,15m,,,,,2.0,08:00-11:00,21.0,50.0,0.0002,0.3,5.0,,,,,
F08,F08_LIM_0049,15m,,,,,2.0,08:00-11:00,9.0,50.0,0.0001,0.3,10.0,,,,,
F08,F08_LIM_0050,15m,,,,,3.0,08:00-11:00,21.0,50.0,0.0001,0.5,10.0,,,,,
F12,F12_LIM_0001,5m,,,,,1.5,09:00-12:00,,,,,,7.0,35.0,65.0,60.0,30.0
F12,F12_LIM_0002,5m,,,,,2.0,09:00-12:00,,,,,,14.0,30.0,70.0,60.0,15.0
F12,F12_LIM_0003,5m,,,,,2.5,09:00-12:00,,,,,,7.0,35.0,65.0,30.0,15.0
F12,F12_LIM_0004,5m,,,,,2.0,09:00-12:00,,,,,,14.0,35.0,75.0,60.0,30.0
F12,F12_LIM_0005,5m,,,,,1.5,09:00-12:00,,,,,,14.0,35.0,65.0,30.0,30.0
F12,F12_LIM_0006,5m,,,,,2.5,09:00-12:00,,,,,,7.0,25.0,75.0,30.0,15.0
F12,F12_LIM_0007,5m,,,,,1.5,09:00-12:00,,,,,,14.0,25.0,70.0,30.0,15.0
F12,F12_LIM_0008,5m,,,,,1.5,09:00-12:00,,,,,,7.0,30.0,70.0,30.0,30.0
F12,F12_LIM_0009,5m,,,,,2.5,09:00-12:00,,,,,,7.0,35.0,65.0,60.0,15.0
F12,F12_LIM_0010,5m,,,,,1.5,09:00-12:00,,,,,,7.0,30.0,75.0,30.0,30.0
F12,F12_LIM_0011,5m,,,,,2.5,09:00-12:00,,,,,,7.0,30.0,70.0,30.0,15.0
F12,F12_LIM_0012,5m,,,,,2.5,09:00-12:00,,,,,,14.0,25.0,65.0,60.0,30.0
F12,F12_LIM_0013,5m,,,,,1.5,09:00-12:00,,,,,,7.0,35.0,75.0,60.0,15.0
F12,F12_LIM_0014,5m,,,,,2.5,09:00-12:00,,,,,,14.0,30.0,65.0,60.0,15.0
F12,F12_LIM_0015,5m,,,,,2.5,09:00-12:00,,,,,,7.0,30.0,75.0,30.0,15.0
F12,F12_LIM_0016,5m,,,,,2.0,09:00-12:00,,,,,,7.0,25.0,70.0,60.0,15.0
F12,F12_LIM_0017,5m,,,,,2.5,09:00-12:00,,,,,,14.0,25.0,65.0,60.0,15.0
F12,F12_LIM_0018,5m,,,,,2.0,09:00-12:00,,,,,,14.0,30.0,65.0,30.0,30.0
F12,F12_LIM_0019,5m,,,,,2.0,09:00-12:00,,,,,,14.0,35.0,65.0,30.0,15.0
F12,F12_LIM_0020,5m,,,,,2.5,09:00-12:00,,,,,,7.0,30.0,70.0,60.0,30.0
F12,F12_LIM_0021,5m,,,,,2.5,09:00-12:00,,,,,,7.0,35.0,75.0,60.0,30.0
F12,F12_LIM_0022,5m,,,,,1.5,09:00-12:00,,,,,,7.0,30.0,75.0,30.0,15.0
F12,F12_LIM_0023,5m,,,,,1.5,09:00-12:00,,,,,,7.0,25.0,70.0,30.0,15.0
F12,F12_LIM_0024,5m,,,,,1.5,09:00-12:00,,,,,,7.0,25.0,75.0,30.0,30.0
F12,F12_LIM_0025,5m,,,,,2.0,09:00-12:00,,,,,,7.0,25.0,70.0,30.0,15.0
F12,F12_LIM_0026,5m,,,,,2.5,09:00-12:00,,,,,,14.0,30.0,70.0,30.0,30.0
F12,F12_LIM_0027,5m,,,,,2.5,09:00-12:00,,,,,,14.0,30.0,75.0,60.0,15.0
F12,F12_LIM_0028,5m,,,,,1.5,09:00-12:00,,,,,,7.0,30.0,65.0,30.0,15.0
F12,F12_LIM_0029,5m,,,,,2.5,09:00-12:00,,,,,,7.0,30.0,65.0,30.0,30.0
F12,F12_LIM_0030,5m,,,,,1.5,09:00-12:00,,,,,,7.0,35.0,75.0,30.0,15.0
F12,F12_LIM_0031,5m,,,,,1.5,09:00-12:00,,,,,,7.0,25.0,75.0,30.0,30.0
F12,F12_LIM_0032,5m,,,,,2.5,09:00-12:00,,,,,,14.0,25.0,70.0,30.0,30.0
F12,F12_LIM_0033,5m,,,,,2.0,09:00-12:00,,,,,,14.0,30.0,75.0,30.0,15.0
F12,F12_LIM_0034,5m,,,,,2.5,09:00-12:00,,,,,,7.0,25.0,70.0,60.0,15.0
F12,F12_LIM_0035,5m,,,,,2.5,09:00-12:00,,,,,,7.0,35.0,65.0,60.0,15.0
F12,F12_LIM_0036,5m,,,,,2.5,09:00-12:00,,,,,,14.0,35.0,75.0,60.0,15.0
F12,F12_LIM_0037,5m,,,,,2.5,09:00-12:00,,,,,,14.0,35.0,70.0,30.0,30.0
F12,F12_LIM_0038,5m,,,,,1.5,09:00-12:00,,,,,,7.0,30.0,75.0,60.0,15.0
F12,F12_LIM_0039,5m,,,,,2.5,09:00-12:00,,,,,,7.0,25.0,70.0,60.0,15.0
F12,F12_LIM_0040,5m,,,,,2.0,09:00-12:00,,,,,,14.0,35.0,70.0,30.0,15.0
F12,F12_LIM_0041,5m,,,,,1.5,09:00-12:00,,,,,,7.0,25.0,70.0,30.0,30.0
F12,F12_LIM_0042,5m,,,,,2.5,09:00-12:00,,,,,,7.0,30.0,65.0,60.0,15.0
F12,F12_LIM_0043,5m,,,,,1.5,09:00-12:00,,,,,,7.0,35.0,75.0,30.0,15.0
F12,F12_LIM_0044,5m,,,,,2.5,09:00-12:00,,,,,,14.0,25.0,70.0,60.0,30.0
F12,F12_LIM_0045,5m,,,,,2.0,09:00-12:00,,,,,,14.0,25.0,65.0,60.0,15.0
F12,F12_LIM_0046,5m,,,,,1.5,09:00-12:00,,,,,,7.0,30.0,65.0,30.0,30.0
F12,F12_LIM_0047,5m,,,,,2.5,09:00-12:00,,,,,,7.0,35.0,70.0,30.0,30.0
F12,F12_LIM_0048,5m,,,,,2.5,09:00-12:00,,,,,,7.0,30.0,65.0,30.0,30.0
F12,F12_LIM_0049,5m,,,,,2.5,09:00-12:00,,,,,,14.0,35.0,65.0,60.0,30.0
F12,F12_LIM_0050,5m,,,,,2.0,09:00-12:00,,,,,,14.0,25.0,75.0,60.0,30.0
