side_exp,choch_time,entry_bid,sl_bid,tp_bid,risk_pips,outcome_exp,be_hit_exp,exit_bid,exit_time_exp,time_min,timestamp_ny,side_rep,entry_price,sl_price,tp_price,outcome_rep,exit_time_rep,exit_price,r_gross,be_hit_rep
SHORT,2026-02-25 17:54:00+00:00,1.18079,1.18079,1.179768,0.0007300000000001,SL,True,1.18079,2026-02-25 14:09:00-05:00,2026-02-25 17:54:00+00:00,2026-02-25 17:54:00+00:00,SHORT,1.18079,1.18147,1.179838,BE,2026-02-25T18:45:00-05:00,1.18079,0.0,True
LONG,2026-02-26 15:57:00+00:00,1.17993,1.17799,1.182646,0.00194,SL,False,1.17799,2026-02-26 12:21:00-05:00,2026-02-26 15:57:00+00:00,2026-02-26 15:57:00+00:00,LONG,1.17988,1.17804,1.1824560000000002,SL,2026-02-26T12:21:00-05:00,1.17804,-1.0,False
SHORT,2026-02-27 13:33:00+00:00,1.17968,1.17968,1.1781819999999998,0.0010700000000001,SL,True,1.17968,2026-02-27 08:39:00-05:00,2026-02-27 13:33:00+00:00,2026-02-27 13:33:00+00:00,SHORT,1.17968,1.1807,1.178252,BE,2026-02-27T09:33:00-05:00,1.17968,0.0,True
LONG,2026-03-02 13:15:00+00:00,1.17105,1.17105,1.173318,0.0016200000000001,SL,True,1.17105,2026-03-02 08:30:00-05:00,2026-03-02 13:15:00+00:00,2026-03-02 13:15:00+00:00,LONG,1.17101,1.16948,1.1731520000000004,BE,2026-03-02T10:36:00-05:00,1.17101,0.0,True
LONG,2026-03-03 16:12:00+00:00,1.15895,1.15895,1.1619320000000002,0.0021300000000001,SL,True,1.15895,2026-03-03 12:09:00-05:00,2026-03-03 16:12:00+00:00,2026-03-03 16:12:00+00:00,LONG,1.15892,1.1568699999999998,1.16179,TP,2026-03-03T13:39:00-05:00,1.16179,1.4,True
LONG,2026-03-04 13:00:00+00:00,1.16388,1.16388,1.1658120000000003,0.0013800000000001,SL,True,1.16388,2026-03-04 08:21:00-05:00,2026-03-04 13:00:00+00:00,2026-03-04 13:00:00+00:00,LONG,1.16385,1.16255,1.1656700000000002,BE,2026-03-04T09:33:00-05:00,1.16385,0.0,True
LONG,2026-03-05 15:00:00+00:00,1.1608,1.15681,1.1663860000000004,0.0039900000000001,SL,False,1.15681,2026-03-05 11:06:00-05:00,2026-03-05 15:00:00+00:00,2026-03-05 15:00:00+00:00,LONG,1.16076,1.15686,1.16622,SL,2026-03-05T11:06:00-05:00,1.15686,-1.0,False
LONG,2026-03-06 16:03:00+00:00,1.15936,1.15936,1.161572,0.0015800000000001,TP,True,1.161572,2026-03-06 13:12:00-05:00,2026-03-06 16:03:00+00:00,2026-03-06 16:03:00+00:00,LONG,1.15933,1.15783,1.16143,TP,2026-03-06T13:12:00-05:00,1.16143,1.4,True
SHORT,2026-03-09 12:48:00+00:00,1.15536,1.1569400000000003,1.1531479999999994,0.0015800000000003,SL,False,1.1569400000000003,2026-03-09 09:12:00-04:00,2026-03-09 12:48:00+00:00,2026-03-09 12:48:00+00:00,SHORT,1.15536,1.1568900000000002,1.1532179999999996,SL,2026-03-09T09:12:00-04:00,1.1568900000000002,-1.0,False
SHORT,2026-03-10 11:54:00+00:00,1.16376,1.16376,1.1614779999999996,0.0016300000000002,SL,True,1.16376,2026-03-10 08:48:00-04:00,2026-03-10 11:54:00+00:00,2026-03-10 11:54:00+00:00,SHORT,1.16376,1.16534,1.1615479999999998,BE,2026-03-10T11:42:00-04:00,1.16376,0.0,True
