timestamp,currency,importance,event,country,source,hard_event,event_tier
2020-03-05 15:30:00-05:00,USD,3,Average Hourly Earnings m/m,,csv,False,standard
2020-03-05 20:00:00-05:00,USD,1,FOMC Member Kashkari Speaks,,csv,True,hard
2020-03-05 20:45:00-05:00,USD,1,FOMC Member Williams Speaks,,csv,True,hard
2020-03-06 14:00:00-05:00,USD,1,FOMC Member Williams Speaks,,csv,True,hard
2020-03-09 02:45:00-04:00,CHF,1,Unemployment Rate,,csv,True,hard
2020-03-09 18:34:00-04:00,USD,3,President Trump Speaks,,csv,False,standard
2020-03-10 16:30:00-04:00,USD,3,Core CPI m/m,,csv,True,hard
2020-03-10 16:30:00-04:00,USD,3,CPI y/y,,csv,True,hard
2020-03-10 16:30:00-04:00,USD,3,CPI m/m,,csv,True,hard
2020-03-11 10:00:00-04:00,USD,3,Treasury Sec Mnuchin Speaks,,csv,False,standard
2020-03-11 21:00:00-04:00,USD,3,President Trump Speaks,,csv,False,standard
2020-03-13 15:30:00-04:00,USD,3,President Trump Speaks,,csv,False,standard
2020-03-15 16:30:00-04:00,USD,3,FOMC Statement,,csv,True,hard
2020-03-15 16:30:00-04:00,USD,3,Federal Funds Rate,,csv,True,hard
2020-03-15 17:00:00-04:00,USD,3,Fed Announcement,,csv,False,standard
2020-03-15 17:17:00-04:00,USD,3,President Trump Speaks,,csv,False,standard
2020-03-15 18:30:00-04:00,USD,3,FOMC Press Conference,,csv,True,hard
2020-03-16 15:25:00-04:00,USD,3,President Trump Speaks,,csv,False,standard
2020-03-16 16:30:00-04:00,USD,3,Core Retail Sales m/m,,csv,True,hard
2020-03-16 16:30:00-04:00,USD,3,Retail Sales m/m,,csv,True,hard
2020-03-17 10:45:00-04:00,USD,3,Fed Announcement,,csv,False,standard
2020-03-17 11:40:00-04:00,USD,3,President Trump Speaks,,csv,False,standard
2020-03-17 18:00:00-04:00,USD,3,Fed Announcement,,csv,False,standard
2020-03-18 12:07:00-04:00,USD,3,President Trump Speaks,,csv,False,standard
2020-03-18 16:30:00-04:00,USD,3,Fed Announcement,,csv,False,standard
2020-03-18 16:30:00-04:00,CHF,3,SNB Policy Rate,,csv,False,standard
2020-03-19 04:30:00-04:00,CHF,3,SNB Monetary Policy Assessment,,csv,True,hard
2020-03-19 05:15:00-04:00,CHF,3,SNB Press Conference,,csv,False,standard
2020-03-19 11:38:00-04:00,USD,3,President Trump Speaks,,csv,False,standard
2020-03-20 10:00:00-04:00,USD,3,Fed Announcement,,csv,False,standard
2020-03-20 11:00:00-04:00,USD,3,Fed Announcement,,csv,False,standard
2020-03-20 11:50:00-04:00,USD,3,President Trump Speaks,,csv,False,standard
2020-03-21 12:30:00-04:00,USD,3,President Trump Speaks,,csv,False,standard
2020-03-23 08:00:00-04:00,USD,3,Fed Announcement,,csv,False,standard
2020-03-23 15:30:00-04:00,USD,2,Flash Services PMI,,csv,True,hard
2020-03-23 18:12:00-04:00,USD,3,President Trump Speaks,,csv,False,standard
2020-03-24 09:45:00-04:00,USD,3,Flash Manufacturing PMI,,csv,True,hard
2020-03-24 12:05:00-04:00,USD,3,President Trump Speaks,,csv,False,standard
2020-03-25 15:30:00-04:00,USD,2,Final GDP q/q,,csv,True,hard
2020-03-25 15:30:00-04:00,USD,1,Final GDP Price Index q/q,,csv,True,hard
2020-03-26 07:06:00-04:00,USD,3,Fed Chair Powell Speaks,,csv,True,hard
2020-03-26 08:30:00-04:00,USD,3,Unemployment Claims,,csv,False,standard
2020-03-27 17:30:00-04:00,USD,3,President Trump Speaks,,csv,False,standard
2020-03-29 17:43:00-04:00,USD,3,President Trump Speaks,,csv,False,standard
2020-03-30 15:30:00-04:00,USD,3,Fed Announcement,,csv,False,standard
2020-03-30 17:15:00-04:00,USD,3,President Trump Speaks,,csv,False,standard
2020-03-31 02:30:00-04:00,CHF,1,Retail Sales y/y,,csv,True,hard
2020-03-31 09:45:00-04:00,USD,2,Chicago PMI,,csv,True,hard
2020-03-31 10:00:00-04:00,USD,3,CB Consumer Confidence,,csv,False,standard
2020-03-31 15:30:00-04:00,USD,3,President Trump Speaks,,csv,False,standard
2020-04-01 03:30:00-04:00,CHF,1,Manufacturing PMI,,csv,True,hard
2020-04-01 08:15:00-04:00,USD,3,ADP Non-Farm Employment Change,,csv,True,hard
2020-04-01 09:45:00-04:00,USD,1,Final Manufacturing PMI,,csv,True,hard
2020-04-01 10:00:00-04:00,USD,3,ISM Manufacturing PMI,,csv,True,hard
2020-04-01 15:30:00-04:00,USD,3,Unemployment Claims,,csv,False,standard
2020-04-01 17:37:00-04:00,USD,3,President Trump Speaks,,csv,False,standard
2020-04-02 02:30:00-04:00,CHF,1,CPI m/m,,csv,True,hard
2020-04-02 15:30:00-04:00,USD,3,Unemployment Rate,,csv,True,hard
2020-04-02 15:30:00-04:00,USD,3,Non-Farm Employment Change,,csv,True,hard
2020-04-02 17:23:00-04:00,USD,3,President Trump Speaks,,csv,False,standard
2020-04-03 08:30:00-04:00,USD,3,Average Hourly Earnings m/m,,csv,False,standard
2020-04-03 09:45:00-04:00,USD,1,Final Services PMI,,csv,True,hard
2020-04-03 10:00:00-04:00,USD,2,ISM Services PMI,,csv,True,hard
2020-04-04 15:30:00-04:00,USD,3,President Trump Speaks,,csv,False,standard
2020-04-05 18:45:00-04:00,USD,3,President Trump Speaks,,csv,False,standard
2020-04-06 17:42:00-04:00,USD,3,President Trump Speaks,,csv,False,standard
2020-04-07 01:45:00-04:00,CHF,1,Unemployment Rate,,csv,True,hard
2020-04-07 17:42:00-04:00,USD,3,President Trump Speaks,,csv,False,standard
2020-04-08 14:00:00-04:00,USD,2,FOMC Meeting Minutes,,csv,True,hard
2020-04-08 15:30:00-04:00,USD,3,Unemployment Claims,,csv,False,standard
2020-04-08 15:30:00-04:00,USD,3,Fed Announcement,,csv,False,standard
2020-04-08 17:46:00-04:00,USD,3,President Trump Speaks,,csv,False,standard
2020-04-09 10:00:00-04:00,USD,3,Fed Chair Powell Speaks,,csv,True,hard
2020-04-09 15:30:00-04:00,USD,3,CPI y/y,,csv,True,hard
2020-04-09 15:30:00-04:00,USD,3,CPI m/m,,csv,True,hard
2020-04-09 18:24:00-04:00,USD,3,President Trump Speaks,,csv,False,standard
2020-04-10 08:30:00-04:00,USD,3,Core CPI m/m,,csv,True,hard
2020-04-10 12:30:00-04:00,USD,1,FOMC Member Mester Speaks,,csv,True,hard
2020-04-10 13:30:00-04:00,USD,1,FOMC Member Quarles Speaks,,csv,True,hard
2020-04-10 14:00:00-04:00,USD,3,President Trump Speaks,,csv,False,standard
2020-04-13 17:49:00-04:00,USD,3,President Trump Speaks,,csv,False,standard
2020-04-14 15:30:00-04:00,USD,3,Retail Sales m/m,,csv,True,hard
2020-04-14 18:15:00-04:00,USD,3,President Trump Speaks,,csv,False,standard
2020-04-15 08:30:00-04:00,USD,3,Core Retail Sales m/m,,csv,True,hard
2020-04-15 15:30:00-04:00,USD,3,Unemployment Claims,,csv,False,standard
2020-04-15 17:50:00-04:00,USD,3,President Trump Speaks,,csv,False,standard
2020-04-16 14:00:00-04:00,USD,1,FOMC Member Williams Speaks,,csv,True,hard
2020-04-16 18:08:00-04:00,USD,3,President Trump Speaks,,csv,False,standard
2020-04-17 18:00:00-04:00,USD,3,President Trump Speaks,,csv,False,standard
2020-04-18 18:00:00-04:00,USD,3,President Trump Speaks,,csv,False,standard
2020-04-19 18:25:00-04:00,USD,3,President Trump Speaks,,csv,False,standard
2020-04-20 17:40:00-04:00,USD,3,President Trump Speaks,,csv,False,standard
2020-04-21 17:46:00-04:00,USD,3,President Trump Speaks,,csv,False,standard
2020-04-22 15:30:00-04:00,USD,1,Flash Services PMI,,csv,True,hard
2020-04-22 18:11:00-04:00,USD,3,President Trump Speaks,,csv,False,standard
2020-04-23 08:30:00-04:00,USD,3,Unemployment Claims,,csv,False,standard
2020-04-23 09:45:00-04:00,USD,3,Flash Manufacturing PMI,,csv,True,hard
2020-04-23 17:43:00-04:00,USD,3,President Trump Speaks,,csv,False,standard
2020-04-24 08:30:00-04:00,USD,3,Core Durable Goods Orders m/m,,csv,False,standard
2020-04-24 17:40:00-04:00,USD,3,President Trump Speaks,,csv,False,standard
2020-04-27 17:38:00-04:00,USD,3,President Trump Speaks,,csv,False,standard
2020-04-28 10:00:00-04:00,USD,3,CB Consumer Confidence,,csv,False,standard
2020-04-28 15:30:00-04:00,USD,2,Federal Funds Rate,,csv,True,hard
2020-04-29 08:32:00-04:00,USD,3,Advance GDP q/q,,csv,True,hard
2020-04-29 08:34:00-04:00,USD,2,Advance GDP Price Index q/q,,csv,True,hard
2020-04-29 14:00:00-04:00,USD,3,FOMC Statement,,csv,True,hard
2020-04-29 14:30:00-04:00,USD,3,FOMC Press Conference,,csv,True,hard
2020-04-29 15:30:00-04:00,USD,3,Unemployment Claims,,csv,False,standard
2020-04-30 02:30:00-04:00,CHF,1,Retail Sales y/y,,csv,True,hard
2020-04-30 09:45:00-04:00,USD,2,Chicago PMI,,csv,True,hard
2020-04-30 10:00:00-04:00,USD,3,Fed Announcement,,csv,False,standard
2020-05-01 09:45:00-04:00,USD,1,Final Manufacturing PMI,,csv,True,hard
2020-05-01 10:00:00-04:00,USD,3,ISM Manufacturing PMI,,csv,True,hard
2020-05-04 03:30:00-04:00,CHF,1,Manufacturing PMI,,csv,True,hard
2020-05-05 02:30:00-04:00,CHF,1,CPI m/m,,csv,True,hard
2020-05-05 09:45:00-04:00,USD,1,Final Services PMI,,csv,True,hard
2020-05-05 10:00:00-04:00,USD,3,ISM Services PMI,,csv,True,hard
2020-05-06 08:15:00-04:00,USD,3,ADP Non-Farm Employment Change,,csv,True,hard
2020-05-07 01:45:00-04:00,CHF,1,Unemployment Rate,,csv,True,hard
2020-05-07 08:30:00-04:00,USD,3,Unemployment Claims,,csv,False,standard
2020-05-07 15:30:00-04:00,USD,3,Non-Farm Employment Change,,csv,True,hard
2020-05-07 15:30:00-04:00,USD,3,Unemployment Rate,,csv,True,hard
2020-05-07 15:30:00-04:00,USD,3,Average Hourly Earnings m/m,,csv,False,standard
2020-05-07 16:00:00-04:00,USD,1,FOMC Member Harker Speaks,,csv,True,hard
2020-05-08 08:00:00-04:00,USD,3,President Trump Speaks,,csv,False,standard
2020-05-11 15:30:00-04:00,USD,3,CPI m/m,,csv,True,hard
2020-05-11 15:30:00-04:00,USD,1,FOMC Member Quarles Speaks,,csv,True,hard
2020-05-11 15:30:00-04:00,USD,3,CPI y/y,,csv,True,hard
2020-05-12 08:30:00-04:00,USD,3,Core CPI m/m,,csv,True,hard
2020-05-12 10:00:00-04:00,USD,1,FOMC Member Harker Speaks,,csv,True,hard
2020-05-12 17:00:00-04:00,USD,1,FOMC Member Mester Speaks,,csv,True,hard
2020-05-13 09:00:00-04:00,USD,3,Fed Chair Powell Speaks,,csv,True,hard
2020-05-14 11:00:00-04:00,USD,1,FOMC Member Kashkari Speaks,,csv,True,hard
2020-05-14 15:30:00-04:00,USD,3,Retail Sales m/m,,csv,True,hard
