pb_balanced_adx_max,pb_active_adx_min,pb_core_extension_atr,pb_breakout_compression_atr_max,pb_breakout_trigger_range_atr_min,stop_atr_multiple,pb_take_profit_rr_cap,pb_max_hold_bars,validation_score,full_sample_goal_score,avg_validation_goal_score,avg_validation_robustness,avg_validation_return_pct,avg_validation_sharpe,worst_validation_drawdown_pct,profitable_window_ratio,full_sample_robustness,initial_capital,final_equity,total_return_pct,max_drawdown_pct,sharpe_ratio,profit_factor,total_trades,wins,losses,break_even_trades,win_rate_pct,trades_per_month,profit_month_ratio,avg_monthly_net_pnl_usd,expectancy_usd,avg_trade_minutes,median_trade_minutes,max_consecutive_wins,max_consecutive_losses
18.0,22.0,0.35,0.45,0.7,0.6,0.8,4,-53.10034472198225,-121.93261532640932,-86.20519900968796,0.0395233009877818,-22.1084862905222,-6.479944145124382,26.452162893618063,0.0,0.029640221782178518,100000.0,67185.73718368348,-32.81426281631652,32.97310615849282,-5.483331154337033,0.11732705549772786,164,50,114,0,30.48780487804878,6.833333333333333,0.0,-1367.260950679852,-200.08696839217347,8.170731707317072,5.0,3,13
18.0,22.0,0.35,0.45,0.5,0.6,0.8,6,-53.90543692316728,-107.3606180960025,-91.44178312511848,0.044134167604561486,-24.049700955599175,-6.874019398668942,28.837296753663527,0.0,0.03872746620887302,100000.0,68278.60488222471,-31.721395117775288,31.88282226367348,-5.206266260766585,0.1496072613538967,168,53,115,0,31.547619047619047,7.0,0.0,-1321.724796573971,-188.81782808199586,8.392857142857142,5.0,3,10
18.0,22.0,0.35,0.45,0.5,0.6,0.8,4,-53.909194981790506,-107.8808990344732,-91.4647609144754,0.044130355929801385,-24.056028594706767,-6.885685866630364,28.84995203187871,0.0,0.03836640785292305,100000.0,68118.45021113822,-31.881549788861786,32.04259829035884,-5.235224440883139,0.14874091128806197,168,53,115,0,31.547619047619047,7.0,0.0,-1328.397907869242,-189.77112969560602,8.363095238095237,5.0,4,10
18.0,22.0,0.35,0.6,0.5,0.8,0.8,4,-54.16627084923404,-155.12543842910753,-109.17700721570574,0.03596256744732368,-33.62881875626164,-7.177139066670337,33.777105566886284,0.0,0.034521388179805344,100000.0,57054.19928705818,-42.94580071294182,43.08557268928891,-5.608868496182179,0.16622552425875023,194,59,135,0,30.412371134020617,8.083333333333334,0.041666666666666664,-1789.4083630392408,-221.3701067677412,11.494845360824742,10.0,4,16
18.0,22.0,0.35,0.6,0.5,0.8,0.6,6,-54.7870438203624,-152.9126073301059,-111.25444820402583,0.028385353189565345,-33.741893227528124,-7.5698858128397095,34.54840038795919,0.0,0.027104557906792906,100000.0,57296.83308860228,-42.703166911397716,42.75421011048159,-5.903020698530105,0.12965875996877096,195,59,136,0,30.256410256410255,8.125,0.041666666666666664,-1779.2986213082365,-218.99059954562907,10.58974358974359,10.0,3,15
18.0,22.0,0.35,0.6,0.5,0.8,0.6,4,-54.852443837429746,-156.58402857335435,-111.46446301873505,0.028595397682758032,-33.7949347468398,-7.511569657211512,34.533879099990926,0.0,0.026521705708732038,100000.0,56933.90735563637,-43.06609264436363,43.11681252906096,-5.907657318280037,0.12800364751891882,195,59,136,0,30.256410256410255,8.125,0.041666666666666664,-1794.420526848484,-220.8517571505827,10.282051282051283,10.0,3,16
18.0,22.0,0.35,0.6,0.5,0.6,0.8,4,-60.64546932937543,-168.23016583921165,-118.05841184986778,0.031112477958361,-31.89401385981081,-7.822576003173283,32.58178475807747,0.0,0.026900555433234094,100000.0,58668.546090646,-41.331453909353996,41.331453909353996,-6.2111073998436845,0.12960589152743,194,48,146,0,24.742268041237114,8.083333333333334,0.0,-1722.1439128897507,-213.04873149151555,8.221649484536082,5.0,3,18
18.0,22.0,0.35,0.6,0.5,0.6,0.8,6,-60.75806064919192,-170.08096881974163,-118.46983238051544,0.030539535677488724,-32.01082512926827,-7.848278781354596,32.56950706724488,0.0,0.02612218885731604,100000.0,58450.514200958525,-41.54948579904148,41.54948579904148,-6.2510883517908225,0.1265200982829985,194,47,147,0,24.22680412371134,8.083333333333334,0.0,-1731.2285749600662,-214.1726072115546,8.24742268041237,5.0,3,18
18.0,22.0,0.35,0.45,0.5,0.6,0.6,4,-64.61035713001286,-139.88943600347787,-109.64468849085388,0.03545179922363778,-23.975827800165945,-7.148605567180154,29.01409385266743,0.0,0.025673422349845636,100000.0,67871.3992945127,-32.12860070548731,32.182220137317955,-5.565586465012179,0.09379838776590842,167,39,128,0,23.353293413173652,6.958333333333333,0.0,-1338.691696061971,-192.38683057178022,7.754491017964072,5.0,3,15
18.0,22.0,0.35,0.45,0.5,0.6,0.6,6,-65.10720254895739,-140.8338830358358,-110.31453345674429,0.035484737391063205,-23.92104997361789,-7.132154041574628,28.904538199571324,0.0,0.025733542960880946,100000.0,67976.35951902489,-32.02364048097511,32.07734283297039,-5.548519220323109,0.09356231717597058,167,38,129,0,22.75449101796407,6.958333333333333,0.0,-1334.3183533739668,-191.75832623338442,7.754491017964072,5.0,3,15
18.0,22.0,0.35,0.45,0.7,0.6,0.6,4,-67.91408142025998,-149.74735753435345,-110.58324045599724,0.03251252690363984,-22.01772507860607,-6.729452823841502,26.977093389142652,0.0,0.025455655203643193,100000.0,67489.81598501539,-32.51018401498461,32.56350199023025,-5.6988964799582105,0.0720183311099457,162,36,126,0,22.22222222222222,6.75,0.0,-1354.5910006243623,-200.68014824064628,7.592592592592593,5.0,3,17
18.0,22.0,0.35,0.45,0.7,0.6,0.6,6,-68.45819483780049,-150.73579667756746,-111.28808859015385,0.032547852976420544,-21.960819259031886,-6.713049090381317,26.86328174999429,0.0,0.02551500166818062,100000.0,67594.02409656411,-32.40597590343589,32.45937620466554,-5.681836359450555,0.07168791876233332,162,35,127,0,21.604938271604937,6.75,0.0,-1350.248995976498,-200.03688829281452,7.592592592592593,5.0,3,17
18.0,22.0,0.35,0.6,0.5,0.6,0.6,4,-73.52776486445896,-180.54921353815104,-142.24098738355423,0.026894026362373983,-31.437470545092516,-8.009063351671967,32.63563641785702,0.0,0.021014386059407406,100000.0,59183.46190257203,-40.816538097427966,40.816538097427966,-6.423751616038905,0.09135921999825557,193,43,150,0,22.279792746113987,8.041666666666666,0.0,-1700.6890873928253,-211.48465335454827,7.564766839378239,5.0,3,21
18.0,22.0,0.35,0.6,0.5,0.6,0.6,6,-73.9895837095299,-182.16783330474195,-143.0392040765687,0.026231823339219112,-31.44649103347049,-8.021106016548002,32.52999770514048,0.0,0.020947867850563365,100000.0,59051.43730234601,-40.94856269765399,40.948562697654,-6.463181217836656,0.08726035663261753,193,42,151,0,21.761658031088082,8.041666666666666,0.0,-1706.1901124022477,-212.168718640694,7.564766839378239,5.0,3,21
