run_id,writer_pid,engine_instance_id,family_id,config_id,month,trades,signals
24bb295d,4948,24bb295d_F12_RERUN_0039_2020-03,F12,F12_RERUN_0039,2020-03,3,15
24bb295d,4948,24bb295d_F12_RERUN_0040_2020-03,F12,F12_RERUN_0040,2020-03,3,15
24bb295d,4948,24bb295d_F12_RERUN_0041_2020-03,F12,F12_RERUN_0041,2020-03,3,15
24bb295d,4948,24bb295d_F12_RERUN_0042_2020-03,F12,F12_RERUN_0042,2020-03,3,15
24bb295d,4948,24bb295d_F12_RERUN_0043_2020-03,F12,F12_RERUN_0043,2020-03,3,15
24bb295d,4948,24bb295d_F12_RERUN_0044_2020-03,F12,F12_RERUN_0044,2020-03,3,15
24bb295d,4948,24bb295d_F12_RERUN_0045_2020-03,F12,F12_RERUN_0045,2020-03,3,15
24bb295d,4948,24bb295d_F12_RERUN_0046_2020-03,F12,F12_RERUN_0046,2020-03,3,15
24bb295d,4948,24bb295d_F12_RERUN_0047_2020-03,F12,F12_RERUN_0047,2020-03,3,15
24bb295d,4948,24bb295d_F12_RERUN_0048_2020-03,F12,F12_RERUN_0048,2020-03,3,15
24bb295d,4948,24bb295d_F12_RERUN_0049_2020-03,F12,F12_RERUN_0049,2020-03,3,15
24bb295d,4948,24bb295d_F12_RERUN_0050_2020-03,F12,F12_RERUN_0050,2020-03,3,15
24bb295d,4948,24bb295d_F06_RERUN_0001_2021-08,F06,F06_RERUN_0001,2021-08,2,8
24bb295d,4948,24bb295d_F06_RERUN_0002_2021-08,F06,F06_RERUN_0002,2021-08,2,8
24bb295d,4948,24bb295d_F06_RERUN_0003_2021-08,F06,F06_RERUN_0003,2021-08,2,8
24bb295d,4948,24bb295d_F06_RERUN_0004_2021-08,F06,F06_RERUN_0004,2021-08,2,8
24bb295d,4948,24bb295d_F06_RERUN_0005_2021-08,F06,F06_RERUN_0005,2021-08,2,8
24bb295d,4948,24bb295d_F06_RERUN_0006_2021-08,F06,F06_RERUN_0006,2021-08,2,8
24bb295d,4948,24bb295d_F06_RERUN_0007_2021-08,F06,F06_RERUN_0007,2021-08,2,8
