config_id,date_only,phase,rows_count,signals_count,max_allowed,violation
M4_000,2023-05-22,VAL,2,1.0,3,False
M4_000,2023-05-24,VAL,2,1.0,3,False
M4_000,2023-05-26,VAL,4,2.0,3,False
M4_000,2023-06-06,VAL,4,2.0,3,False
M4_000,2023-06-07,VAL,4,2.0,3,False
M4_000,2023-06-13,VAL,2,1.0,3,False
M4_000,2023-06-14,VAL,2,1.0,3,False
M4_000,2023-06-15,VAL,2,1.0,3,False
M4_000,2023-06-16,VAL,6,3.0,3,False
M4_000,2023-06-22,VAL,2,1.0,3,False
M4_000,2023-06-29,VAL,2,1.0,3,False
M4_000,2023-06-30,VAL,2,1.0,3,False
M4_000,2023-07-03,VAL,2,1.0,3,False
M4_000,2023-07-06,VAL,2,1.0,3,False
M4_000,2023-07-10,VAL,4,2.0,3,False
M4_000,2023-07-14,VAL,4,2.0,3,False
M4_000,2023-07-27,VAL,2,1.0,3,False
M4_000,2023-08-02,VAL,4,2.0,3,False
M4_000,2023-08-07,VAL,4,2.0,3,False
M4_000,2023-08-11,VAL,2,1.0,3,False
M4_000,2023-08-18,VAL,2,1.0,3,False
M4_000,2023-08-22,VAL,2,1.0,3,False
M4_000,2023-08-30,VAL,2,1.0,3,False
M4_000,2023-09-01,VAL,6,3.0,3,False
M4_000,2023-09-08,VAL,2,1.0,3,False
M4_000,2023-09-11,VAL,2,1.0,3,False
M4_000,2023-09-29,VAL,2,1.0,3,False
M4_000,2023-10-06,VAL,4,2.0,3,False
M4_000,2023-10-11,VAL,4,2.0,3,False
M4_000,2023-10-12,VAL,2,1.0,3,False
M4_000,2023-10-13,VAL,2,1.0,3,False
M4_000,2023-10-17,VAL,2,1.0,3,False
M4_000,2023-10-26,VAL,2,1.0,3,False
M4_000,2023-10-31,VAL,2,1.0,3,False
M4_000,2023-11-14,VAL,4,2.0,3,False
M4_000,2023-11-20,VAL,2,1.0,3,False
M4_000,2023-11-22,VAL,2,1.0,3,False
M4_000,2023-11-28,VAL,2,1.0,3,False
M4_000,2023-12-01,VAL,4,2.0,3,False
M4_000,2023-12-04,VAL,2,1.0,3,False
M4_000,2023-12-12,VAL,2,1.0,3,False
M4_000,2023-12-14,VAL,2,1.0,3,False
M4_000,2023-12-22,VAL,2,1.0,3,False
M4_000,2023-12-29,VAL,4,2.0,3,False
M4_000,2024-01-03,TEST,4,2.0,3,False
M4_000,2024-01-05,TEST,2,1.0,3,False
M4_000,2024-01-09,TEST,2,1.0,3,False
M4_000,2024-01-10,TEST,2,1.0,3,False
M4_000,2024-01-11,TEST,2,1.0,3,False
M4_000,2024-01-24,TEST,4,2.0,3,False
M4_000,2024-01-25,TEST,2,1.0,3,False
M4_000,2024-01-31,TEST,4,2.0,3,False
M4_000,2024-02-02,TEST,4,2.0,3,False
M4_000,2024-02-08,TEST,2,1.0,3,False
M4_000,2024-02-13,TEST,2,1.0,3,False
M4_000,2024-02-22,TEST,2,1.0,3,False
M4_000,2024-02-29,TEST,4,2.0,3,False
M4_000,2024-03-01,TEST,4,2.0,3,False
M4_000,2024-03-04,TEST,4,2.0,3,False
M4_000,2024-03-06,TEST,2,1.0,3,False
M4_000,2024-03-07,TEST,4,2.0,3,False
M4_000,2024-03-11,TEST,2,1.0,3,False
M4_000,2024-03-12,TEST,2,1.0,3,False
M4_000,2024-03-14,TEST,2,1.0,3,False
M4_000,2024-03-18,TEST,2,1.0,3,False
M4_000,2024-03-25,TEST,2,1.0,3,False
M4_000,2024-03-28,TEST,4,2.0,3,False
M4_000,2024-04-03,TEST,2,1.0,3,False
M4_000,2024-04-08,TEST,4,2.0,3,False
M4_000,2024-04-09,TEST,4,2.0,3,False
M4_000,2024-04-10,TEST,4,2.0,3,False
M4_000,2024-04-11,TEST,2,1.0,3,False
M4_000,2024-04-23,TEST,4,2.0,3,False
M4_000,2024-04-25,TEST,2,1.0,3,False
M4_000,2024-04-29,TEST,2,1.0,3,False
M4_000,2024-05-10,TEST,2,1.0,3,False
M4_000,2024-05-14,TEST,2,1.0,3,False
M4_000,2024-05-17,TEST,4,2.0,3,False
M4_000,2024-05-28,TEST,4,2.0,3,False
M4_000,2024-05-29,TEST,2,1.0,3,False
M4_000,2024-06-07,TEST,4,2.0,3,False
M4_000,2024-06-18,TEST,4,2.0,3,False
M4_000,2024-06-20,TEST,2,1.0,3,False
M4_000,2024-06-26,TEST,2,1.0,3,False
M4_000,2024-06-27,TEST,2,1.0,3,False
M4_000,2024-07-12,TEST,4,2.0,3,False
M4_000,2024-07-16,TEST,4,2.0,3,False
M4_000,2024-07-31,TEST,2,1.0,3,False
M4_000,2024-08-02,TEST,3,1.5,3,False
M4_000,2024-08-08,TEST,4,2.0,3,False
M4_000,2024-08-12,TEST,1,0.5,3,False
M4_000,2024-08-13,TEST,1,0.5,3,False
M4_000,2024-08-15,TEST,1,0.5,3,False
M4_000,2024-08-19,TEST,1,0.5,3,False
M4_000,2024-08-20,TEST,1,0.5,3,False
M4_000,2024-08-30,TEST,1,0.5,3,False
M4_000,2024-09-05,TEST,2,1.0,3,False
M4_000,2024-09-17,TEST,2,1.0,3,False
M4_000,2024-09-25,TEST,1,0.5,3,False
M4_000,2024-09-27,TEST,1,0.5,3,False
M4_000,2024-09-30,TEST,1,0.5,3,False
M4_000,2024-10-02,TEST,2,1.0,3,False
M4_000,2024-10-04,TEST,2,1.0,3,False
M4_000,2024-10-22,TEST,1,0.5,3,False
M4_000,2024-10-29,TEST,2,1.0,3,False
M4_000,2024-10-30,TEST,1,0.5,3,False
M4_000,2024-10-31,TEST,1,0.5,3,False
M4_000,2024-11-01,TEST,2,1.0,3,False
M4_000,2024-11-06,TEST,1,0.5,3,False
M4_000,2024-11-13,TEST,1,0.5,3,False
M4_000,2024-11-18,TEST,2,1.0,3,False
M4_000,2024-11-25,TEST,2,1.0,3,False
M4_000,2024-11-27,TEST,1,0.5,3,False
M4_000,2024-12-05,TEST,1,0.5,3,False
M4_000,2024-12-06,TEST,2,1.0,3,False
M4_000,2024-12-09,TEST,1,0.5,3,False
M4_000,2024-12-12,TEST,1,0.5,3,False
M4_000,2024-12-18,TEST,1,0.5,3,False
M4_000,2024-12-30,TEST,2,1.0,3,False
M4_000,2024-12-31,TEST,1,0.5,3,False
M4_000,2025-01-15,TEST,1,0.5,3,False
M4_000,2025-01-17,TEST,1,0.5,3,False
M4_000,2025-01-30,TEST,2,1.0,3,False
M4_000,2025-01-31,TEST,1,0.5,3,False
M4_000,2025-02-03,TEST,2,1.0,3,False
M4_000,2025-02-04,TEST,1,0.5,3,False
M4_000,2025-02-14,TEST,1,0.5,3,False
M4_000,2025-02-19,TEST,1,0.5,3,False
M4_000,2025-02-20,TEST,1,0.5,3,False
M4_000,2025-02-27,TEST,1,0.5,3,False
M4_000,2025-03-04,TEST,1,0.5,3,False
M4_000,2025-03-06,TEST,2,1.0,3,False
M4_000,2025-03-18,TEST,1,0.5,3,False
M4_000,2025-03-24,TEST,1,0.5,3,False
M4_000,2025-04-02,TEST,2,1.0,3,False
M4_000,2025-04-11,TEST,2,1.0,3,False
M4_000,2025-04-21,TEST,1,0.5,3,False
M4_000,2025-05-01,TEST,1,0.5,3,False
M4_000,2025-05-02,TEST,1,0.5,3,False
M4_004,2020-01-07,TRAIN,6,3.0,3,False
M4_004,2020-01-09,TRAIN,2,1.0,3,False
M4_004,2020-01-15,TRAIN,2,1.0,3,False
M4_004,2020-01-16,TRAIN,2,1.0,3,False
M4_004,2020-01-21,TRAIN,2,1.0,3,False
M4_004,2020-01-22,TRAIN,2,1.0,3,False
M4_004,2020-01-24,TRAIN,4,2.0,3,False
M4_004,2020-01-27,TRAIN,2,1.0,3,False
M4_004,2020-01-30,TRAIN,2,1.0,3,False
M4_004,2020-02-07,TRAIN,4,2.0,3,False
M4_004,2020-02-10,TRAIN,4,2.0,3,False
M4_004,2020-02-13,TRAIN,4,2.0,3,False
M4_004,2020-02-21,TRAIN,2,1.0,3,False
M4_004,2020-02-24,TRAIN,2,1.0,3,False
M4_004,2020-02-26,TRAIN,2,1.0,3,False
M4_004,2020-02-28,TRAIN,2,1.0,3,False
