trade_id,config_id,phase,slippage,month,side,entry_time,exit_time,entry_price,exit_price,sl_price,exit_reason,gross_r,net_r,sl_pips,commission_r,slippage_r,eom_type,valid_closed_trade,sweep_depth_pips,sweep_depth_atr,displacement_body_atr,level_type,ftmo_blown,artificial_eom,included_in_metrics
bf42ed8a-c751-4cb7-9917-c7d723c24cd1,M4_032,TRAIN,0.0,2020-01,short,2020-01-07 14:00:00.137000+00:00,2020-01-07 21:55:00.020000+00:00,1.1156,1.11472,1.117885,TIME,0.38512035010939005,0.3632,22.850000000000925,0.0219,0.0,SESSION_FORCED_EXIT,True,12.8,1.2818,2.2643,PDH_PDL,False,True,False
6ab372c2-b9f2-49d6-a7df-67d3a000dd3a,M4_032,TRAIN,0.2,2020-01,short,2020-01-07 14:00:00.137000+00:00,2020-01-07 21:55:00.020000+00:00,1.1156,1.11472,1.117885,TIME,0.38512035010939005,0.3545,22.850000000000925,0.0219,0.0088,SESSION_FORCED_EXIT,True,12.8,1.2818,2.2643,PDH_PDL,False,True,False
118fbe8c-733d-42d7-b461-d05b57790473,M4_036,TRAIN,0.0,2020-01,short,2020-01-07 14:00:00.137000+00:00,2020-01-07 21:55:00.020000+00:00,1.1156,1.11472,1.117885,TIME,0.38512035010939005,0.3632,22.850000000000925,0.0219,0.0,SESSION_FORCED_EXIT,True,12.8,1.2818,2.2643,PDH_PDL,False,True,False
0c67f88c-f48d-444d-b6a5-f4f716e23c12,M4_036,TRAIN,0.2,2020-01,short,2020-01-07 14:00:00.137000+00:00,2020-01-07 21:55:00.020000+00:00,1.1156,1.11472,1.117885,TIME,0.38512035010939005,0.3545,22.850000000000925,0.0219,0.0088,SESSION_FORCED_EXIT,True,12.8,1.2818,2.2643,PDH_PDL,False,True,False
3d6bffec-3097-4563-a0b2-371543fd430a,M4_039,TRAIN,0.0,2020-01,short,2020-01-07 14:01:47.584000+00:00,2020-01-07 21:55:00.020000+00:00,1.11551,1.11472,1.117885,TIME,0.332631578947395,0.3116,23.75000000000016,0.0211,0.0,SESSION_FORCED_EXIT,True,12.8,1.2818,2.2643,PDH_PDL,False,True,False
1511f9a2-c790-47ee-a59c-cba40076d937,M4_039,TRAIN,0.2,2020-01,short,2020-01-07 14:01:47.584000+00:00,2020-01-07 21:55:00.020000+00:00,1.11551,1.11472,1.117885,TIME,0.332631578947395,0.3032,23.75000000000016,0.0211,0.0084,SESSION_FORCED_EXIT,True,12.8,1.2818,2.2643,PDH_PDL,False,True,False
8bd99c82-848c-46b4-9b32-3bc2db5f6bb4,M4_048,TRAIN,0.0,2020-01,short,2020-01-07 14:01:47.584000+00:00,2020-01-07 21:55:00.020000+00:00,1.11551,1.11472,1.117885,TIME,0.332631578947395,0.3116,23.75000000000016,0.0211,0.0,SESSION_FORCED_EXIT,True,12.8,1.2818,2.2643,PDH_PDL,False,True,False
cdf95d9a-d94d-4e4d-bab3-00e12a4120f8,M4_048,TRAIN,0.2,2020-01,short,2020-01-07 14:01:47.584000+00:00,2020-01-07 21:55:00.020000+00:00,1.11551,1.11472,1.117885,TIME,0.332631578947395,0.3032,23.75000000000016,0.0211,0.0084,SESSION_FORCED_EXIT,True,12.8,1.2818,2.2643,PDH_PDL,False,True,False
52770ca2-53a6-4ea9-a30b-146c966f56d4,M4_051,TRAIN,0.0,2020-01,short,2020-01-07 14:00:00.137000+00:00,2020-01-07 21:55:00.020000+00:00,1.1156,1.11472,1.117885,TIME,0.38512035010939005,0.3632,22.850000000000925,0.0219,0.0,SESSION_FORCED_EXIT,True,12.8,1.2818,2.2643,PDH_PDL,False,True,False
51ee274b-1570-426b-a5ad-db2aa7b5e351,M4_051,TRAIN,0.2,2020-01,short,2020-01-07 14:00:00.137000+00:00,2020-01-07 21:55:00.020000+00:00,1.1156,1.11472,1.117885,TIME,0.38512035010939005,0.3545,22.850000000000925,0.0219,0.0088,SESSION_FORCED_EXIT,True,12.8,1.2818,2.2643,PDH_PDL,False,True,False
